ID,data,latitude,longitude,altitude
1,-0.83_8.85_2.88_34.02_0.00_2.24_9.81_-10.19_-37.44_0.1122_0.0904_-0.7734_-0.6173end-0.74_8.86_2.74_34.02_0.00_2.24_9.81_-9.75_-36.19_0.1122_0.0904_-0.7734_-0.6173end-0.74_8.86_2.71_35.81_-7.95_2.35_9.81_-9.75_-36.19_0.1122_0.0904_-0.7734_-0.6173end-0.74_8.86_2.71_36.82_-15.44_2.24_9.88_-10.94_-36.19_0.1117_0.0894_-0.7706_-0.6210end-0.64_8.85_2.66_36.82_-15.44_2.24_9.88_-10.94_-36.19_0.1108_0.0882_-0.7687_-0.6237end-0.53_8.91_2.70_37.71_-18.24_2.01_9.50_-10.94_-37.44_0.1108_0.0882_-0.7687_-0.6237end-0.46_8.86_2.73_37.60_-17.57_2.24_9.50_-10.94_-37.44_0.1108_0.0882_-0.7687_-0.6237end-0.43_8.89_2.74_37.60_-17.57_2.24_9.88_-10.94_-37.06_0.1087_0.0857_-0.76,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,50_-0.6290end-0.45_8.86_2.73_38.27_-9.40_1.68_9.88_-10.94_-37.06_0.1084_0.0851_-0.7639_-0.6304end-0.41_8.88_2.81_38.27_-9.40_1.68_8.88_-12.44_-36.56_0.1084_0.0851_-0.7639_-0.6304end-0.43_8.85_2.87_38.27_-9.40_1.68_8.88_-12.44_-36.56_0.1082_0.0845_-0.7619_-0.6330end-0.39_8.89_2.91_38.27_-9.40_1.68_9.19_-12.06_-35.81_0.1082_0.0845_-0.7619_-0.6330end-0.39_8.89_2.91_38.27_-9.40_1.68_9.19_-12.06_-35.81_0.1091_0.0845_-0.7585_-0.6368end-0.48_9.02_2.86_38.27_-9.40_1.68_9.19_-12.06_-35.81_0.1097_0.0848_-0.7574_-0.6,0.0,0.0,0.0
6,381end-0.87_8.82_2.87_38.27_-9.40_1.68_9.19_-12.06_-35.81_0.1097_0.0848_-0.7574_-0.6381end-0.79_8.94_2.92_41.52_6.04_1.68_9.19_-12.06_-35.81_0.1097_0.0848_-0.7574_-0.6381end-0.79_8.94_2.92_41.52_6.04_1.68_9.19_-12.06_-35.81_0.1111_0.0851_-0.7526_-0.6434end-0.86_8.82_2.69_41.52_6.04_1.68_9.19_-12.06_-35.81_0.1111_0.0851_-0.7526_-0.6434end-0.82_8.81_2.53_42.41_-8.17_2.13_9.19_-12.06_-35.81_0.1111_0.0851_-0.7526_-0.6434end-0.82_8.81_2.53_42.41_-8.17_2.13_9.63_-13.62_-35.38_0.1105_0.0835_-0.7480_-0.6491end-0.66_8.81_2.06_42.41_-8.17_2.13_9.63_-13.62_-35.38_0.1101_0.0829_-0.7468_-0.6506end-0.66_8.81_2.06_43.31_-9.40_2.01_9.63_-14.00_-35.81_0.1101_0.0829_-0.7468_-0.6506end-0.67_8.74_1.86_43.31_-9.40_2.01_10.38_-14.75_-35.38_0.1101_0.0829_-0.7468_-0.6506end-0.67_8.74_1.86_43.31_-9.40_2.01_10.38_-14.75_-35.38_0.1096_0.0814_-0.7419_-0.6564end-0.50_8.82_1.75_43.31_-9.40_2.01_10.38_-14.75_-35.38_0.1097_0.0812_-0.7407_-0.6579end-0.62_8.83_1.75_43.31_-9.40_2.01_10.38_-14.75_-35.38_0.1097_0.0812_-0.7407_-0.6579end-0.60_8.77_1.69_43.31_-9.40_2.01_10.38_-14.75_-35.38_0.1102_0.0808_-0.7367_-0.6622end-0.60_8.77_1.69_45.21_1.23_2.46_9.38_-15.94_-33.75_0.1102_0.0806_-0.7354_-0.6637end-0.79_8.73_1.32_45.21_1.23_2.46_9.38_-15.94_-33.75_0.1102_0.0806_-0.7354_-0.6637end-0.83_8.73_1.16_45.21_1.23_2.46_8.75_-16.62_-34.19_0.1102_0.0806_-0.7354_-0.6637end,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,-0.91_8.76_1.03_45.21_1.23_2.46_8.75_-16.62_-34.19_0.1103_0.0796_-0.7302_-0.6696end-0.91_8.76_1.03_45.21_1.23_2.46_9.75_-16.31_-33.31_0.1103_0.0793_-0.7289_-0.6710end-0.71_8.72_0.71_45.66_-5.48_1.01_9.75_-16.31_-33.31_0.1103_0.0793_-0.7289_-0.6710end-0.71_8.72_0.71_45.66_-5.48_1.01_9.75_-16.69_-33.75_0.1102_0.0789_-0.7276_-0.6725end-0.71_8.72_0.71_46.33_-11.53_1.12_9.75_-16.69_-33.75_0.1099_0.0779_-0.7250_-0.6754end-0.15_8.73_0.71_46.33_-11.53_1.12_9.06_-17.44_-34.56_0.1099_0.0779_-0.7250_-0.6754end-0.15_8.73_0.71_47.56_-14.32_2.01_9.06_-17.44_-34.56_0.1089_0.0761_-0.7210_-0.6801end0.01_8.82_1.05_48.23_-13.09_2.01_10.06_-16.69_-33.31_0.1089_0.0761_-0.7210_-0.6801end0.12_8.76_1.20_48.23_-13.09_2.01_8.13_-18.50_-33.69_0.1089_0.0761_-0.7210_-0.6801end0.13_8.74_1.13_48.23_-14.21_0.22_8.13_-18.50_-33.69_0.1076_0.0736_-0.7156_-0.6863end,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
