ID,data,latitude,longitude,altitude
1,.40_0.78_7.95_-8.28_4.92_-12.69_-22.06_27.81_0.6636_0.7037_0.1489_0.2056end-0.96_9.40_0.78_8.62_-14.77_5.37_-12.37_-22.81_26.62_0.6639_0.7036_0.1486_0.2051end,24.13534162,120.74051468,148.20458984375
2,,24.13534162,120.74051468,148.20458984375
3,,24.13534162,120.74051468,148.20458984375
4,-0.88_9.42_0.84_8.62_-14.77_5.37_-12.37_-22.81_26.62_0.6644_0.7034_0.1482_0.2045end-0.83_9.40_0.86_9.29_-16.23_5.15_-12.37_-22.81_26.62_0.6644_0.7034_0.1482_0.2045end-0.82_9.42_0.98_9.29_-16.90_5.04_-12.37_-22.81_26.62_0.6644_0.7034_0.1482_0.2045end-0.81_9.38_0.99_9.29_-16.90_5.04_-12.69_-22.81_28.19_0.6656_0.7030_0.1469_0.2027end-0.76_9.40_0.98_9.74_-16.90_5.04_-12.69_-22.81_28.19_0.6666_0.7027_0.1460_0.2015end-0.75_9.41_1.07_9.74_-16.90_5.04_-12.69_-22.81_28.19_0.6670_0.7025_0.1456_0.2009end-0.77_9.41_1.02_9.74_-16.90_5.04_-12.69_-22.81_28.19_0.6675_0.7023_0.1452_0.2003end-0.79_9.41_0.96_9.74_-16.90_5.04_-12.69_-23.19_27.81_0.6675_0.7023_0.1452_0.2003end-0.78_9.38_0.98_10.74_-18.58_4.70_-12.69_-23.19_27.81_0.6689_0.7018_0.1437_0.1984end-0.77_9.40_0.98_10.74_-18.58_4.70_-12.69_-23.19_27.81_0.6694_0.7017_0.1431_0.1976end,24.13534162,120.74051468,148.20458984375
5,,24.13534162,120.74051468,148.20458984375
6,-0.82_9.38_0.89_10.74_-18.58_4.70_-12.69_-23.19_27.81_0.6694_0.7017_0.1431_0.1976end-0.74_9.40_0.88_12.09_-25.85_4.81_-12.69_-23.19_27.81_0.6694_0.7017_0.1431_0.1976end-0.74_9.40_0.88_12.09_-25.85_4.81_-12.69_-23.19_27.81_0.6717_0.7010_0.1402_0.1942end-0.64_9.42_0.80_12.09_-25.85_4.81_-12.69_-23.19_27.81_0.6723_0.7009_0.1393_0.1931end-0.64_9.41_0.86_13.09_-34.02_4.25_-12.69_-23.19_27.81_0.6723_0.7009_0.1393_0.1931end-0.55_9.38_0.84_12.87_-34.58_4.25_-12.69_-23.19_27.81_0.6723_0.7009_0.1393_0.1931end-0.55_9.38_0.84_12.87_-34.58_4.25_-11.12_-20.56_28.62_0.6749_0.7005_0.1352_0.1887end-0.32_9.40_0.84_12.87_-34.58_4.25_-11.12_-20.56_28.62_0.6755_0.7003_0.1342_0.1876end-0.20_9.40_0.88_14.32_-31.78_3.47_-11.12_-20.56_28.62_0.6755_0.7003_0.1342_0.1876end-0.15_9.42_0.88_13.88_-28.87_3.25_-11.75_-20.94_28.62_0.6755_0.7003_0.1342_0.1876end,24.13534162,120.74051468,148.20458984375
7,,24.13534162,120.74051468,148.20458984375
8,-0.10_9.41_0.92_14.66_-25.40_3.13_-11.75_-20.94_28.62_0.6780_0.6995_0.1307_0.1840end-0.10_9.41_0.92_14.88_-17.12_3.02_-11.75_-20.94_28.62_0.6786_0.6992_0.1301_0.1833end-0.18_9.39_0.95_14.88_-17.12_3.02_-11.38_-21.69_29.06_0.6786_0.6992_0.1301_0.1833end-0.18_9.39_0.95_15.33_-6.27_2.91_-11.38_-21.69_29.06_0.6797_0.6985_0.1293_0.1826end-0.18_9.39_0.95_15.33_-6.27_2.91_-11.38_-21.69_29.81_0.6802_0.6981_0.1290_0.1823end-0.18_9.39_0.95_15.44_-4.25_2.46_-11.38_-21.69_29.81_0.6808_0.6977_0.1288_0.1821end-0.18_9.39_0.95_15.78_-1.45_2.35_-11.38_-21.69_29.81_0.6808_0.6977_0.1288_0.1821end-0.64_9.37_1.27_15.78_-1.45_2.35_-11.38_-21.69_29.81_0.6818_0.6968_0.1285_0.1819end-0.84_9.35_1.33_15.78_-1.45_2.35_-11.38_-21.69_29.81_0.6828_0.6959_0.1283_0.1819end-0.84_9.35_1.33_15.78_-1.45_2.35_-12.13_-20.94_30.31_0.6833_0.6954_0.1282_0.1818end,24.13534162,120.74051468,148.20458984375
9,,24.13534162,120.74051468,148.20458984375
10,,24.13534162,120.74051468,148.20458984375
11,,24.13534162,120.74051468,148.20458984375
12,,24.13534162,120.74051468,148.20458984375
13,-0.84_9.35_1.33_15.78_-1.45_2.35_-12.13_-20.94_30.31_0.6844_0.6944_0.1277_0.1816end-1.16_9.35_1.33_15.78_-1.45_2.35_-12.13_-20.94_30.31_0.6851_0.6940_0.1274_0.1813end-1.19_9.26_1.34_18.80_-14.55_2.69_-12.13_-20.94_30.31_0.6851_0.6940_0.1274_0.1813end-1.19_9.26_1.34_18.80_-14.55_2.69_-12.13_-20.94_30.31_0.6871_0.6926_0.1257_0.1799end-0.88_9.31_1.37_18.80_-14.55_2.69_-12.13_-20.94_30.31_0.6879_0.6923_0.1248_0.1792end-0.52_9.36_1.62_18.80_-14.55_2.69_-12.13_-20.94_30.31_0.6887_0.6918_0.1238_0.1784end-0.36_9.33_1.56_18.80_-14.55_2.69_-10.44_-21.00_29.44_0.6887_0.6918_0.1238_0.1784end-0.29_9.32_1.49_18.80_-14.55_2.69_-11.88_-18.62_30.25_0.6910_0.6904_0.1213,24.13534162,120.74051468,148.20458984375
14,_0.1765end-0.18_9.30_1.58_18.80_-14.55_2.69_-11.88_-18.62_30.25_0.6917_0.6898_0.1208_0.1762end-0.26_9.30_1.60_23.16_-4.70_2.46_-10.88_-19.06_29.00_0.6917_0.6898_0.1208_0.1762end-0.41_9.28_1.61_23.84_0.22_2.80_-10.88_-19.06_29.00_0.6917_0.6898_0.1208_0.1762end-0.41_9.28_1.61_23.84_0.22_2.80_-10.88_-19.06_29.00_0.6939_0.6878_0.1202_0.1760end-0.98_9.24_1.54_23.84_0.22_2.80_-10.88_-19.06_29.00_0.6946_0.6870_0.1202_0.1763end-1.00_9.23_1.40_25.07_9.06_1.79_-10.88_-19.06_29.00_0.6946_0.6870_0.1202_0.1763end-1,24.13534162,120.74051468,148.20458984375
15,.09_9.21_1.10_25.63_0.22_2.01_-10.88_-19.06_29.00_0.6946_0.6870_0.1202_0.1763end-1.11_9.21_1.00_26.52_-5.93_2.24_-10.88_-19.06_29.00_0.6974_0.6838_0.1205_0.1773end-1.09_9.16_0.96_26.52_-5.93_2.24_-11.25_-18.25_31.12_0.6974_0.6838_0.1205_0.1773end-0.99_9.19_0.82_26.52_-5.93_2.24_-11.25_-18.25_31.12_0.7000_0.6815_0.1193_0.1768end-0.86_9.19_0.82_28.76_-19.47_1.79_-11.25_-18.25_31.12_0.7000_0.6815_0.1193_0.1768end-0.66_9.16_0.96_28.76_-19.47_1.79_-11.25_-18.25_31.12_0.7020_0.6801_0.1177_0.1758end-0.66_9.16_0.96_30.55_-22.60_0.45_-11.25_-18.25_31.50_0.7029_0.6793_0.1169_0.1752end-0.18_9.20_1.29_30.55_-22.60_0.45_-11.25_-18.25_31.50_0.7040_0.6786_0.1160_0.1746end-0.04_9.17_1.44_30.89_-17.23_0.11_-11.25_-18.25_31.50_0.7040_0.6786_0.1160_0.1746end0.04_9.20_1.42_30.89_-13.20_-0.11_-9.88_-17.56_30.62_0.7040_0.6786_0.1160_0.1746end0.11_9.14_1.39_31.45_-7.83_-0.67_-9.88_-17.56_30.62_0.7089_0.6744_0.1125_0.1732end0.09_9.14_1.40_31.45_-7.83_-0.67_-9.88_-17.56_30.62_0.7098_0.6734_0.1122_0.1734end-0.00_9.07_1.50_31.45_-7.83_-0.67_-9.88_-17.56_30.62_0.7107_0.6724_0.1122_0.1738end-0.13_9.09_1.58_32.90_16.67_0.90_-9.88_-17.56_30.62_0.7107_0.6724_0.1122_0.1738end-0.13_9.09_1.58_34.47_25.18_1.45_-10.25_-17.62_31.50_0.7125_0.6701_0.1128_0.1749end-0.77_8.98_1.60_34.47_25.18_1.45_-10.25_-17.62_31.50_0.7142_0.6677_0.1138_0.1766end,24.13534162,120.74051468,148.20458984375
16,,24.13534162,120.74051468,148.20458984375
17,-0.88_9.02_1.52_34.47_25.18_1.45_-10.25_-16.81_32.69_0.7151_0.6663_0.1144_0.1775end-0.86_8.98_1.38_36.48_25.85_0.11_-10.25_-16.81_32.69_0.7151_0.6663_0.1144_0.1775end-0.89_8.91_1.01_36.48_25.85_0.11_-10.25_-16.81_32.69_0.7180_0.6624_0.1158_0.1800end-0.86_8.90_0.77_36.48_25.85_0.11_-10.25_-16.81_32.69_0.7189_0.6611_0.1160_0.1807end-0.83_8.88_0.45_36.48_25.85_0.11_-11.25_-17.12_31.94_0.7200_0.6598_0.1161_0.1812end-0.88_8.85_0.39_38.61_10.63_1.01_-11.25_-17.12_31.94_0.7200_0.6598_0.1161_0.1812end-0.88_8.85_0.39_38.61_10.63_1.01_-10.31_-16.00_31.94_0.7231_0.6559_0.1163_0.1826end-0.94_8.81_0.25_38.61_10.63_1.01_-10.31_-16.00_31.94_0.7242_0.6545_0.1163_0.1831end-0.88_8.79_0.39_38.61_10.63_1.01_-10.25_-17.62_31.94_0.7242_0.6545_0.1163_0.1831end-0.92_8.79_0.36_38.61_10.63_1.01_-11.63_-15.63_32.31_0.7264_0.6518_0.1165_0.1841end,24.13534162,120.74051468,148.20458984375
18,,24.13534162,120.74051468,148.20458984375
19,,24.13534162,120.74051468,148.20458984375
20,-0.88_8.78_0.39_42.30_11.97_0.90_-11.63_-15.63_32.31_0.7264_0.6518_0.1165_0.1841end-0.88_8.78_0.39_42.86_12.65_1.57_-10.63_-15.69_33.13_0.7287_0.6490_0.1166_0.1851end-0.77_8.74_0.40_42.86_12.65_1.57_-10.63_-15.69_33.13_0.7310_0.6461_0.1168_0.1862end-0.75_8.72_0.20_42.86_12.65_1.57_-10.63_-15.69_33.13_0.7321_0.6445_0.1169_0.1867end-0.78_8.66_0.12_42.86_17.57_1.68_-10.63_-15.69_33.13_0.7321_0.6445_0.1169_0.1867end-0.78_8.66_0.12_42.97_18.46_1.45_-11.00_-15.25_34.31_0.7321_0.6445_0.1169_0.1867end-0.78_8.66_0.12_42.97_18.46_1.45_-11.00_-15.25_34.31_0.7355_0.6400_0.1176_0.1887end-0.78_8.66_0.12_44.43_14.44_1.79_-12.44_-13.25_31.87_0.7355_0.6400_0.1176_0.1887end-0.78_8.66_0.12_44.99_10.74_1.57_-11.38_-15.25_32.69_0.7379_0.6369_0.1179_0.1898end-0.78_8.66_0.12_46.33_8.17_1.34_-11.38_-15.25_32.69_0.7390_0.6354_0.1179_0.1902end,24.13534162,120.74051468,148.20458984375
21,,24.13534162,120.74051468,148.20458984375
22,-0.78_8.66_0.12_47.78_11.08_1.12_-12.06_-13.25_31.44_0.7416_0.6322_0.1176_0.1910end-0.39_8.49_0.24_47.78_13.43_1.45_-12.06_-13.25_31.44_0.7441_0.6290_0.1176_0.1921end-0.46_8.46_-0.07_47.78_13.43_1.45_-11.44_-13.69_33.13_0.7441_0.6290_0.1176_0.1921end-0.56_8.39_-0.65_47.78_13.43_1.45_-12.13_-12.50_33.94_0.7478_0.6239_0.1182_0.1939end-0.69_8.28_-1.14_47.78_13.43_1.45_-12.13_-12.50_33.94_0.7490_0.6222_0.1185_0.1946end-0.64_8.11_-1.33_47.67_20.03_2.35_-12.13_-12.50_33.94_0.7490_0.6222_0.1185_0.1946end-0.60_8.40_-1.50_48.01_19.25_1.90_-12.13_-12.50_33.94_0.7526_0.6170_0.1193_0.1967end-0.06_8.39_-1.91_48.01_19.25_1.90_-12.44_-12.06_33.13_0.7538_0.6152_0.1195_0.1974end0.33_8.42_-2.24_48.01_19.25_1.90_-12.44_-12.06_33.13_0.7538_0.6152_0.1195_0.1974end0.56_8.34_-2.29_49.01_16.79_0.22_-12.44_-12.06_33.13_0.7574_0.6101_0.1199_0.1993end,24.13534162,120.74051468,148.20458984375
23,,24.13534162,120.74051468,148.20458984375
24,,24.13534162,120.74051468,148.20458984375
25,0.73_7.80_-2.30_49.01_16.79_0.22_-12.44_-12.06_33.13_0.7587_0.6083_0.1201_0.2001end1.02_8.77_-1.84_49.01_16.79_0.22_-12.44_-12.06_33.13_0.7598_0.6064_0.1204_0.2009end0.57_8.46_-1.84_49.80_26.97_1.12_-12.50_-11.31_33.94_0.7598_0.6064_0.1204_0.2009end0.15_8.47_-2.15_49.80_30.33_1.68_-12.50_-11.31_33.94_0.7598_0.6064_0.1204_0.2009end-0.11_8.40_-1.25_49.80_30.33_1.68_-13.13_-11.31_33.94_0.7645_0.5988_0.1228_0.2050end-0.45_8.23_-1.29_50.47_39.84_1.79_-13.13_-11.31_33.94_0.7656_0.5968_0.1237_0.2061end-0.64_8.18_-1.78_50.47_39.84_1.79_-14.19_-10.13_34.31_0.7656_0.5968_0.1237_0.2061end-0.75_8.26_-2.13_50.47_39.84_1.79_-14.19_-10.13_34.31_0.7678_0.5927_0.1254_0.2086end-0.62_8.23_-2.76_51.36_33.12_1.12_-14.19_-10.13_34.31_0.7678_0.5927_0.1254_0.2086end-0.62_8.23_-2.76_51.14_20.93_1.34_-14.19_-10.13_34.31_0.7701_0.5886_0.1266_0.2108end,24.13534162,120.74051468,148.20458984375
26,,24.13534162,120.74051468,148.20458984375
27,,24.13534162,120.74051468,148.20458984375
28,-0.62_8.23_-2.76_51.14_20.93_1.34_-14.25_-9.31_34.31_0.7725_0.5848_0.1272_0.2122end0.34_8.26_-5.40_51.14_20.93_1.34_-14.25_-9.31_34.31_0.7737_0.5831_0.1271_0.2128end0.60_8.30_-5.86_50.58_2.80_0.67_-14.25_-9.31_34.31_0.7737_0.5831_0.1271_0.2128end0.60_8.30_-5.86_50.58_2.80_0.67_-13.94_-8.25_35.50_0.7775_0.5779_0.1257_0.2136end1.35_8.37_-7.40_50.58_2.80_0.67_-13.94_-8.25_35.50_0.7788_0.5764_0.1250_0.2136end1.49_8.43_-7.66_50.69_-10.30_-1.23_-13.94_-8.25_35.50_0.7788_0.5764_0.1250_0.2136end1.47_8.45_-7.54_50.02_-8.73_-1.45_-13.94_-8.25_35.50_0.7788_0.5764_0.1250_0.2136end1.35_8.48_-7.50_49.01_-4.25_-2.57_-13.94_-8.25_35.50_0.7788_0.5764_0.1250_0.2136end0.,24.13534162,120.74051468,148.20458984375
29,,24.13534162,120.74051468,148.20458984375
30,98_8.47_-7.37_46.66_7.50_-2.80_-13.69_-6.69_34.69_0.7788_0.5764_0.1250_0.2136end0.98_8.47_-7.37_44.54_13.20_-2.57_-13.69_-6.69_34.69_0.7861_0.5666_0.1215_0.2152end,24.13534162,120.74051468,148.20458984375
31,0.98_8.47_-7.37_43.31_19.14_-2.46_-13.69_-6.31_35.13_0.7861_0.5666_0.1215_0.2152end0.98_8.47_-7.37_39.61_27.31_-2.80_-13.69_-6.31_35.13_0.7887_0.5618_0.1223_0.2177end-0.88_8.43_-7.24_39.61_27.31_-2.80_-14.00_-6.62_35.94_0.7887_0.5618_0.1223_0.2177end-0.88_8.43_-7.24_37.15_23.05_-2.69_-14.00_-6.62_35.94_0.7903_0.5587_0.1232_0.219,24.13534162,120.74051468,148.20458984375
32,5end-1.76_8.43_-7.20_36.48_17.23_-2.35_-14.00_-6.62_35.94_0.7918_0.5558_0.1236_0.2209end-2.16_8.43_-6.97_36.48_17.23_-2.35_-14.00_-6.62_35.94_0.7926_0.5546_0.1235_0.2214end-2.16_8.43_-6.97_35.03_-0.56_-2.01_-14.69_-7.00_34.25_0.7934_0.5533_0.1231_0.2217end-2.07_8.43_-6.82_34.24_-6.15_-2.01_-14.69_-7.00_34.25_0.7934_0.5533_0.1231_0.2217end-1.71_8.51_-6.97_33.46_-11.64_-1.90_-14.69_-7.00_34.25_0.7934_0.5533_0.1231_0.2217end-1.53_8.52_-7.02_33.46_-11.64_-1.90_-14.69_-7.00_34.25_0.7968_0.5493_0.1202_0.2216end,24.13534162,120.74051468,148.20458984375
33,-1.13_8.48_-7.05_33.46_-11.64_-1.90_-14.69_-7.00_34.25_0.7968_0.5493_0.1202_0.2216end-0.96_8.50_-7.27_29.43_-6.27_-0.90_-14.69_-7.00_34.25_0.7968_0.5493_0.1202_0.2216end-0.96_8.52_-7.32_28.20_0.34_0.67_-14.69_-7.00_34.25_0.7990_0.5464_0.1183_0.2215end-0.98_8.51_-7.25_28.20_0.34_0.67_-14.69_-7.00_34.25_0.8003_0.5445_0.1178_0.2217end-1.00_8.52_-7.26_28.20_0.34_0.67_-15.13_-2.81_34.63_0.8010_0.5435_0.1176_0.2218end-1.07_8.55_-6.91_28.20_0.34_0.67_-15.13_-2.81_34.63_0.8016_0.5426_0.1172_0.2219end-1.16_8.52_-6.46_28.20_0.34_0.67_-15.13_-2.81_34.63_0.8022_0.5417_0.1168_0.2219end-1.12_8.54_-6.04_24.84_-5.48_0.45_-15.13_-2.81_34.63_0.8022_0.5417_0.1168_0.2219end-1.11_8.53_-5.88_24.84_-5.48_0.45_-14.81_-4.37_35.50_0.8041_0.5394_0.1154_0.2217end-1.11_8.54_-5.52_24.84_-5.48_0.45_-14.81_-4.37_35.50_0.8047_0.5388_0.1147_0.2214end,24.13534162,120.74051468,148.20458984375
34,,24.13534162,120.74051468,148.20458984375
35,-1.12_8.54_-5.39_22.60_-22.05_1.57_-14.81_-4.37_35.50_0.8047_0.5388_0.1147_0.2214end-1.12_8.54_-5.39_22.60_-22.05_1.57_-14.44_-4.37_35.50_0.8067_0.5371_0.1115_0.2198end-1.22_8.49_-5.12_22.60_-22.05_1.57_-14.44_-4.37_35.50_0.8074_0.5367_0.1102_0.2191end-1.21_8.49_-4.93_22.60_-22.05_1.57_-14.44_-4.37_35.50_0.8080_0.5363_0.1086_0.2182end-1.09_8.48_-4.92_22.60_-22.05_1.57_-14.44_-4.37_35.50_0.8087_0.5360_0.1070_0.2173end-1.02_8.51_-4.90_19.81_-43.64_1.01_-14.44_-4.37_35.50_0.8087_0.5360_0.1070_0.2173end-1.02_8.51_-4.90_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8107_0.5351_0.1020_0.2144end-0.95_8.50_-4.95_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8114_0.5348_0.10,24.13534162,120.74051468,148.20458984375
36,03_0.2135end-0.69_8.49_-4.82_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8120_0.5345_0.0988_0.2126end-0.69_8.49_-4.82_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8131_0.5338_0.0964_0.2114end,24.13534162,120.74051468,148.20458984375
37,-0.39_8.49_-4.76_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8136_0.5333_0.0958_0.2111end-0.28_8.49_-4.76_19.81_-43.64_1.01_-13.81_-3.62_36.31_0.8136_0.5333_0.0958_0.2111end-0.31_8.48_-4.74_14.88_23.72_0.90_-13.81_-3.62_36.31_0.8136_0.5333_0.0958_0.2111end-0.31_8.48_-4.74_14.88_23.72_0.90_-13.19_-2.12_35.06_0.8146_0.5314_0.0961_0.2117end-0.77_8.48_-4.86_14.88_23.72_0.90_-13.19_-2.12_35.06_0.8150_0.5298_0.0982_0.2131end-1.04_8.44_-4.98_13.20_48.68_1.68_-13.44_-3.25_36.75_0.8152_0.5289_0.0997_0.2142end-1.32_8.50_-5.05_13.09_54.39_2.46_-13.44_-3.25_36.75_0.8152_0.5289_0.0997_0.2142end-1.32_8.50_-5.05_13.09_54.39_2.46_-13.44_-3.25_36.75_0.8153_0.5269_0.1034_0.2166end-2.61_8.35_-5.15_13.09_54.39_2.46_-13.44_-3.25_36.75_0.8154_0.5259_0.1053_0.2177end-2.82_8.34_-5.15_13.09_54.39_2.46_-13.44_-3.25_36.75_0.8154_0.5259_0.1053_0.2177end,24.13534162,120.74051468,148.20458984375
38,,24.13534162,120.74051468,148.20458984375
39,,24.13534162,120.74051468,148.20458984375
40,-2.91_8.32_-4.94_13.09_54.39_2.46_-13.44_-3.25_36.75_0.8166_0.5228_0.1087_0.2193end-2.99_8.30_-4.59_13.09_54.39_2.46_-13.88_-0.94_36.75_0.8171_0.5223_0.1079_0.2186end-2.81_8.27_-3.83_13.09_54.39_2.46_-13.88_-0.94_36.75_0.8178_0.5221_0.1064_0.2175end-2.68_8.32_-3.64_13.09_54.39_2.46_-14.19_-2.06_37.56_0.8178_0.5221_0.1064_0.2175end-2.45_8.35_-3.53_13.09_54.39_2.46_-14.19_-2.06_37.56_0.8199_0.5219_0.0999_0.2130end-2.23_8.32_-3.44_13.09_54.39_2.46_-14.19_-2.06_37.56_0.8207_0.5219_0.0971_0.2111end-1.58_8.31_-3.50_13.09_54.39_2.46_-14.19_-2.06_37.56_0.8215_0.5220_0.0941_0.2092end-1.37_8.32_-3.54_18.46_-91.20_6.15_-14.19_-2.06_37.56_0.8215_0.5220_0.0941_0.20,24.13534162,120.74051468,148.20458984375
41,92end-1.20_8.32_-3.46_18.46_-91.20_6.15_-14.19_-2.06_37.56_0.8232_0.5223_0.0875_0.2047end-1.20_8.32_-3.46_18.46_-91.20_6.15_-14.19_-2.06_37.56_0.8249_0.5226_0.0806_0.1999end,24.13534162,120.74051468,148.20458984375
42,,24.13534162,120.74051468,148.20458984375
43,,24.13534162,120.74051468,148.20458984375
44,,24.13534162,120.74051468,148.20458984375
45,-1.20_8.30_-3.19_18.46_-91.20_6.15_-14.19_-2.06_37.56_0.8249_0.5226_0.0806_0.1999end-1.16_8.31_-2.96_20.37_-82.47_7.50_-14.19_-2.06_37.56_0.8249_0.5226_0.0806_0.1999end-1.16_8.31_-2.96_20.37_-82.47_7.50_-10.88_-1.12_38.31_0.8274_0.5225_0.0712_0.1933end-1.16_8.31_-2.96_20.81_-64.35_6.27_-10.88_-1.12_38.31_0.8281_0.5223_0.0687_0.1916end-0.81_8.30_-3.21_20.37_-56.18_5.71_-10.88_-1.12_38.31_0.8295_0.5217_0.0646_0.1887end-0.81_8.30_-3.21_20.37_-56.18_5.71_-9.94_-0.37_37.94_0.8295_0.5217_0.0646_0.1887end-0.81_8.30_-3.21_20.70_-45.10_6.71_-9.94_-0.37_37.94_0.8307_0.5209_0.0613_0.1862end-0.81_8.30_-3.21_20.70_-45.10_6.71_-10.25_-0.31_37.94_0.8314_0.5205_0.0598,24.13534162,120.74051468,148.20458984375
46,_0.1851end-1.11_8.18_-2.77_22.38_-34.58_7.83_-9.25_0.37_37.13_0.8321_0.5200_0.0585_0.1840end-1.11_8.18_-2.77_22.94_-31.56_7.16_-9.25_0.37_37.13_0.8334_0.5188_0.0562_0.1822end-1.11_8.14_-2.77_22.94_-31.56_7.16_-9.25_0.37_37.13_0.8334_0.5188_0.0562_0.1822end-1.01_8.14_-2.77_23.50_-26.30_5.71_-9.25_0.37_37.13_0.8353_0.5168_0.0530_0.1798end-0.88_8.13_-2.79_24.51_-26.30_5.93_-9.69_1.94_39.13_0.8359_0.5162_0.0521_0.1791end-0.77_8.10_-2.84_24.51_-26.30_5.93_-9.69_1.94_39.13_0.8359_0.5162_0.0521_0.1791end-0.79_8.10_-2.98_24.51_-26.30_5.93_-9.69_1.94_39.13_0.8373_0.5147_0.0500_0.1775end-0.74_8.07_-3.05_26.07_-24.73_6.38_-9.69_1.94_39.13_0.8373_0.5147_0.0500_0.1775end-0.76_8.06_-3.06_25.96_-21.60_6.38_-9.69_1.94_39.13_0.8393_0.5124_0.0473_0.1754end-0.71_8.00_-3.28_25.96_-21.60_6.38_-9.69_1.94_39.13_0.8393_0.5124_0.0473_0.1754end-0.6,24.13534162,120.74051468,148.20458984375
