ID,data,latitude,longitude,altitude
1,0.25_9.28_-3.25_32.01_-16.34_1.57_17.81_-27.50_-26.94_0.1903_0.1427_-0.6281_-0.7409end0.43_9.26_-3.33_29.88_-7.27_0.22_17.81_-27.50_-26.94_0.1903_0.1427_-0.6281_-0.7409end0.43_9.26_-3.33_29.66_-5.15_0.11_17.50_-27.81_-26.94_0.1903_0.1427_-0.6281_-0.7409end0.36_9.25_-3.15_29.66_-5.15_0.11_17.50_-27.81_-26.94_0.1902_0.1403_-0.6235_-0.7452end0.11_9.28_-3.10_29.66_-5.15_0.11_17.50_-27.81_-26.94_0.1902_0.1403_-0.6235_-0.7452end0.10_9.29_-2.98_29.66_-5.15_0.11_18.19_-27.13_-27.81_0.1902_0.1403_-0.6235_-0.7452end-0.04_9.29_-2.93_28.42_-4.81_-0.22_18.19_-27.13_-27.81_0.1902_0.1403_-0.6235_-0.7452end-0.04_9.29_-2.93_28.42_-4.81_-0.22_18.19_-27.13_-27.81_0.1906_0.1384_-0.6190_-0.7492end0.04_9.30_-2.88_28.42_-4.81_-0.22_18.87_-27.81_-26.44_0.1907_0.1379_-0.6182_-0.7500end0.07_9.30_-2.64_28.42_-4.81_-0.22_18.87_-27.81_-26.44_0.1908_0.1375_-0.6172_-0.7508end0.06_9.30_-2.62_27.31_-7.05_-0.67_18.87_-27.81_-26.44_0.1908_0.1375_-0.6172_-0.7508end0.01_9.24_-2.57_27.31_-7.05_-0.67_18.19_-28.87_-27.31_0.1908_0.1375_-0.6172_-0.7508end0.02_9.28_-2.59_26.86_-8.17_-1.23_18.19_-28.87_-27.31_0.1909_0.1355_-0.6140_-0.7538end-0.03_9.27_-2.61_26.86_-8.17_-1.23_18.19_-28.87_-27.31_0.1909_0.1355_-0.6140_-0.7538end-0.07_9.25_-2.59_26.86_-8.17_-1.23_18.19_-28.87_-27.31_0.1909_0.1345_-0.6123_-0.7554end-0.10_9.21_-2.55_26.86_-8.17_-1.23_18.19_-28.87_-27.31_0.1909_0.1340_-0.6115_-0.7561end-0.16_9.19_-2.48_26.97_-5.37_-1.45_18.19_-28.87_-27.31_0.1909_0.1340_-0.6115_-0.7561end-0.22_9.25_-2.40_26.97_-5.37_-1.45_18.19_-28.87_-27.31_0.1911_0.1332_-0.6098_-0.7576end-0.22_9.25_-2.40_27.31_-8.17_-1.45_18.19_-28.87_-27.31_0.1912_0.1322_-0.6081_-0.7590end-0.37_9.27_-2.43_27.31_-8.17_-1.45_18.19_-28.87_-27.31_0.1912_0.1322_-0.6081_-0.7590end-0.34_9.19_-2.40_26.97_-11.41_-1.12_18.19_-28.87_-27.31_0.1910_0.1304_-0.6057_-0.7614end-0.35_9.01_-2.36_26.97_-11.41_-1.12_16.37_-29.25_-26.94_0.1909_0.1296_-0.6049_-0.7621end-0.27_9.05_-2.36_26.63_-16.67_-1.45_16.37_-29.25_-26.94_0.1909_0.1296_-0.6049_-0.7621end-0.27_9.05_-2.36_26.30_-18.35_-1.90_17.12_-28.56_-24.69_0.1902_0.1271_-0.6027_-0.7645end-0.14_9.23_-2.48_26.75_-20.70_-1.57_17.12_-28.56_-24.69_0.1899_0.1262_-0.6020_-0.7653end-0.09_9.25_-2.59_26.75_-20.70_-1.57_17.12_-28.56_-24.69_0.1895_0.1252_-0.6013_-0.7661end-0.09_9.25_-2.59_26.75_-22.83_-1.79_17.12_-28.56_-25.56_0.1895_0.1252_-0.6013_-0.7661end-0.09_9.25_-2.59_26.75_-22.83_-1.79_17.12_-28.56_-25.56_0.1884_0.1220_-0.5991_-0.7686end0.12_9.13_-2.54_26.75_-22.83_-1.79_17.12_-28.56_-25.56_0.1884_0.1220_-0.5991_-0.7686end0.15_9.08_-2.47_27.31_-23.16_-2.80_17.12_-28.56_-25.56_0.1884_0.1220_-0.5991_-0.7686end0.21_9.08_-2.57_27.19_-23.16_-3.13_17.50_-29.25_-25.06_0.1884_0.1220_-0.5991_-0.7686end0.21_9.08_-2.57_27.53_-23.28_-3.58_17.50_-29.25_-25.06_0.1884_0.1220_-0.5991_-0.7686end0.21_9.08_-2.57_27.31_-23.50_-3.80_17.12_-29.25_-26.06_0.1866_0.1166_-0.5956_-0.7726end0.25_9.02_-2.43_27.31_-23.50_-3.80_17.12_-29.25_-26.06_0.1860_0.1144_,0.0,0.0,0.0
2,-0.5941_-0.7742end0.33_8.88_-2.33_27.31_-23.50_-3.80_17.12_-29.25_-26.06_0.1860_0.1144_-0.5941_-0.7742end0.25_9.25_-2.25_27.86_-22.16_-4.36_17.12_-29.25_-26.06_0.1860_0.1144_-0.5941_-0.7742end0.21_8.75_-2.29_27.86_-22.16_-4.36_17.50_-30.31_-24.19_0.1849_0.1101_-0.5911_-0.7774end0.25_9.43_-2.26_27.86_-22.16_-4.36_17.12_-29.63_-24,0.0,0.0,0.0
3,.19_0.1847_0.1091_-0.5903_-0.7781end0.15_9.05_-2.43_27.86_-22.16_-4.36_17.12_-29.63_-24.19_0.1847_0.1091_-0.5903_-0.7781end0.17_8.88_-2.16_27.86_-22.16_-4.36_17.12_-29.63_-24.19_0.1844_0.1071_-0.5887_-0.7797end0.17_8.88_-2.16_29.10_-18.69_-5.93_17.12_-29.63_-24.19_0.1843_0.1061_-0.5878_-0.7805end0.17_8.88_-2.16_29.10_-18.69_-5.93_17.12_-29.63_-24.19_0.1840_0.1040_-0.5862_-0.7821end-0.09_8.98_-2.29_29.10_-18.69_-5.93_17.12_-29.63_-24.19_0.1839_0.1030_-0.5853_-0.7829end-0.12_8.93_-2.43_30.10_-18.69_-6.38_17.12_-29.63_-24.19_0.1839_0.1030_-0.5853_-0.7829end-0.23_8.93_-2.30_30.77_-19.02_-6.60_17.12_-29.63_-24.19_0.1839_0.1030_-0.5853_-0.7829end-0.23_8.93_-2.30_30.77_-19.02_-6.60_17.50_-31.37_-24.69_0.1836_0.0998_-0.5827_-0.7853end-0.23_8.93_-2.30_30.89_-19.81_-6.94_17.50_-31.37_-24.69_0.1833_0.0976_-0.5810_-0.7869end-0.23_8.93_-2.30_31.67_-21.93_-7.39_17.50_-31.37_-24.69_0.1833_0.0976_-0.5810_-0.7869end-0.37_8.82_-2.42_31.33_-23.61_-7.72_17.50_-31.37_-24.69_0.1830_0.0952_-0.5792_,0.0,0.0,0.0
4,-0.7886end-0.37_8.82_-2.42_31.33_-23.61_-7.72_17.50_-31.37_-24.69_0.1828_0.0939_-0.5784_-0.7895end-0.38_8.87_-2.53_31.33_-23.61_-7.72_17.50_-30.69_-23.31_0.1828_0.0939_-0.5784_-0.7895end-0.33_8.79_-2.66_31.33_-23.61_-7.72_17.50_-30.69_-23.31_0.1823_0.0912_-0.5766_-0.7912end-0.24_8.81_-2.77_31.33_-23.61_-7.72_15.69_-30.69_-23.81_0.1823_0.0912_-0.5766_-0.7912end-0.22_8.78_-2.61_33.24_-29.43_-9.06_15.69_-30.69_-23.81_0.1815_0.0868_-0.5740_-0.7938end-0.22_8.78_-2.61_33.46_-29.99_-8.95_15.69_-30.69_-23.81_0.1809_0.0838_-0.5722_-0.7955end-0.27_8.85_-2.95_33.46_-29.99_-8.95_15.69_-30.69_-23.81_0.1806_0.0823_-0.5713_-0.7964end-0.29_8.61_-3.08_33.46_-29.99_-8.95_15.69_-30.69_-23.81_0.1806_0.0823_-0.5713_-0.7964end-0.37_8.74_-3.09_33.57_-28.87_-9.74_15.69_-30.69_-23.81_0.1806_0.0823_-0.5713_-0.7964end-0.37_8.74_-3.09_33.57_-28.87_-9.74_16.44_-30.69_-23.81_0.1797_0.0763_-0.5676_-0.7999end-0.34_8.51_-3.25_33.57_-28.87_-9.74_16.44_-30.69_-23.81_0.1796_0.0749_-0.5666_-0.8007end-0.45_8.79_-,0.0,0.0,0.0
5,3.37_34.69_-23.84_-10.97_16.44_-30.69_-23.81_0.1796_0.0749_-0.5666_-0.8007end-0.45_8.86_-3.38_34.36_-22.72_-11.19_16.44_-30.69_-23.81_0.1796_0.0749_-0.5666_-0.8007end-0.61_8.84_-3.38_34.36_-22.72_-11.19_15.69_-32.13_-25.56_0.1794_0.0696_-0.5626_-0.8040end-0.56_8.26_-3.39_34.36_-22.72_-11.19_15.69_-30.69_-21.56_0.1794_0.0683_-0.5615_-0.8049end-0.73_8.59_-3.39_34.36_-22.72_-11.19_15.69_-30.69_-21.56_0.1794_0.0671_-0.5605_-0.8057end-0.86_8.30_-3.52_34.36_-22.72_-11.19_15.69_-31.06_-22.81_0.1794_0.0671_-0.5605_-0.8057end-0.90_8.52_-3.56_35.25_-11.19_-12.53_15.69_-31.06_-22.81_0.1794_0.0671_-0.5605_-0.8057end-1.00_8.47_-3.82_35.25_-11.19_-12.53_15.69_-31.06,0.0,0.0,0.0
6,_-22.81_0.1801_0.0638_-0.5573_-0.8081end-1.00_8.47_-3.82_35.47_-6.49_-12.87_15.69_-31.06_-22.81_0.1807_0.0621_-0.5549_-0.8096end-1.16_8.48_-4.02_35.47_-6.49_-12.87_15.69_-31.06_-22.81_0.1807_0.0621_-0.5549_-0.8096end-1.34_8.81_-3.89_35.92_0.45_-12.87_15.69_-31.06_-22.81_0.1807_0.0621_-0.5549_-0.8096end-1.43_8.48_-3.65_35.92_3.92_-13.32_15.69_-31.06_-22.81_0.1807_0.0621_-0.5549_-0.8096end-1.43_8.48_-3.65_35.92_3.92_-13.32_15.69_-31.44_-21.56_0.1838_0.0594_-0.5486_-0.8134end-1.79_8.26_-4.20_35.92_3.92_-13.32_15.69_-31.44_-21.56_0.1838_0.0594_-0.5486_-0.8134end-1.95_8.32_-4.37_35.14_11.30_-12.76_16.06_-32.50_-22.44_0.1838_0.0594_-0.5486_-0.8134end-2.18_8.,0.0,0.0,0.0
7,93_-4.66_34.47_11.75_-12.76_16.06_-32.50_-22.44_0.1872_0.0587_-0.5433_-0.8163end-2.25_9.69_-4.84_34.47_11.75_-12.76_16.06_-32.50_-22.44_0.1881_0.0586_-0.5421_-0.8169end-2.30_13.85_-6.20_34.47_11.75_-12.76_16.06_-32.50_-22.44_0.1881_0.0586_-0.5421_-0.8169end-2.13_14.82_-6.74_34.47_11.75_-12.76_16.75_-33.56_-20.56_0.1907_0.0583_-0.5383_-0.8188end-2.21_15.34_-7.32_29.66_-9.29_-9.51_16.44_-31.44_-21.06_0.1907_0.0583_-0.5383_-0.8188end-2.38_17.63_-7.91_29.66_-9.29_-9.51_16.44_-31.44_-21.06_0.1907_0.0583_-0.5383_-0.8188end-1.72_17.80_-7.59_29.66_-9.29_-9.51_16.44_-32.13_-20.56_0.1904_0.0548_-0.5358_-0.8208end-1.65_18.48_-8.76_18.58_-65.46_-2.57_16.44_-32.13_-20.56_0.1904_0.0548_-0.5358_-0.8208end-1.55_19.02_-8.19_18.58_-65.46_-2.57_16.75_-31.75_-21.50_0.1859_0.0466_-0.5356_-0.8224end-1.21_19.37_-8.64_18.58_-65.46_-2.57_15.69_-33.56_-21.06_0.1839_0.0433_-0.5359_-0.8229end-1.03_18.96_-6.62_5.04_-97.36_-0.34_15.69_-33.56_-21.06_0.1839_0.0433_-0.5359_-0.8229end0.75_18.52_-10.60_5.04_-9,0.0,0.0,0.0
8,7.36_-0.34_15.69_-33.56_-21.06_0.1794_0.0363_-0.5370_-0.8234end1.04_18.00_-9.68_-1.01_-91.76_1.01_15.69_-33.56_-21.06_0.1794_0.0363_-0.5370_-0.8234end1.04_18.00_-9.68_-1.01_-91.76_1.01_15.69_-33.56_-21.06_0.1732_0.0270_-0.5391_-0.8238end-0.38_18.18_-6.68_-1.01_-91.76_1.01_15.31_-32.50_-20.56_0.1732_0.0270_-0.5391_-0.8238end-0.38_18.18_-6.68_-6.49_-58.08_2.35_15.31_-32.50_-20.56_0.1703_0.0230_-0.5405_-0.8237end-0.45_16.43_-3.52_-6.49_-58.08_2.35_15.31_-32.50_-20.56_0.1695_0.0219_-0.5411_-0.8234end-0.45_16.43_-3.52_-6.49_-58.08_2.35_15.31_-32.50_-20.56_0.1691_0.0215_-0.5419_-0.8230end-0.72_14.43_-5.22_-20.59_1.68_-0.78_15.31_-32.50_-20.56_0.1693_0.0219_-0.5433_-0.8220end-0.36_13.96_-5.46_-20.59_1.68_-0.78_15.31_-32.50_-20.56_0.1695_0.0223_-0.5441_-0.8214end-1.28_13.55_-5.03_-20.59_1.68_-0.78_15.31_-32.50_-20.56_0.1695_0.0223_-0.5441_-0.8214end-1.25_13.24_-4.12_-20.59_1.68_-0.78_15.31_-32.50_-20.56_0.1695_0.0223_-0.5441_-0.8214end-1.20_13.11_-3.69_-20.59_1.68_-0.78_15.31_-32.50_,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
