ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,0.44_6.14_2.62_-67.37_16.90_8.62_12.56_-14.06_-40.31_0.1129_0.1949_-0.7874_-0.5738end0.44_6.14_2.62_-60.76_23.05_8.28_12.56_-15.81_-40.38_0.1129_0.1961_-0.7888_-0.5714end0.32_6.54_2.58_-60.76_23.05_8.28_12.56_-15.81_-40.38_0.1129_0.1961_-0.7888_-0.5714end0.32_6.54_2.58_-60.76_23.05_8.28_13.69_-13.38_-41.25_0.1130_0.1982_-0.7914_-0.5671end0.27_6.98_2.44_-54.16_15.22_7.83_13.69_-13.38_-41.25_0.1129_0.1992_-0.7927_-0.5651end0.27_6.98_2.44_-49.35_3.69_8.06_13.69_-13.38_-41.25_0.1129_0.1992_-0.7927_-0.5651end0.34_7.31_2.42_-49.35_3.69_8.06_13.69_-13.38_-41.25_0.1116_0.2012_-0.7961_-0.5597end0.42_7.54_2.33_-44.99_-9.40_8.39_13.69_-13.38_-41.25_0.1116_0.2012_,0.0,0.0,0.0
5,-0.7961_-0.5597end0.42_7.54_2.33_-42.64_-15.00_8.50_14.38_-13.38_-40.75_0.1116_0.2012_-0.7961_-0.5597end0.46_7.96_2.12_-42.64_-15.00_8.50_13.31_-13.31_-39.44_0.1085_0.2018_-0.7993_-0.5556end,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
11,,0.0,0.0,0.0
12,0.48_8.11_2.03_-42.64_-15.00_8.50_13.31_-13.31_-39.44_0.1058_0.2017_-0.8012_-0.5533end0.50_8.36_1.84_-42.64_-15.00_8.50_13.31_-13.31_-39.44_0.1046_0.2016_-0.8021_-0.5523end0.50_8.45_1.87_-42.64_-15.00_8.50_13.31_-12.31_-40.75_0.1033_0.2015_-0.8029_-0.5514end0.50_8.43_1.95_-42.64_-15.00_8.50_13.31_-12.31_-40.25_0.1033_0.2015_-0.8,0.0,0.0,0.0
13,029_-0.5514end0.50_8.45_2.05_-42.64_-15.00_8.50_11.88_-11.63_-41.25_0.1003_0.2016_-0.8049_-0.5490end0.29_8.29_2.36_-42.64_-15.00_8.50_11.88_-11.63_-41.25_0.0994_0.2017_-0.8055_-0.5483end0.21_8.22_2.43_-17.79_-15.33_8.06_11.88_-11.63_-41.25_0.0994_0.2017_-0.8055_-0.5483end0.21_8.28_2.35_-14.77_-17.68_8.28_11.88_-11.63_-41.25_0.0994_0.2017_-0.8055_-0.5483end0.21_8.28_2.35_-10.07_-27.98_8.06_12.56_-12.00_-41.63_0.0994_0.2017_-0.8055_-0.5483end0.36_8.45_2.03_-7.50_-35.25_8.50_12.56_-12.00_-41.63_0.0939_0.2007_-0.8073_-0.5469end,0.0,0.0,0.0
14,,0.0,0.0,0.0
15,,0.0,0.0,0.0
16,,0.0,0.0,0.0
17,,0.0,0.0,0.0
18,,0.0,0.0,0.0
19,0.46_8.70_1.56_-7.50_-35.25_8.50_12.56_-12.00_-41.63_0.0939_0.2007_-0.8073_-0.5469end0.46_8.91_1.27_-7.50_-35.25_8.50_12.56_-12.00_-41.63_0.0905_0.1993_-0.8078_-0.5474end0.56_9.05_1.08_0.34_-47.22_8.28_12.56_-12.00_-41.63_0.0905_0.1993_-0.8078_-0.5474end0.57_9.22_1.04_0.34_-47.22_8.28_12.56_-12.00_-41.63_0.0868_0.1976_-0.8080_-0.5482end0.71_9.39_1.04_0.34_-47.22_8.28_12.56_-12.00_-41.63_0.0835_0.1960_-0.8080_-0.5493end0.75_9.76_0.76_0.34_-47.22_8.28_12.56_-12.00_-41.63_0.0822_0.1953_-0.8079_-0.5499end0.78_9.76_0.68_11.86_-28.87_3.80_12.56_-12.00_-41.63_0.0822_0.1953_-0.8079_-0.5499end0.58_9.72_0.61_14.44_-23.95_2.57_12.56_-12.00_-41.63_0.0822_0.1953_-0.8079_-0.5499end0.79_9.48_0.93_14.44_-23.95_2.57_12.56_-12.00_-41.63_0.0788_0.1930_-0.8069_-0.5527end0.51_9.30_0.89_21.37_-17.01_1.12_12.56_-12.00_-41.63_0.0782_0.1925_-0.8065_-0.5536end,0.0,0.0,0.0
20,,0.0,0.0,0.0
21,,0.0,0.0,0.0
22,,0.0,0.0,0.0
23,,0.0,0.0,0.0
24,,0.0,0.0,0.0
25,,0.0,0.0,0.0
