ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,-1.17_9.25_1.93_15.89_-8.06_3.92_17.69_-11.69_-32.44_0.1879_0.1429_-0.7366_-0.6337end-1.19_9.28_1.90_15.89_-8.06_3.92_17.69_-11.69_-32.44_0.1870_0.1421_-0.7355_-0.6355end-1.17_9.26_1.87_15.89_-8.06_3.92_16.31_-12.44_-31.94_0.1865_0.1417_-0.7351_-0.6362end-1.14_9.16_1.85_15.89_-8.06_3.92_16.31_-12.44_-31.94_0.1865_0.1417_-0.7351_-0.6362end-1.15_9.65_1.64_17.35_-24.17_3.92_16.31_-12.44_-31.94_0.1865_0.1417_-0.7351_-0.6362end-1.15_9.65_1.64_17.35_-24.17_3.92_15.94_-12.37_-33.31_0.1833_0.1389_-0.7339_-0.6391end-1.15_9.27_1.58_17.35_-24.17_3.92_15.94_-12.37_-33.31_0.1823_0.1379_-0.7337_-0.6399end-1.15_9.23_1.39_19.02_-40.85_3.80_15.94_-12.37_-33.31_0.1823_0.1379_-0.7337_-0.6399end-1.06_9.09_1.48_19.58_-43.64_3.80_15.94_-12.37_-33.31_0.1823_0.1379_-0.7337_-0.6399end-1.09_9.13_1.61_19.58_-43.64_3.80_15.94_-13.13_-32.38_0.1823_0.1379_-0.7337_-0.6399end,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,-1.07_8.94_1.65_19.58_-43.64_3.80_15.94_-13.13_-32.38_0.1750_0.1313_-0.7327_-0.6445end-0.87_9.41_1.47_19.58_-43.64_3.80_15.94_-13.13_-32.38_0.1732_0.1296_-0.7325_-0.6455end-0.72_9.23_1.80_19.58_-43.64_3.80_15.94_-13.13_-32.38_0.1714_0.1280_-0.7323_-0.6465end-0.64_9.46_1.67_20.81_-57.30_2.57_15.94_-13.13_-32.38_0.1714_0.1280_-0.7323_-0.6465end-0.64_9.46_1.67_20.81_-57.30_2.57_15.94_-13.13_-32.38_0.1663_0.1230_-0.7317_-0.6495end-0.37_9.20_1.68_20.81_-57.30_2.57_15.94_-13.13_-32.38_0.1648_0.1216_-0.7314_-0.6505end-0.43_9.21_1.59_20.81_-57.30_2.57_15.94_-13.13_-32.38_0.1648_0.1216_-0.7314_-0.6505end-0.37_9.20_1.55_20.81_-57.30_2.57_15.94_-13.13_-32.38_0.16,0.0,0.0,0.0
6,26_0.1192_-0.7308_-0.6522end-0.34_9.24_1.54_20.37_-21.15_-1.12_15.94_-13.13_-32.38_0.1626_0.1192_-0.7308_-0.6522end-0.57_9.24_1.54_20.37_-13.09_-1.68_15.94_-13.13_-32.38_0.1614_0.1171_-0.7294_-0.6544end,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,0.16_5.77_1.10_20.37_-13.09_-1.68_15.94_-13.13_-32.38_0.1616_0.1168_-0.7289_-0.6550end-1.11_8.14_2.29_20.37_-13.09_-1.68_14.94_-14.19_-32.81_0.1616_0.1168_-0.7289_-0.6550end0.37_9.53_0.73_18.46_3.58_-0.22_14.94_-14.19_-32.81_0.1616_0.1168_-0.7289_-0.6550end-0.29_8.89_-0.37_18.46_3.58_-0.22_14.19_-14.94_-32.75_0.1616_0.1168_-0.7289_-0.6550end-0.29_8.89_-0.37_21.37_-5.93_3.36_14.19_-14.94_-32.75_0.1618_0.1161_-0.7260_-0.6582end-0.95_9.26_0.33_21.37_-5.93_3.36_14.19_-14.94_-32.75_0.1617_0.1160_-0.7254_-0.6589end-2.11_9.49_0.91_21.37_-5.93_3.36_14.19_-14.94_-32.75_0.1617_0.1160_-0.7254_-0.6589end-1.96_9.07_0.86_21.37_-5.93_3.36_13.94_-13.88_-32.81_0.1618_0.1156_-0.7234_-0.6611end-2.20_9.12_1.05_21.37_-5.93_3.36_14.19_-14.94_-32.31_0.1619_0.1154_-0.7227_-0.6619end-2.00_9.24_1.40_21.37_-5.93_3.36_14.19_-14.94_-32.31_0.1619_0.1154_-0.7227_-0.6619end,0.0,0.0,0.0
10,-1.76_9.23_2.02_21.37_-5.93_3.36_14.19_-14.94_-32.31_0.1612_0.1144_-0.7214_-0.6636end-1.66_9.19_1.96_25.40_-43.98_3.92_14.19_-14.94_-32.31_0.1612_0.1144_-0.7214_-0.6636end-1.66_9.19_1.96_25.40_-43.98_3.92_14.19_-14.94_-32.31_0.1576_0.1108_-0.7200_-0.6667end-1.48_9.16_1.63_25.40_-43.98_3.92_14.19_-14.94_-32.31_0.1559_0.1093_-0.7196_-0.6678end-1.39_9.18_1.55_25.85_-56.06_2.46_14.19_-14.94_-32.31_0.1559_0.1093_-0.7196_-0.6678end-1.39_9.18_1.55_25.85_-56.06_2.46_14.19_-14.94_-32.31_0.1509_0.1042_-0.7184_-0.6710end-1.05_9.16_1.25_25.85_-56.06_2.46_13.56_-14.63_-31.87_0.1509_0.1042_-0.7184_-0.6710end-1.05_9.16_1.25_26.41_-46.66_2.69_13.56_-14.63_-31.87_0.1482_0.1013_-0.7175_-0.6731end-1.05_9.16_1.25_27.75_-35.36_3.02_13.56_-14.63_-31.87_0.1482_0.1013_-0.7175_-0.6731end-1.05_9.16_1.25_27.86_-28.09_3.36_13.56_-14.63_-31.87_0.1461_0.0991_-0.7162_-0.6752end,0.0,0.0,0.0
