ID,data,latitude,longitude,altitude
1,.5888end-0.86_9.81_0.14_-0.22_-3.92_0.56_32.94_-28.44_-8.38_0.4464_0.3814_-0.5552_-0.5891end-0.98_9.74_0.17_-0.22_-3.92_0.56_32.94_-28.44_-8.38_0.4463_0.3813_-0.5552_-0.5892end-1.00_9.72_0.18_-0.22_-3.92_0.56_31.87_-28.75_-7.00_0.4462_0.3813_-0.5553_-0.5892end-1.03_9.76_0.23_0.78_-5.04_1.57_31.87_-28.75_-7.00_0.4462_0.3813_-0.5553_-0.5892end-1.00_9.76_0.16_0.78_-5.04_1.57_31.87_-28.75_-7.00_0.4457_0.3810_-0.5555_-0.5897end-0.93_9.76_0.20_1.12_-7.27_1.79_31.87_-28.75_-7.00_0.4455_0.3808_-0.5556_-0.5898end,24.13973903,120.75111954,428.2628173828125
2,-0.98_9.76_0.23_1.12_-7.27_1.79_31.87_-28.75_-7.00_0.4455_0.3808_-0.5556_-0.5898end-0.98_9.76_0.18_1.01_-8.50_2.35_31.87_-28.75_-7.00_0.4455_0.3808_-0.5556_-0.5898end-0.98_9.76_0.18_2.01_-8.39_2.91_31.87_-27.44_-8.81_0.4448_0.3803_-0.5558_-0.5903end-0.98_9.76_0.18_2.24_-8.62_2.69_31.87_-27.44_-8.81_0.4443_0.3799_-0.5560_-0.5908end-1.01_9.75_0.15_2.24_-8.62_2.69_31.87_-27.44_-8.81_0.4441_0.3798_-0.5561_-0.5911end-0.92_9.74_0.09_2.24_-8.62_2.69_31.87_-27.44_-8.81_0.4438_0.3795_-0.5562_-0.5913end-0.86_9.77_0.13_2.24_-8.62_2.69_32.94_-28.44_-7.87_0.4438_0.3795_-0.5562_-0.5913end-0.75_9.76_0.12_2.24_-8.62_2.69_32.94_-28.81_-7.50_0.4427_0.3786_-0.5565_-0.5924end-0.50_9.76_0.04_2.24_-8.62_2.69_32.94_-28.81_-7.50_0.4427_0.3786_-0.5565_-0.5924end-0.43_9.73_0.03_2.24_-8.62_2.69_32.25_-28.44_-8.81_0.4427_0.3786_-0.5565_-0.5924end,24.13973903,120.75111954,428.2628173828125
3,,24.13973903,120.75111954,428.2628173828125
4,,24.13973903,120.75111954,428.2628173828125
5,-0.43_9.73_0.03_2.24_-8.62_2.69_32.25_-28.44_-8.81_0.4409_0.3768_-0.5573_-0.5942end-0.14_9.76_-0.27_2.24_-8.62_2.69_32.25_-28.44_-8.81_0.4404_0.3764_-0.5575_-0.5946end-0.16_9.77_-0.34_2.24_-8.62_2.69_32.25_-28.12_-7.50_0.4400_0.3760_-0.5576_-0.5950end-0.12_9.75_-0.43_4.25_-13.99_3.58_32.25_-28.12_-7.50_0.4400_0.3760_-0.5576_-0.5950end-0.12_9.75_-0.43_4.25_-13.99_3.58_32.25_-28.12_-7.50_0.4390_0.3751_-0.5579_-0.5961end-0.07_9.71_-0.56_4.25_-13.99_3.58_32.63_-28.81_-7.94_0.4388_0.3748_-0.5580_-0.5964end0.00_7.98_-0.59_4.25_-13.99_3.58_32.63_-28.81_-7.94_0.4388_0.3748_-0.5580_-0.5964end-0.32_12.19_-1.06_4.48_-5.71_2.69_32.63_-28.81_-7.94_0.4388_0.3748_-0.5580_-0.5964end-0.32_12.19_-1.06_4.48_-5.71_2.69_32.19_-27.44_-7.50_0.4384_0.3743_-0.5579_-0.5971end0.02_9.76_-1.37_4.48_-5.71_2.69_32.19_-27.44_-7.50_0.4384_0.3741_-0.5577_-0.5974end,24.13973903,120.75111954,428.2628173828125
6,,24.13973903,120.75111954,428.2628173828125
7,-0.15_9.80_-0.57_4.48_-5.71_2.69_32.19_-27.44_-7.50_0.4384_0.3740_-0.5576_-0.5975end0.18_9.71_-0.67_4.48_-5.71_2.69_32.19_-27.44_-7.50_0.4384_0.3740_-0.5576_-0.5975end-0.18_9.64_-1.07_4.48_-5.71_2.69_31.50_-28.44_-8.81_0.4384_0.3740_-0.5576_-0.5975end0.02_9.73_-0.89_4.48_-5.71_2.69_31.50_-27.44_-7.50_0.4384_0.3738_-0.5573_-0.5980end-0.19_9.73_-0.89_4.92_2.46_1.45_31.50_-27.44_-7.50_0.4385_0.3739_-0.5569_-0.5981end-0.09_9.68_-1.16_4.14_6.83_0.22_31.50_-27.44_-7.50_0.4387_0.3740_-0.5567_-0.5981end-0.05_9.74_-0.91_4.14_6.83_0.22_31.50_-27.44_-7.50_0.4387_0.3740_-0.5567_-0.5981end0.01_9.75_-1.34_4.14_6.83_0.22_33.25_-28.81_-7.00_0.4387_0.3740_-0.5567_-0.5981end0.01_9.75_-1.34_4.14_6.83_0.22_31.50_-28.75_-7.94_0.4398_0.3748_-0.5557_-0.5977end0.00_9.68_-1.43_4.14_6.83_0.22_31.50_-28.75_-7.94_0.4402_0.3751_-0.5554_-0.5975end,24.13973903,120.75111954,428.2628173828125
8,,24.13973903,120.75111954,428.2628173828125
9,,24.13973903,120.75111954,428.2628173828125
10,,24.13973903,120.75111954,428.2628173828125
