ID,data,latitude,longitude,altitude
1,-4.14_3.47_-34.50_-26.44_1.62_0.5037_0.5276_0.4815_0.4858end0.20_9.95_0.68_3.69_-4.14_3.47_-33.75_-27.13_2.06_0.5037_0.5276_0.4815_0.4858end,24.18619141,120.73557188,341.3297119140625
2,,24.18619141,120.73557188,341.3297119140625
3,0.16_9.95_0.62_3.69_-4.14_3.47_-33.75_-27.13_2.06_0.5040_0.5269_0.4817_0.4862end0.16_9.95_0.62_3.69_-4.14_3.47_-35.50_-26.12_0.75_0.5041_0.5266_0.4817_0.4863end0.18_9.91_0.18_3.69_-4.14_3.47_-35.50_-26.12_0.75_0.5042_0.5264_0.4818_0.4865end0.21_9.94_0.04_4.59_0.00_2.35_-35.50_-26.12_0.75_0.5042_0.5264_0.4818_0.4865end0.39_9.90_-0.09_4.59_0.00_2.35_-35.50_-26.12_0.75_0.5045_0.5261_0.4816_0.4865end0.39_9.90_-0.09_4.59_0.00_2.35_-35.50_-26.12_0.75_0.5049_0.5259_0.4814_0.4865end0.56_9.92_-0.07_4.59_0.00_2.35_-35.50_-26.12_0.75_0.5052_0.5259_0.4812_0.4865end0.60_9.89_-0.04_4.59_0.00_2.35_-35.13_-26.44_2.06_0.5052_0.5259_0.4812_0.4865end0.82_9.94_0.13_4.59_0.00_2.35_-35.13_-26.44_2.06_0.5052_0.5259_0.4812_0.4865end0.82_9.91_0.17_4.59_0.00_2.35_-35.50_-26.50_0.75_0.5052_0.5259_0.4812_0.4865end,24.18619141,120.73557188,341.3297119140625
4,,24.18619141,120.73557188,341.3297119140625
5,0.80_9.91_0.22_4.59_0.00_2.35_-35.50_-26.50_0.75_0.5060_0.5253_0.4807_0.4868end0.80_9.91_0.22_4.59_0.00_2.35_-35.13_-26.81_2.94_0.5061_0.5250_0.4807_0.4870end0.77_9.92_0.44_4.59_0.00_2.35_-35.13_-26.81_2.94_0.5061_0.5250_0.4807_0.4870end0.72_9.95_0.36_5.82_9.51_-0.90_-35.13_-26.81_2.94_0.5061_0.5250_0.4807_0.4870end0.74_9.89_0.2,24.18619141,120.73557188,341.3297119140625
6,,24.18619141,120.73557188,341.3297119140625
7,7_5.82_9.51_-0.90_-35.13_-26.81_2.94_0.5058_0.5238_0.4809_0.4884end0.66_10.01_0.13_5.82_9.51_-0.90_-35.13_-26.81_2.94_0.5057_0.5235_0.4810_0.4888end0.76_9.94_0.23_6.15_13.09_-2.24_-35.13_-26.81_2.94_0.5057_0.5235_0.4810_0.4888end0.59_9.90_0.21_6.15_13.09_-2.24_-35.13_-26.81_2.94_0.5051_0.5223_0.4813_0.4903end0.60_9.94_0.28_6.15_,24.18619141,120.73557188,341.3297119140625
8,13.09_-2.24_-35.13_-26.81_2.94_0.5049_0.5219_0.4815_0.4908end0.54_9.92_0.18_6.15_13.09_-2.24_-34.50_-27.13_2.50_0.5046_0.5214_0.4817_0.4915end0.49_9.92_0.14_6.15_13.09_-2.24_-34.50_-27.13_2.50_0.5043_0.5209_0.4819_0.4921end0.49_9.92_0.14_6.15_13.09_-2.24_-34.50_-26.12_0.75_0.5036_0.5198_0.4824_0.4934end0.28_9.94_0.05_6.15_13.09_-2.24_-34.50_-26.12_0.75_0.5033_0.5193_0.4826_0.4941end0.25_9.91_0.12_6.15_13.09_-2.24_-34.50_-26.12_0.75_0.5029_0.5188_0.4828_0.4948end0.20_9.91_0.08_6.94_19.36_-3.80_-34.50_-26.12_0.75_0.5029_0.5188_0.4828_0.4948end0.14_9.91_0.10_7.50_19.47_-4.03_-34.50_-26.12_0.75_0.5029_0.5188_0.4828_0.4948end0.08_9.94_0.10_7.50_19.47_-4.03_-33.75_-26.81_1.62_0.5020_0.5173_0.4833_0.4968end-0.05_9.96_0.10_7.50_19.47_-4.03_-33.75_-26.81_1.62_0.5013_0.5163_0.4837_0.4982end-0.24_9.91_0.03_7.50_19.47_-4.03_-33.75_-26.81_1.62_0.5009_0.5157_0.4839_0.4989end-0.37_9.92_-0.04_7.50_19.47_-4.03_-33.75_-26.12_1.19_0.5006_0.5152_0.4841_0.4996end,24.18619141,120.73557188,341.3297119140625
9,,24.18619141,120.73557188,341.3297119140625
10,-0.47_9.92_-0.11_7.16_21.82_-3.80_-33.75_-26.12_1.19_0.4998_0.5141_0.4846_0.5011end-0.69_9.91_-0.16_7.16_21.82_-3.80_-33.75_-26.12_1.19_0.4995_0.5135_0.4848_0.5018end-0.83_9.95_-0.24_7.61_21.49_-3.47_-33.75_-26.12_1.19_0.4995_0.5135_0.4848_0.5018end-0.87_9.95_-0.26_7.61_21.49_-3.47_-33.75_-26.12_1.19_0.4984_0.5119_0.4854_0.5040end-0.98_9.93_-0.26_7.61_21.49_-3.47_-34.81_-26.81_1.62_0.4981_0.5114_0.4856_0.5046end-1.03_9.96_-0.27_7.39_16.00_-3.02_-34.81_-26.81_1.62_0.4981_0.5114_0.4856_0.5046end-1.02_9.93_-0.26_7.27_13.43_-2.57_-34.81_-26.81_1.62_0.4975_0.5101_0.4858_0.5062end-0.98_9.98_-0.26_7.05_6.15_-2.35_-34.81_-26.81_1.62_0.4974_0.5098_0.4858_0.5066end-0.92_9.94_-0.26_7.05_6.15_-2.35_-35.13_-27.13_-0.56_0.4974_0.5096_0.4857_0.5069end-0.75_9.94_-0.24_7.05_6.15_-2.35_-35.13_-27.13_-0.56_0.4976_0.5095_0.4855_0.5071end,24.18619141,120.73557188,341.3297119140625
11,,24.18619141,120.73557188,341.3297119140625
12,-0.67_9.92_-0.21_7.16_-2.35_-2.01_-35.13_-27.13_-0.56_0.4976_0.5095_0.4855_0.5071end-0.67_9.92_-0.21_7.16_-2.35_-2.01_-35.13_-27.13_-0.56_0.4980_0.5093_0.4847_0.5076end-0.36_9.91_-0.20_7.16_-2.35_-2.01_-35.13_-26.12_0.75_0.4983_0.5092_0.4844_0.5076end-0.17_9.92_-0.28_7.16_-2.35_-2.01_-35.13_-26.12_0.75_0.4983_0.5092_0.4844_0.5076end-0.11_9.90_-0.30_6.38_-2.69_-1.79_-35.13_-26.12_0.75_0.4983_0.5092_0.4844_0.5076end-0.11_9.90_-0.30_6.15_-0.11_-1.68_-35.13_-26.12_0.75_0.4988_0.5091_0.4837_0.5080end0.00_9.87_-0.52_6.15_-0.11_-1.68_-35.13_-26.12_0.75_0.4990_0.5090_0.4835_0.5081end-0.04_9.90_-0.48_6.60_2.35_-1.90_-35.13_-26.12_0.75_0.4990_0.5090_0.4835_0.5081end-0.04_9.90_-0.48_6.83_3.92_-2.01_-34.50_-27.44_1.62_0.4990_0.5090_0.4835_0.5081end-0.05_9.92_-0.26_6.83_3.92_-2.01_-34.50_-27.44_1.62_0.4991_0.5081_0.4829_0.5094end,24.18619141,120.73557188,341.3297119140625
13,,24.18619141,120.73557188,341.3297119140625
14,,24.18619141,120.73557188,341.3297119140625
15,-0.05_9.92_-0.26_6.94_7.05_-2.24_-34.50_-26.44_1.62_0.4991_0.5079_0.4828_0.5097end-0.16_9.91_-0.19_6.94_7.05_-2.24_-34.50_-26.44_1.62_0.4990_0.5076_0.4828_0.5101end-0.20_9.93_-0.13_6.94_7.05_-2.24_-34.81_-27.44_1.62_0.4990_0.5076_0.4828_0.5101end-0.20_9.93_-0.13_6.94_7.05_-2.24_-34.81_-27.44_1.62_0.4987_0.5065_0.4830_0.5114end-0.33_9.93_-0.07_6.94_7.05_-2.24_-34.81_-27.44_1.62_0.4984_0.5061_0.4831_0.5120end-0.39_9.91_0.04_6.94_7.05_-2.24_-34.81_-26.81_1.19_0.4982_0.5056_0.4832_0.5125end-0.48_9.92_0.23_7.83_19.70_-2.35_-34.81_-26.81_1.19_0.4982_0.5056_0.4832_0.5125end-0.48_9.92_0.23_7.83_19.70_-2.35_-34.81_-26.81_1.19_0.4973_0.5038_0.4839_0.5145end-0.77,24.18619141,120.73557188,341.3297119140625
16,_9.94_0.73_7.83_19.70_-2.35_-34.81_-26.81_1.19_0.4969_0.5032_0.4842_0.5153end-0.97_9.96_0.88_7.83_19.70_-2.35_-34.81_-26.81_1.19_0.4969_0.5032_0.4842_0.5153end,24.18619141,120.73557188,341.3297119140625
17,-1.08_9.96_0.86_7.83_19.70_-2.35_-34.81_-26.81_1.19_0.4962_0.5017_0.4849_0.5168end-1.08_9.96_0.86_9.06_24.17_-1.12_-34.81_-26.81_1.19_0.4958_0.5010_0.4852_0.5176end-1.08_9.96_0.86_9.06_24.17_-1.12_-34.81_-26.81_1.19_0.4951_0.4995_0.4857_0.5190end-1.08_9.96_0.86_9.85_20.25_-0.56_-34.81_-26.81_1.19_0.4949_0.4988_0.4860_0.5197end-1.26_9.92_0.70_9.85_20.25_-0.56_-34.50_-26.81_1.19_0.4949_0.4988_0.4860_0.5197end-1.26_9.92_0.70_11.30_15.22_0.34_-34.50_-26.81_1.19_0.4946_0.4982_0.4861_0.5204end-1.30_9.92_0.80_11.30_15.22_0.34_-34.50_-26.81_1.19_0.4944_0.4964_0.4865_0.5221end-1.28_9.94_0.82_11.30_15.22_0.34_-34.50_-26.81_1.19_0.4944_0.4964_0.4865_0.5221end-1.0,24.18619141,120.73557188,341.3297119140625
18,2_9.95_0.80_11.30_15.22_0.34_-34.50_-26.81_1.19_0.4943_0.4958_0.4865_0.5226end-1.02_9.95_0.80_11.30_15.22_0.34_-34.13_-27.13_1.19_0.4943_0.4946_0.4866_0.5237end,24.18619141,120.73557188,341.3297119140625
19,,24.18619141,120.73557188,341.3297119140625
20,-1.02_9.95_0.80_11.30_15.22_0.34_-34.13_-27.13_1.19_0.4944_0.4936_0.4865_0.5246end-0.73_9.91_0.71_11.30_15.22_0.34_-34.13_-27.13_1.19_0.4946_0.4930_0.4865_0.5250end-0.70_9.88_0.80_13.65_9.62_2.13_-34.13_-27.13_1.19_0.4946_0.4930_0.4865_0.5250end-0.63_9.86_0.91_13.65_9.62_2.13_-35.19_-26.81_0.75_0.4950_0.4913_0.4863_0.5264end-0.65_9.89_0.96_14.77_12.98_2.01_-35.19_-26.81_0.75_0.4951_0.4907_0.4863_0.5269end-0.75_9.87_1.13_14.77_12.98_2.01_-35.19_-26.81_0.75_0.4951_0.4907_0.4863_0.5269end-0.94_9.87_1.18_16.56_18.80_3.36_-35.19_-26.81_0.75_0.4952_0.4892_0.4863_0.5281end-0.94_9.87_1.18_16.56_18.80_3.36_-34.44_-26.12_-0.56_0.4953_0.4884_0.4864_0.5287end-0.94,24.18619141,120.73557188,341.3297119140625
21,_9.87_1.18_17.01_25.29_3.58_-34.44_-26.12_-0.56_0.4952_0.4865_0.4867_0.5303end-1.24_9.88_0.73_16.90_29.32_3.36_-34.44_-26.12_-0.56_0.4952_0.4865_0.4867_0.5303end,24.18619141,120.73557188,341.3297119140625
