ID,data,latitude,longitude,altitude
1,,24.1333039,120.7404655,129.70001220703125
2,,24.1333039,120.7404655,129.70001220703125
3,,24.1333039,120.7404655,129.70001220703125
4,,24.1333039,120.7404655,129.70001220703125
5,,24.1333039,120.7404655,129.70001220703125
6,,24.1333039,120.7404655,129.70001220703125
7,-0.39_9.75_-1.34_6.83_5.82_-1.68_-11.31_-11.56_29.75_0.7454_0.6260_0.1221_0.1939end-0.39_9.75_-1.34_6.83_5.82_-1.68_-12.00_-11.63_30.88_0.7460_0.6249_0.1225_0.1948end-0.36_9.71_-1.40_6.83_5.82_-1.68_-12.00_-11.63_30.88_0.7460_0.6249_0.1225_0.1948end-0.36_9.73_-1.39_7.50_5.15_-1.57_-12.00_-11.63_30.88_0.7460_0.6249_0.1225_0.1948e,24.1333039,120.7404655,129.70001220703125
8,nd-0.36_9.73_-1.39_7.50_5.15_-1.57_-13.25_-11.25_30.94_0.7465_0.6241_0.1227_0.1955end-0.36_9.73_-1.39_7.50_5.15_-1.57_-13.25_-11.25_30.94_0.7468_0.6235_0.1228_0.1959end-0.36_9.75_-1.38_7.50_5.15_-1.57_-12.31_-11.12_29.75_0.7468_0.6235_0.1228_0.1959end-0.34_9.68_-1.37_7.50_5.15_-1.57_-12.31_-11.12_29.75_0.7468_0.6235_0.1228_0.195,24.1333039,120.7404655,129.70001220703125
9,,24.1333039,120.7404655,129.70001220703125
10,,24.1333039,120.7404655,129.70001220703125
11,9end-0.34_9.67_-1.36_8.17_6.71_-2.01_-12.31_-11.12_29.75_0.7468_0.6235_0.1228_0.1959end-0.34_9.73_-1.32_8.39_7.61_-2.35_-12.31_-11.12_29.75_0.7468_0.6235_0.1228_0.1959end,24.1333039,120.7404655,129.70001220703125
12,,24.1333039,120.7404655,129.70001220703125
13,,24.1333039,120.7404655,129.70001220703125
14,-0.34_9.73_-1.32_8.39_7.61_-2.35_-12.31_-11.12_29.75_0.7479_0.6216_0.1233_0.1976end-0.37_9.69_-1.24_8.39_7.61_-2.35_-12.31_-11.12_29.75_0.7480_0.6213_0.1234_0.1980end-0.35_9.73_-1.20_8.39_7.61_-2.35_-12.31_-11.12_29.75_0.7480_0.6213_0.1234_0.1980end-0.34_9.67_-1.18_9.29_7.50_-2.69_-12.31_-11.12_29.75_0.7480_0.6213_0.1234_0.1980e,24.1333039,120.7404655,129.70001220703125
15,nd-0.34_9.67_-1.18_9.74_6.71_-2.69_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end-0.33_9.70_-1.12_9.74_6.71_-2.69_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end-0.33_9.70_-1.12_10.30_5.04_-2.91_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end-0.34_9.71_-1.11_10.97_4.14_-3.02_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end-0.23_9.68_-1.05_10.97_4.14_-3.02_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end-0.21_9.67_-1.07_10.97_4.48_-3.47_-12.31_-11.12_29.75_0.7488_0.6199_0.1237_0.1993end,24.1333039,120.7404655,129.70001220703125
16,,24.1333039,120.7404655,129.70001220703125
17,,24.1333039,120.7404655,129.70001220703125
18,,24.1333039,120.7404655,129.70001220703125
19,,24.1333039,120.7404655,129.70001220703125
20,,24.1333039,120.7404655,129.70001220703125
21,,24.1333039,120.7404655,129.70001220703125
22,,24.1333039,120.7404655,129.70001220703125
23,,24.1333039,120.7404655,129.70001220703125
