ID,data,latitude,longitude,altitude
1,91_0.6617_-0.5466_-0.2960end0.28_10.14_3.15_-53.38_-84.15_4.92_28.19_-12.00_-3.94_0.4191_0.6617_-0.5466_-0.2960end0.28_10.14_3.15_-46.89_-75.42_4.25_28.81_-11.50_-4.00_0.4090_0.6617_-0.5524_-0.2994end,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,1.44_10.29_3.47_-46.89_-75.42_4.25_28.81_-11.50_-4.00_0.4090_0.6617_-0.5524_-0.2994end1.51_9.98_3.46_-46.89_-75.42_4.25_28.81_-11.50_-4.00_0.4090_0.6617_-0.5524_-0.2994end1.43_9.79_3.50_-46.89_-75.42_4.25_29.12_-11.31_-5.50_0.4090_0.6617_-0.5524_-0.2994end1.34_9.56_3.49_-46.89_-75.42_4.25_29.12_-11.31_-5.50_0.4001_0.6633_-0.5573_-0.2992end1.34_9.56_3.49_-46.89_-75.42_4.25_28.50_-9.94_-5.19_0.3997_0.6639_-0.5574_-0.2980end0.76_8.75_4.01_-46.89_-75.42_4.25_28.50_-9.94_-5.19_0.3997_0.6639_-0.5574_-0.2980end0.76_8.75_4.01_-46.89_-75.42_4.25_28.50_-9.94_-5.19_0.4008_0.6662_-0.5566_-0.2927end0.76_8.75_4.01_-46.89_-75.42_4.25_27.06_-11.25_-5.50_0.4016_0.6669_-0.5562_-0.2908end-0.10_8.60_4.28_-46.89_-75.42_4.25_27.06_-11.25_-5.50_0.4026_0.6676_-0.5556_-0.2889end-0.34_8.52_4.23_-5.37_50.13_-6.49_27.06_-11.25_-5.50_0.4026_0.6676_-0.5556_-0.2889end,0.0,0.0,0.0
8,-0.34_8.52_4.23_-1.57_47.22_-6.15_27.06_-11.25_-5.50_0.4026_0.6676_-0.5556_-0.2889end-0.34_8.52_4.23_-1.57_47.22_-6.15_27.06_-11.25_-5.50_0.4059_0.6691_-0.5539_-0.2842end-0.57_8.70_3.96_-1.57_47.22_-6.15_27.06_-11.25_-5.50_0.4059_0.6691_-0.5539_-0.2842end-0.57_8.70_3.96_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4103_0.6694_-0.5519_-0.2808end-0.62_9.16_3.45_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4114_0.6692_-0.5516_-0.2806end-0.59_9.27_3.10_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4114_0.6692_-0.5516_-0.2806end-0.50_9.38_3.02_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4114_0.6692_-0.5516_-0.2806end-0.45_9.45_3.14_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4149_0.6671_-0.5506_-0.2825end-0.42_9.46_3.28_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4157_0.6662_-0.5504_-0.2834end-0.36_9.42_3.48_-1.57_47.22_-6.15_27.94_-10.50_-4.75_0.4166_0.6653_-0.5502_-0.2846end,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
11,,0.0,0.0,0.0
12,-0.36_9.42_3.48_-1.57_47.22_-6.15_29.69_-11.63_-3.19_0.4176_0.6644_-0.5500_-0.2858end-0.36_9.42_3.48_-1.57_47.22_-6.15_29.69_-11.63_-3.19_0.4199_0.6624_-0.5494_-0.2884end-0.27_9.13_3.78_-1.57_47.22_-6.15_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.27_9.18_3.55_-1.57_47.22_-6.15_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.28_9.20_3.46_59.31_3.92_-1.79_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.27_9.22_3.31_65.35_6.38_-1.79_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.30_9.69_2.83_65.35_6.38_-1.79_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.30_9.93_2.59_71.06_5.71_-1.34_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.33_10.09_2.40_76.43_2.24_-1.45_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end-0.33_10.13_1.91_76.43_2.24_-1.45_29.69_-11.63_-3.19_0.4213_0.6613_-0.5490_-0.2897end,0.0,0.0,0.0
