ID,data,latitude,longitude,altitude
1,5.56_7.12_3.18_-13.76_-432.07_6.15_-16.00_-27.25_25.50_0.5610_0.7151_0.1635_-0.3838end7.14_7.34_1.35_-13.76_-432.07_6.15_-16.00_-27.25_25.50_0.5610_0.7151_0.1635_-0.3838end6.85_7.05_0.77_-13.65_-468.66_0.22_-16.00_-27.25_25.50_0.5610_0.7151_0.1635_-0.3838end7.18_7.16_0.22_-13.65_-468.66_0.22_-11.81_-28.06_27.13_0.5610_0.7151_0.1635_-0.3838end7.18_7.16_0.22_-13.65_-468.66_0.22_-9.31_-27.75_29.56_0.5714_0.6827_0.1174_-0.4399end6.13_6.33_-1.00_-13.65_-468.66_0.22_-9.31_-27.75_29.56_0.5714_0.6827_0.1174_-0.4399end6.13_6.33_-1.00_-25.18_-525.40_4.92_-9.31_-27.75_29.56_0.5766_0.6533_0.0783_-0.4844end6.13_6.33_-1.00_-26.86_-525.06_9.40_-5.56_-28.50_29.75_0.5766_0.6533_0.0783_-0.4844end6.13_6.33_-1.00_-27.08_-516.78_12.42_-5.56_-28.50_29.75_0.5779_0.6321_0.0520_-0.5135end6.13_6.33_-1.00_-26.30_-502.68_14.77_-3.87_-27.50_29.31_0.5779_0.6321_0.0520_-0.5135end7.03_6.99_-3.98_-26.30_-502.68_14.77_-3.87_-27.50_29.31_0.5780_0.6102_0.0266_-0.5411end6.89_7.38_-4.85_-26.30_-502.68_14.77_0.94_-28.62_30.50_0.5780_0.6102_0.0266_-0.5411end6.89_7.38_-4.85_-21.93_-401.74_13.88_0.88_-29.00_29.12_0.5764_0.5795_-0.0070_-0.5760end6.89_7.38_-4.85_-21.93_-401.74_13.88_0.88_-29.00_29.12_0.5757_0.5706_-0.0164_-0.5854end6.89_7.38_-4.85_-18.69_-289.05_11.75_4.62_-28.75_29.75_0.5757_0.5706_-0.0164_-0.5854end6.89_7.38_-4.85_-18.24_-250.45_12.09_4.62_-28.75_29.75_0.5757_0.5706_-0.0164_-0.5854end6.89_7.38_-4.85_-18.24_-250.45_12.09_4.62_-28.75_29.75_0.5706_0.5376_-0.0506_-0.6188end6.91_7.12_-4.03_-18.24_-250.45_12.09_6.69_-28.44_28.87_0.5706_0.5376_-0.0506_-0.6188end6.91_7.17_-3.73_-8.50_-105.75_9.51_6.75_-29.12_30.31_0.5706_0.5376_-0.0506_-0.6188end6.75_7.20_-3.48_-6.94_-75.65_7.50_6.75_-29.12_30.31_0.5706_0.5376_-0.0506_-0.6188end6.75_7.20_-3.48_-6.94_-75.65_7.50_7.06_-28.81_28.94_0.5686_0.5273_-0.0607_-0.6284end6.75_7.20_-3.48_-6.94_-75.65_7.50_7.06_-28.81_28.94_0.5684_0.5263_-0.0616_-0.6293end6.66_7.33_-3.05_-6.94_-75.65_7.50_7.06_-28.81_28.94_0.5685_0.5266_-0.0613_-0.6291end6.48_7.36_-2.94_-6.94_-75.65_7.50_7.06_-28.81_28.94_0.5685_0.5266_-0.0613_-0.6291end6.49_7.35_-3.14_-6.94_-75.65_7.50_6.44_-30.19_29.87_0.5685_0.5266_-0.0613_-0.6291end6.49_7.35_-3.14_-6.94_-75.65_7.50_6.44_-30.19_29.87_0.5691_0.5310_-0.0571_-0.6252end6.37_7.05_-3.46_-6.94_-75.65_7.50_6.44_-30.19_29.87_0.5693_0.5327_-0.0555_-0.6237end6.41_6.78_-3.40_-6.94_-75.65_7.50_6.44_-30.19_29.87_0.5695_0.5345_-0.0539_-0.6221end6.39_6.84_-3.31_-1.68_63.79_1.34_6.44_-30.19_29.87_0.5695_0.5345_-0.0539_-0.6221end6.39_6.84_-3.31_-1.68_63.79_1.34_6.44_-30.19_29.87_0.5703_0.5400_-0.0490_-0.6171end6.16_6.96_-2.96_-1.68_63.79_1.34_6.44_-30.19_29.87_0.5704_0.5415_-0.0475_-0.6158end6.15_6.52_-2.74_-1.68_63.79_1.34_6.00_-28.75_29.37_0.5704_0.5415_-0.0475_-0.6158end6.17_6.75_-2.69_-2.69_19.36_3.25_6.00_-28.75_29.37_0.5704_0.5415_-0.0475_-0.6158end6.07_6.83_-2.61_-2.69_19.36_3.25_6.00_-28.75_29.37_0.5706_0.5449_-0.0447_-0.6128end6.07_6.83_-2.61_-2.46_9.18_3.47_6.00_-28.75_29.37_0.5707_0.5457_-0.0439_-0.6121end6.02_6.73_-2.56_-2.46_9.18_3.47_6.31_-29.12_28.00_0.5707_0.5457_-0.0439_-0.6121end6.14_7.01_-2.75_-2.46_9.18_3.47_6.31_-29.12_28.00_0.5707_0.5457_-0.0439_-0.6121end6.14_7.01_-2.75_-1.57_-23.72_5.04_6.31_-29.12_28.00_0.5705_0.5453_-0.0443_-0.6125e6.49_6.97_-3.33_-1.90_25.07_2.01_5.69_-29.44_29.75_0.5701_0.5467_-0.0422_-0.6119end6.50_7.01_-3.26_-1.90_25.07_2.01_5.00_-30.12_28.81_0.5701_0.5475_-0.0416_-0.6112end6.39_7.01_-2.98_-1.90_25.07_2.01_5.00_-30.12_28.81_0.5701_0.5475_-0.0416_-0.6112end6.39_7.01_-2.98_-3.80_17.12_1.01_5.62_-28.75_28.81_0.5701_0.5475_-0.0416_-0.6112e,0.0,0.0,0.0
2,nd6.30_7.01_-2.80_-3.80_17.12_1.01_5.62_-28.75_28.81_0.5700_0.5499_-0.0399_-0.6092end6.45_7.10_-2.32_-3.80_17.12_1.01_5.31_-28.44_28.87_0.5700_0.5503_-0.0397_-0.6089end6.18_6.98_-2.48_-3.80_17.12_1.01_5.31_-28.44_28.87_0.5699_0.5506_-0.0396_-0.6086end6.00_7.05_-2.48_-3.02_-2.35_1.45_5.31_-28.44_28.87_0.5699_0.5506_-0.0396_-0.6086end6.16_6.97_-2.56_-3.02_-2.35_1.45_5.31_-28.44_28.87_0.5698_0.5507_-0.0398_-0.6086end6.20_7.03_-2.63_-2.57_-13.09_2.46_5.31_-28.44_28.87_0.5698_0.5505_-0.0400_-0.6088end6.26_6.97_-2.73_-2.57_-13.09_2.46_5.31_-28.44_28.87_0.5696_0.5503_-0.0403_-0.6091end6.57_6.98_-2.86_-2.57_-13.09_2.46_5.31_-28.44_28.87_0.5696_0.5503_-0.0403_-0.6091end6.66_6.96_-2.82_-2.57_-13.09_2.46_6.00_-28.75_29.37_0.5695_0.5497_-0.0410_-0.6097end6.66_6.96_-2.82_-1.34_-12.65_1.45_6.00_-28.75_29.37_0.5695_0.5497_-0.0410_-0.6097end6.66_6.96_-2.82_-1.34_-12.65_1.45_6.00_-28.75_29.37_0.5693_0.5490_-0.0419_-0.6105end6.80_6.95_-2.99_-1.34_-12.65_1.45_6.00_-28.75_29.37_0.5693_0.5490_-0.0419_-0.6105end6.79_6.93_-3.11_-1.34_-12.65_1.45_5.69_-29.44_29.31_0.5693_0.5490_-0.0419_-0.6105end6.79_7.00_-3.15_-1.34_-12.65_1.45_5.69_-29.44_29.31_0.5693_0.5482_-0.0427_-0.6111end6.81_6.95_-3.29_-1.34_-12.65_1.45_5.69_-29.44_29.31_0.5693_0.5481_-0.0430_-0.6112end6.56_6.96_-3.29_-1.34_-12.65_1.45_5.62_-28.75_28.87_0.5693_0.5480_-0.0433_-0.6113end6.33_7.01_-3.25_-1.34_-12.65_1.45_5.62_-28.75_28.87_0.5693_0.5480_-0.0433_-0.6113end6.18_7.01_-3.16_-3.36_-5.60_-2.01_5.62_-28.75_28.87_0.5694_0.5478_-0.0438_-0.6114end6.15_7.05_-3.09_-3.36_-5.60_-2.01_5.62_-28.75_28.87_0.5695_0.5477_-0.0443_-0.6114end6.15_7.05_-3.09_-3.36_-5.60_-2.01_4.94_-29.12_27.94_0.5695_0.5478_-0.0445_-0.6113end6.06_7.01_-2.79_-3.36_-5.60_-2.01_4.94_-29.12_27.94_0.5695_0.5479_-0.0446_-0.6112end6.01_7.05_-2.73_-2.91_0.00_-1.23_4.94_-29.12_27.94_0.5695_0.5479_-0.0446_-0.6112end6.01_7.05_-2.73_-1.90_4.81_-0.45_4.94_-29.12_27.94_0.5695_0.5481_-0.0447_-0.6110end5.84_7.08_-2.71_-1.90_4.81_-0.45_4.94_-29.12_27.94_0.5695_0.5485_-0.0446_-0.6105end5.91_7.07_-2.58_-1.90_4.81_-0.45_4.31_-28.75_30.19_0.5695_0.5489_-0.0443_-0.6102end6.01_7.04_-2.57_0.45_17.23_1.12_4.31_-28.75_30.19_0.5695_0.5489_-0.0443_-0.6102end6.01_7.04_-2.57_1.90_28.98_2.13_6.00_-29.81_28.81_0.5696_0.5499_-0.0433_-0.6093end5.94_7.06_-2.56_1.90_28.98_2.13_6.00_-29.81_28.81_0.5,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,698_0.5515_-0.0416_-0.6079end5.96_7.02_-2.46_4.03_42.97_3.25_5.00_-28.75_29.31_0.5698_0.5515_-0.0416_-0.6079end5.82_7.03_-2.35_5.15_48.68_3.92_5.00_-28.75_29.31_0.5698_0.5515_-0.0416_-0.6079end5.98_7.04_-2.33_5.15_48.68_3.92_4.69_-29.06_29.69_0.5698_0.5515_-0.0416_-0.6079end5.99_6.96_-2.45_7.39_55.95_5.82_4.69_-29.06_29.69_0.5704_0.5574_-0.0341_-0.6022end5.92_7.04_-2.54_7.39_55.95_5.82_4.62_-29.44_28.75_0.5706_0.5588_-0.0323_-0.6010end6.20_7.04_-2.76_7.39_55.95_5.82_4.62_-29.44_28.75_0.5707_0.5600_-0.0306_-0.5998end6.14_7.00_-2.91_7.39_47.34_7.95_4.62_-29.44_28.75_0.5707_0.5600_-0.0306_-0.5998end6.11_6.99_-2.96_7.16_43.08_8.17_4.62_-29.44_28.75_0.5709_0.5632_-0.0260_-0.5969end6.17_6.93_-2.84_5.48_34.24_8.73_4.62_-29.44_28.75_0.5709_0.5640_-0.0247_-0.5961end6.27_6.92_-2.71_5.48_34.24_8.73_3.94_-28.38_29.25_0.5709_0.5640_-0.0247_-0.5961end6.28_6.85_-2.54_5.37_25.51_9.96_3.56_-29.06_27.87_0.5707_0.5654_-0.0225_-0.5951end6.28_6.85_-2.54_5.37_25.51_9.96_3.56_-29.06_27.87_0.5707_0.,0.0,0.0,0.0
5,5654_-0.0225_-0.5951end6.41_6.90_-2.40_5.48_20.59_10.18_3.56_-29.06_27.87_0.5706_0.5662_-0.0206_-0.5945end6.41_6.90_-2.40_5.37_9.51_10.52_3.56_-29.06_27.87_0.5704_0.5665_-0.0199_-0.5944end6.41_6.90_-2.40_5.26_3.02_11.19_3.56_-29.06_27.87_0.5703_0.5665_-0.0193_-0.5945end6.17_6.70_-2.21_5.26_3.02_11.19_3.56_-29.06_27.87_0.5700_0.5661_-0.0187_-0.5952end6.08_6.49_-2.16_5.60_-18.58_12.31_3.56_-29.06_27.87_0.5700_0.5661_-0.0187_-0.5952end6.08_6.49_-2.16_5.60_-18.58_12.31_3.37_-28.69_30.62_0.5695_0.5640_-0.0189_-0.5977end6.12_5.16_-2.25_7.05_-49.69_15.55_3.37_-28.69_30.62_0.5692_0.5627_-0.0195_-0.5991end6.66_6.87_-2.06_7.05_-49.69_15.55_3.37_-28.69_30.62_0.5689_0.5611_-0.0203_-0.6009end6.41_5.91_-2.20_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5689_0.5611_-0.0203_-0.6009end6.41_5.91_-2.20_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5683_0.5566_-0.0227_-0.6055end6.41_5.91_-2.20_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5676_0.5510_-0.0262_-0.6113end7.02_6.43_-3.48_9.18_-79.68_19.02_3.37_-28.69_30.6,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,2_0.5673_0.5479_-0.0281_-0.6143end6.92_6.34_-3.38_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5673_0.5479_-0.0281_-0.6143end6.77_6.14_-3.82_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5669_0.5447_-0.0300_-0.6173end6.98_6.39_-3.98_9.18_-79.68_19.02_3.37_-28.69_30.62_0.5669_0.5447_-0.0300_-0.6173end6.61_6.29_-4.13_9.18_-79.68_19.02_5.37_-28.7,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
