ID,data,latitude,longitude,altitude
1,1.06_9.86_-0.99_8.62_-17.35_0.34_3.31_-18.94_34.31_0.7473_0.6597_-0.0376_-0.0707end0.99_9.84_-0.86_8.62_-17.35_0.34_3.69_-18.56_35.69_0.7473_0.6597_-0.0376_-0.0707end1.00_9.88_-0.80_9.18_-17.01_0.11_3.69_-18.56_35.69_0.7473_0.6597_-0.0376_-0.0707end0.91_9.83_-0.99_9.18_-17.01_0.11_3.69_-18.56_35.69_0.7479_0.6586_-0.0392_-0.0722end0.91_9.83_-0.99_8.95_-14.32_-0.45_6.12_-17.50_36.56_0.7482_0.6583_-0.0397_-0.0727end0.91_9.83_-0.99_8.95_-14.32_-0.45_6.12_-17.50_36.56_0.7487_0.6577_-0.0406_-0.0735end0.91_9.83_-0.99_8.95_-14.32_-0.45_5.06_-17.87_35.69_0.7487_0.6577_-0.0406_-0.0735end0.91_9.83_-0.99_8.84_-13.54_-1.23_5.06_-19.62_36.06_0.7487_0.6577_-0.0406_-0,24.1315986,121.27311,3262.886962890625
2,.0735end0.91_9.83_-0.99_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7491_0.6570_-0.0414_-0.0742end0.91_9.83_-0.99_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7498_0.6560_-0.0426_-0.0751end,24.1315986,121.27311,3262.886962890625
3,,24.1315986,121.27311,3262.886962890625
4,,24.1315986,121.27311,3262.886962890625
5,,24.1315986,121.27311,3262.886962890625
6,,24.1315986,121.27311,3262.886962890625
7,,24.1315986,121.27311,3262.886962890625
8,,24.1315986,121.27311,3262.886962890625
9,,24.1315986,121.27311,3262.886962890625
10,0.95_9.78_-1.07_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7501_0.6556_-0.0430_-0.0754end0.80_9.83_-0.77_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7501_0.6556_-0.0430_-0.0754end0.80_9.83_-0.77_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7509_0.6545_-0.0439_-0.0760end0.72_9.81_-0.45_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7509_0.6545_-0.0439_-0.0760end0.72_9.81_-0.45_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7512_0.6542_-0.0442_-0.0762end0.79_9.83_-0.55_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7520_0.6532_-0.0449_-0.0765end0.55_9.79_-0.64_9.18_-11.08_-1.23_5.06_-19.62_36.06_0.7523_0.6528_-0.0451_-0.0765end0.84_9.79_-0.55_10.63_-4.25_-3.02_5.06_-19.62_36.06_0.7523_0.6528_-0.045,24.1315986,121.27311,3262.886962890625
11,1_-0.0765end0.45_9.75_-0.77_10.74_-6.49_-2.57_5.06_-19.62_36.06_0.7523_0.6528_-0.0451_-0.0765end0.45_9.75_-0.77_10.74_-6.49_-2.57_5.06_-19.62_36.06_0.7535_0.6512_-0.0461_-0.0770end,24.1315986,121.27311,3262.886962890625
12,,24.1315986,121.27311,3262.886962890625
13,,24.1315986,121.27311,3262.886962890625
14,,24.1315986,121.27311,3262.886962890625
15,,24.1315986,121.27311,3262.886962890625
16,,24.1315986,121.27311,3262.886962890625
17,0.32_9.77_-0.43_10.74_-6.49_-2.57_5.06_-19.62_36.06_0.7535_0.6512_-0.0461_-0.0770end0.62_9.79_-0.48_12.31_-5.60_-3.47_5.06_-19.62_36.06_0.7535_0.6512_-0.0461_-0.0770end0.62_9.79_-0.48_12.20_-5.71_-3.80_7.87_-17.94_36.06_0.7535_0.6512_-0.0461_-0.0770end0.39_9.79_-0.36_12.42_-6.60_-3.80_7.87_-17.94_36.06_0.7552_0.6491_-0.0475_-0.0,24.1315986,121.27311,3262.886962890625
18,774end0.79_9.80_-0.46_12.42_-6.60_-3.80_7.87_-17.94_36.06_0.7556_0.6487_-0.0478_-0.0775end0.47_9.71_-0.79_12.42_-6.60_-3.80_7.87_-17.94_36.06_0.7560_0.6482_-0.0481_-0.0777end0.47_9.71_-0.79_12.42_-6.60_-3.80_6.12_-18.56_36.50_0.7560_0.6482_-0.0481_-0.0777end0.58_9.70_-0.66_12.42_-6.60_-3.80_6.12_-18.56_36.50_0.7571_0.6467_-0.0491_-0.0781end0.45_9.75_-0.53_12.42_-6.60_-3.80_6.12_-18.56_36.50_0.7571_0.6467_-0.0491_-0.0781end0.43_9.70_-0.64_12.42_-6.60_-3.80_6.12_-18.19_36.06_0.7571_0.6467_-0.0491_-0.0781end,24.1315986,121.27311,3262.886962890625
19,,24.1315986,121.27311,3262.886962890625
20,,24.1315986,121.27311,3262.886962890625
21,,24.1315986,121.27311,3262.886962890625
22,,24.1315986,121.27311,3262.886962890625
23,,24.1315986,121.27311,3262.886962890625
