ID,data,latitude,longitude,altitude
1,,24.1363308,121.2717719,3290.711669921875
2,0.05_9.04_-2.43_32.23_-4.25_-1.01_33.75_-25.62_2.81_0.5078_0.3798_-0.4531_-0.6266end0.23_9.05_-2.45_32.23_-4.25_-1.01_33.75_-25.62_2.81_0.5078_0.3782_-0.4529_-0.6277end0.49_9.01_-2.66_32.23_-4.25_-1.01_33.75_-25.62_2.81_0.5077_0.3766_-0.4527_-0.6289end0.55_8.99_-2.70_34.36_-35.70_-0.56_33.75_-25.62_2.81_0.5077_0.3766_-0.4527_-0.6289end0.68_8.99_-2.82_34.36_-35.70_-0.56_33.75_-25.62_2.81_0.5074_0.3713_-0.4522_-0.6326end0.70_8.94_-2.89_34.36_-35.70_-0.56_33.75_-25.62_2.81_0.5074_0.3697_-0.4520_-0.6337end0.64_8.96_-2.91_34.80_-28.76_-1.57_33.75_-25.62_2.81_0.5074_0.3697_-0.4520_-0.6337end0.61_8.91_-3.04_34.47_-25.18_-2.35_33.75_-25.62_2.81_0.5074_0.3697_-0.4520_-0.6337end0.61_8.91_-3.04_34.47_-25.18_-2.35_33.75_-24.94_1.06_0.5077_0.3651_-0.4510_-0.6369end0.61_8.91_-3.04_34.47_-25.18_-2.35_33.75_-24.94_1.06_0.5082_0.3624_-0.4499_-0.6387end,24.1363308,121.2717719,3290.711669921875
3,,24.1363308,121.2717719,3290.711669921875
4,,24.1363308,121.2717719,3290.711669921875
5,,24.1363308,121.2717719,3290.711669921875
6,,24.1363308,121.2717719,3290.711669921875
7,0.51_8.90_-3.22_34.47_-25.18_-2.35_33.75_-24.94_1.06_0.5086_0.3612_-0.4493_-0.6395end0.38_8.86_-3.39_34.47_-25.18_-2.35_33.75_-24.94_1.06_0.5086_0.3612_-0.4493_-0.6395end0.29_8.82_-3.47_34.47_-25.18_-2.35_33.75_-24.25_1.56_0.5086_0.3612_-0.4493_-0.6395end0.29_8.82_-3.47_34.47_-25.18_-2.35_33.75_-24.25_1.56_0.5086_0.3612_-0.4493_,24.1363308,121.2717719,3290.711669921875
8,-0.6395end0.29_8.82_-3.47_34.47_-25.18_-2.35_33.75_-24.25_1.56_0.5110_0.3557_-0.4457_-0.6432end0.06_8.79_-3.70_34.47_-25.18_-2.35_33.38_-23.87_2.37_0.5110_0.3557_-0.4457_-0.6432end0.06_8.79_-3.70_34.47_-25.18_-2.35_33.75_-24.94_2.81_0.5126_0.3525_-0.4434_-0.6453end-0.21_8.77_-3.62_34.47_-25.18_-2.35_33.75_-24.94_2.81_0.5126_0.3525_-0.4434_-0.6453end-0.21_8.82_-3.61_34.91_-0.90_-3.80_33.75_-24.94_2.81_0.5126_0.3525_-0.4434_-0.6453end-0.21_8.82_-3.61_34.91_-0.90_-3.80_33.75_-22.87_3.31_0.5152_0.3491_-0.4398_-0.6476end,24.1363308,121.2717719,3290.711669921875
9,,24.1363308,121.2717719,3290.711669921875
10,,24.1363308,121.2717719,3290.711669921875
11,,24.1363308,121.2717719,3290.711669921875
12,,24.1363308,121.2717719,3290.711669921875
13,,24.1363308,121.2717719,3290.711669921875
14,,24.1363308,121.2717719,3290.711669921875
15,,24.1363308,121.2717719,3290.711669921875
16,,24.1363308,121.2717719,3290.711669921875
17,-0.19_10.05_-4.39_34.91_-0.90_-3.80_33.75_-22.87_3.31_0.5161_0.3486_-0.4386_-0.6479end-0.39_10.61_-4.46_34.13_12.98_-4.70_33.75_-22.87_3.31_0.5161_0.3486_-0.4386_-0.6479end-0.39_10.61_-4.46_34.13_12.98_-4.70_34.06_-25.31_3.25_0.5179_0.3475_-0.4362_-0.6487end-0.39_10.61_-4.46_34.13_12.98_-4.70_34.06_-25.31_3.25_0.5193_0.3463_-0.4,24.1363308,121.2717719,3290.711669921875
