ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,-0.96_9.61_2.97_-42.41_-68.04_-14.77_-8.25_-23.19_-37.25_0.0596_0.2189_0.7217_0.6539end-1.47_9.43_3.40_-42.41_-68.04_-14.77_-8.25_-23.19_-37.25_0.0596_0.2189_0.7217_0.6539end-1.49_9.28_3.26_-42.41_-68.04_-14.77_-10.38_-22.50_-36.88_0.0666_0.2315_0.7263_0.6439end-2.21_9.11_2.95_-42.41_-68.04_-14.77_-10.38_-22.50_-36.88_0.0675_0.2338_0.7272_0.6418end-1.74_8.88_3.12_-42.41_-68.04_-14.77_-9.31_-21.81_-36.44_0.0675_0.2338_0.7272_0.6418end-1.74_8.88_3.12_-46.22_-44.43_-24.06_-9.31_-21.81_-36.44_0.0684_0.2383_0.7291_0.6379end-1.59_8.45_4.27_-47.22_-43.76_-24.84_-9.31_-21.81_-36.44_0.0688_0.2424_0.7309_0.6343end-2.05_8.25_4.22_-47.22_-43.76_-24.84_-9.31_-21.81,0.0,0.0,0.0
5,_-36.44_0.0689_0.2446_0.7319_0.6323end-2.05_8.25_4.22_-47.22_-43.76_-24.84_-10.75_-21.50_-37.69_0.0687_0.2466_0.7328_0.6304end-2.21_7.79_4.23_-47.22_-43.76_-24.84_-10.75_-21.50_-37.69_0.0687_0.2466_0.7328_0.6304end-2.19_7.43_4.79_-49.13_-27.31_-33.35_-10.75_-21.50_-37.69_0.0687_0.2466_0.7328_0.6304end-2.19_7.43_4.79_-49.13_-27.31_-33.35_-11.88_-20.75_-37.25_0.0667_0.2545_0.7365_0.6232end-3.03_7.10_4.81_-49.13_-27.31_-33.35_-11.88_-20.75_-37.25_0.0662_0.2567_0.7373_0.6214end-3.26_7.01_4.72_-52.93_-34.58_-37.71_-11.88_-20.75_-37.25_0.0662_0.2567_0.7373_0.6214end-3.26_7.01_4.72_-53.94_-43.42_-40.62_-11.88_-20.75_-37.25_0.0649_0.2637_0.7400_0.6154end-3.21_6.47_5.09_-53.94_-43.42_-40.62_-11.50_-19.37_-38.94_0.0646_0.2665_0.7408_0.6132end-3.23_6.37_5.26_-55.17_-54.72_-41.41_-11.50_-19.37_-38.94_0.0646_0.2665_0.7408_0.6132end-3.52_6.23_5.25_-55.17_-54.72_-41.41_-11.50_-19.37_-38.94_0.0646_0.2665_0.7408_0.6132end-3.48_6.16_5.16_-56.51_-51.48_-43.42_-11.50_-19.37_-38.94_0.0646_0.2665_0.7408_0.6132end-3.31_6.00_5.25_-56.51_-51.48_-43.42_-11.50_-19.37_-38.94_0.0637_0.2807_0.7449_0.6018end,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,-3.27_5.87_5.40_-56.51_-51.48_-43.42_-11.50_-19.06_-37.63_0.0630_0.2833_0.7458_0.5997end-3.43_5.67_5.55_-56.51_-51.48_-43.42_-11.50_-19.06_-37.63_0.0630_0.2833_0.7458_0.5997end-3.43_5.67_5.55_-58.64_-11.41_-49.69_-11.50_-19.06_-37.63_0.0607_0.2879_0.7474_0.5956end-3.43_5.67_5.55_-58.64_-11.41_-49.69_-12.25_-18.75_-38.13_0.0574_0.2920_0.7491_0.5918end-3.69_5.30_5.54_-58.64_-11.41_-49.69_-12.25_-18.75_-38.13_0.0554_0.2939_0.7500_0.5900end-3.90_5.19_5.68_-58.08_-2.69_-52.26_-12.25_-18.75_-38.13_0.0554_0.2939_0.7500_0.5900end-4.05_5.19_5.69_-58.64_-4.81_-52.71_-12.25_-17.69_-39.31_0.0554_0.2939_0.7500_0.5900end-4.10_5.23_5.67_-58.64_-7.27_-53.27_-12.25_-17.69_-39.31_0.0554_0.2939_0.7500_0.5900end-4.10_5.23_5.67_-58.86_-12.31_-54.16_-12.25_-17.69_-39.31_0.0459_0.3040_0.7539_0.5806end-3.97_5.13_5.64_-58.86_-12.31_-54.16_-11.12_-18.00_-38.13_0.0459_0.3040_0.7539_0.5806end,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
