ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,0.16_9.48_-0.38_-18.80_-34.91_85.05_-19.37_-25.69_29.81_0.6864_0.6698_0.2238_0.1736end0.51_9.24_-0.39_-18.80_-34.91_85.05_-19.37_-25.69_29.81_0.6866_0.6697_0.2260_0.1705end0.46_9.18_-0.38_-20.03_-4.03_84.94_-19.37_-25.69_29.81_0.6866_0.6697_0.2260_0.1705end0.43_8.95_-0.46_-20.93_-5.37_85.50_-19.37_-25.69_29.81_0.6868_0.6691_0.23,0.0,0.0,0.0
5,32_0.1616end0.43_8.56_-0.74_-20.93_-5.37_85.50_-21.94_-23.62_29.44_0.6870_0.6691_0.2354_0.1581end0.58_8.32_-1.04_-20.93_-5.37_85.50_-21.94_-23.62_29.44_0.6871_0.6691_0.2372_0.1545end0.81_8.21_-1.15_-25.63_-42.52_87.17_-21.94_-23.62_29.44_0.6871_0.6691_0.2372_0.1545end0.81_8.21_-1.15_-27.64_-49.80_87.40_-22.56_-24.31_29.37_0.6876_0.6694_0.2401_0.1464end0.81_8.21_-1.15_-27.64_-49.80_87.40_-22.56_-24.31_29.37_0.6881_0.6699_0.2426_0.1377end1.80_7.98_-1.09_-27.64_-49.80_87.40_-20.81_-23.62_29.81_0.6881_0.6699_0.2426_0.1377end2.01_8.02_-0.96_-30.21_-30.77_86.28_-20.81_-23.62_29.81_0.6881_0.6699_0.2426_0.1377end2.31_7.72_-0.81_-30.21_-30.77_86.28_-21.94_-23.62_29.44_0.6881_0.6699_0.2426_0.1377end2.31_7.72_-0.81_-33.01_-5.48_84.71_-21.94_-23.62_29.44_0.6874_0.6706_0.2521_0.1194end2.25_7.77_-0.29_-33.01_-5.48_84.71_-21.94_-23.62_29.44_0.6869_0.6707_0.2546_0.1162end2.25_7.77_-0.29_-34.80_-12.09_83.48_-21.94_-23.62_29.44_0.6864_0.6708_0.2570_0.1131end1.95_7.49_0.19_-34.80_-12.09_83.48_-21.94_-23.62_29.44_0.6860_0.6711_0.2590_0.1097end2.21_7.30_0.19_-34.80_-12.09_83.48_-21.94_-23.62_29.44_0.6860_0.6711_0.2590_0.1097end2.21_7.30_0.19_-34.80_-12.09_83.48_-22.56_-22.94_29.44_0.6853_0.6722_0.2628_0.0968end2.83_7.39_0.37_-34.80_-12.09_83.48_-22.56_-22.94_29.44_0.6852_0.6727_0.2634_0.0920end3.26_7.33_0.48_-34.80_-12.09_83.48_-23.31_-22.94_29.81_0.6852_0.6727_0.2634_0.0920end,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,3.23_7.22_0.51_-40.51_-60.76_82.92_-23.31_-22.94_29.81_0.6852_0.6727_0.2634_0.0920end3.23_7.22_0.51_-40.51_-60.76_82.92_-23.31_-22.94_29.81_0.6844_0.6747_0.2666_0.0731end3.45_6.96_0.38_-40.51_-60.76_82.92_-22.94_-22.56_29.81_0.6844_0.6747_0.2666_0.0731end3.43_6.90_0.52_-40.51_-60.76_82.92_-22.94_-22.56_29.81_0.6833_0.6757_0.2690_0.0649end3.39_6.80_0.64_-44.43_-38.61_79.23_-22.94_-22.56_29.81_0.6833_0.6757_0.2690_0.0649end3.32_6.68_0.64_-46.66_-45.32_78.78_-22.94_-22.56_29.81_0.6820_0.6767_0.2715_0.0566end3.32_6.68_0.64_-46.66_-45.32_78.78_-23.31_-22.19_29.81_0.6807_0.6778_0.2736_0.0482end3.47_6.41_0.62_-49.69_-57.30_77.66_-23.31_-22.19_29.81_0.6801_0.6,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,785_0.2744_0.0436end3.75_6.29_0.52_-49.69_-57.30_77.66_-23.31_-22.19_29.81_0.6794_0.6791_0.2750_0.0389end3.75_6.29_0.52_-51.48_-66.36_76.99_-22.56_-22.94_29.81_0.6794_0.6791_0.2750_0.0389end,0.0,0.0,0.0
10,,0.0,0.0,0.0
11,4.03_6.36_0.49_-52.60_-66.47_76.32_-22.56_-22.94_29.81_0.6794_0.6791_0.2750_0.0389end4.03_6.36_0.49_-52.60_-66.47_76.32_-22.56_-22.94_29.81_0.6766_0.6821_0.2767_0.0198end4.40_6.53_0.47_-52.60_-66.47_76.32_-22.56_-22.94_29.81_0.6757_0.6829_0.2772_0.0153end4.54_6.60_0.57_-52.60_-66.47_76.32_-22.56_-22.94_29.81_0.6747_0.6837_0.2780_0.0107end4.64_6.59_0.68_-52.60_-66.47_76.32_-22.56_-22.94_29.81_0.6724_0.6854_0.2796_0.0025end4.70_6.55_0.75_-52.60_-66.47_76.32_-22.19_-22.94_29.00_0.6710_0.6863_0.2806_-0.0014end4.73_6.39_1.04_-52.60_-66.47_76.32_-22.19_-22.94_29.00_0.6696_0.6873_0.2816_-0.0054end4.73_6.39_1.04_-52.60_-66.47_76.32_-21.94_-21.87_29.44_0.6681_0,0.0,0.0,0.0
