ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,-0.24_10.54_1.83_7.50_-42.86_4.92_32.13_-21.62_-23.25_0.3271_0.3766_-0.6891_-0.5255end-0.01_10.70_1.67_7.50_-42.86_4.92_32.13_-21.62_-23.25_0.3246_0.3748_-0.6898_-0.5275end-0.01_10.70_1.67_7.50_-42.86_4.92_31.37_-20.19_-23.19_0.3235_0.3739_-0.6901_-0.5286end0.34_10.82_1.67_7.50_-42.86_4.92_31.37_-20.19_-23.19_0.3223_0.3731_-0.69,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,02_-0.5295end0.30_10.84_1.64_9.74_-36.48_8.50_31.37_-20.19_-23.19_0.3223_0.3731_-0.6902_-0.5295end0.30_10.84_1.64_9.74_-36.48_8.50_31.37_-20.19_-23.19_0.3190_0.3711_-0.6906_-0.5325end3.47_10.79_0.12_9.74_-36.48_8.50_31.37_-20.19_-23.19_0.3181_0.3705_-0.6906_-0.5334end-2.36_10.84_1.48_10.63_-35.59_12.42_31.37_-20.19_-23.19_0.3181_0.3705_-0.6906_-0.5334end-2.36_10.84_1.48_10.63_-35.59_12.42_31.37_-20.19_-23.19_0.3156_0.3690_-0.6906_-0.5359end0.61_11.38_1.88_10.63_-35.59_12.42_31.37_-20.19_-23.19_0.3158_0.3689_-0.6906_-0.5359end-1.68_11.98_5.36_2.91_3.02_-5.93_31.37_-20.19_-23.19_0.3158_0.3689_-0.6906_-0.5359end2.05_10.77_2.62_-5.71_0.00_-6.04_31.37_-20.19_-23.19_0.3158_0.3689_-0.6906_-0.5359end2.05_10.77_2.62_-5.71_0.00_-6.04_30.75_-21.25_-23.25_0.3152_0.3679_-0.6915_-0.5359end1.44_10.55_-0.16_-5.71_0.00_-6.04_30.75_-21.25_-23.25_0.3140_0.3671_-0.6920,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,_-0.5365end1.44_10.55_-0.16_2.24_-45.66_4.81_30.75_-20.94_-24.00_0.3126_0.3662_-0.6924_-0.5373end1.44_10.55_-0.16_2.91_-44.20_3.58_32.50_-21.62_-24.44_0.3126_0.3662_-0.6924_-0.5373end1.21_11.44_2.42_2.91_-44.20_3.58_32.50_-21.62_-24.44_0.3089_0.3636_-0.6938_-0.5394end1.76_10.70_3.26_-1.57_-28.87_3.25_30.00_-20.94_-23.19_0.3089_0,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,.3636_-0.6938_-0.5394end1.76_10.70_3.26_-3.80_-28.98_5.04_30.75_-20.94_-24.44_0.3089_0.3636_-0.6938_-0.5394end1.76_10.70_3.26_-3.47_-20.59_5.82_30.75_-20.94_-24.44_0.3049_0.3618_-0.6953_-0.5411end1.43_10.24_1.08_-3.47_-20.59_5.82_30.75_-20.94_-24.44_0.3042_0.3615_-0.6955_-0.5413end1.96_10.32_2.78_-3.47_-20.59_5.82_30.75_-20.94_-24.44_0.3042_0.3615_-0.6955_-0.5413end1.98_10.32_2.77_-3.47_-20.59_5.82_31.37_-21.62_-24.06_0.3042_0.3615_-0.6955_-0.5413end2.18_10.20_2.96_-3.47_-20.59_5.82_31.37_-21.62_-24.06_0.3014_0.3611_-0.6963_-0.5421end2.10_9.70_1.99_-3.47_-20.59_5.82_31.37_-21.62_-24.06_0.3008_0.3612_-0.6965_-0.5422end2.10_9.56_1.93_-3.47_-20.59_5.82_30.75_-20.25_-24.81_0.3003_0.3614_-0.6967_-0.5421end2.44_9.52_2.07_-9.51_-3.25_6.83_30.75_-20.25_-24.81_0.3003_0.3614_-0.6967_-0.5421end2.44_9.52_2.07_-9.51_-3.25_6.83_30.75_-20.25_-24.81_0.2990_0.3,0.0,0.0,0.0
