ID,data,latitude,longitude,altitude
1,,24.13641729,121.27172991,3284.1728515625
2,-1.84_9.68_-1.30_19.25_-7.27_7.95_-9.19_-25.12_-23.00_0.1205_0.1430_0.6312_0.7527end-2.32_8.48_-1.02_19.25_-7.27_7.95_-9.19_-25.12_-23.00_0.1205_0.1430_0.6312_0.7527end-2.32_8.48_-1.02_19.25_-7.27_7.95_-9.50_-25.12_-23.38_0.1254_0.1462_0.6296_0.7527end-2.32_8.48_-1.02_16.79_-75.20_17.12_-10.38_-25.06_-22.62_0.1280_0.1479_0.6288_,24.13641729,121.27172991,3284.1728515625
3,0.7526end-2.32_8.48_-1.02_16.79_-75.20_17.12_-10.38_-25.06_-22.62_0.1280_0.1479_0.6288_0.7526end-2.32_8.48_-1.02_17.35_-79.23_17.01_-11.63_-25.50_-22.62_0.1367_0.1542_0.6259_0.7521end-2.32_8.48_-1.02_19.14_-91.32_18.13_-11.63_-25.50_-22.62_0.1367_0.1542_0.6259_0.7521end-2.32_8.48_-1.02_19.14_-91.32_18.13_-11.63_-25.50_-22.62_0.1398_0.1566_0.6249_0.7520end-0.71_9.55_-0.78_19.14_-91.32_18.13_-11.63_-25.50_-22.62_0.1466_0.1616_0.6226_0.7515end-0.71_9.55_-0.78_21.04_-100.94_18.91_-11.63_-25.50_-22.62_0.1466_0.1616_0.6226_0.7515end,24.13641729,121.27172991,3284.1728515625
4,,24.13641729,121.27172991,3284.1728515625
5,-0.71_9.55_-0.78_21.04_-100.94_18.91_-12.88_-23.19_-21.12_0.1606_0.1721_0.6177_0.7504end0.51_9.45_-0.80_21.04_-100.94_18.91_-12.88_-23.19_-21.12_0.1606_0.1721_0.6177_0.7504end0.51_9.45_-0.80_22.27_-100.27_17.23_-12.25_-24.12_-21.56_0.1606_0.1721_0.6177_0.7504end0.88_9.78_-1.09_22.83_-99.37_17.35_-12.25_-24.12_-21.56_0.1743_0.182,24.13641729,121.27172991,3284.1728515625
6,6_0.6123_0.7493end0.93_9.62_-0.99_22.83_-99.37_17.35_-12.25_-24.12_-21.56_0.1775_0.1851_0.6109_0.7490end1.02_9.54_-1.24_22.83_-99.37_17.35_-12.25_-24.12_-21.56_0.1775_0.1851_0.6109_0.7490end1.02_9.54_-1.24_23.72_-72.40_14.21_-12.25_-24.12_-21.56_0.1857_0.1909_0.6071_0.7487end0.81_8.98_-1.28_23.72_-72.40_14.21_-14.87_-27.00_-19.87_0.1857_0.1909_0.6071_0.7487end0.80_9.41_-1.16_23.72_-72.40_14.21_-14.87_-27.00_-19.87_0.1857_0.1909_0.6071_0.7487end0.85_9.78_-1.35_23.72_-72.40_14.21_-14.87_-27.00_-19.87_0.1857_0.1909_0.6071_0.7487end,24.13641729,121.27172991,3284.1728515625
7,,24.13641729,121.27172991,3284.1728515625
8,0.85_9.78_-1.35_23.72_-72.40_14.21_-14.87_-27.00_-19.87_0.1947_0.1960_0.6015_0.7496end0.74_9.59_-1.35_23.72_-72.40_14.21_-14.87_-27.00_-19.87_0.1960_0.1965_0.6005_0.7499end0.37_9.63_-1.18_23.72_-72.40_14.21_-15.56_-23.87_-19.00_0.1960_0.1965_0.6005_0.7499end0.33_9.37_-1.35_25.07_-23.61_8.28_-15.56_-23.87_-19.00_0.1960_0.1965_0.6,24.13641729,121.27172991,3284.1728515625
9,005_0.7499end0.14_9.45_-1.19_26.07_-23.39_7.95_-15.56_-23.87_-19.00_0.1995_0.1977_0.5975_0.7510end0.14_9.45_-1.19_26.52_-24.28_7.61_-15.88_-24.31_-19.00_0.1995_0.1977_0.5975_0.7510end0.14_9.45_-1.19_26.52_-24.28_7.61_-15.88_-24.31_-19.00_0.2029_0.1990_0.5944_0.7523end0.14_9.45_-1.19_26.19_-30.89_7.27_-15.88_-24.31_-19.00_0.2029_,24.13641729,121.27172991,3284.1728515625
10,0.1990_0.5944_0.7523end0.14_9.45_-1.19_26.19_-30.89_7.27_-15.88_-24.31_-19.00_0.2055_0.2001_0.5923_0.7530end-0.04_8.55_-1.45_26.19_-30.89_7.27_-15.81_-26.87_-18.44_0.2055_0.2001_0.5923_0.7530end,24.13641729,121.27172991,3284.1728515625
