ID,data,latitude,longitude,altitude
1,,24.13857399,121.27178994,3345.797607421875
2,-1.53_9.06_-3.22_28.76_1.01_-7.39_-31.94_-28.44_7.75_0.5416_0.4330_0.3887_0.6066end-1.73_8.98_-3.29_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5416_0.4330_0.3887_0.6066end-1.73_8.98_-3.29_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5434_0.4301_0.3843_0.6100end-1.74_8.96_-3.34_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5434_0.4301_0.3843_0.6100end-1.75_9.07_-3.36_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5434_0.4301_0.3843_0.6100end-1.75_9.00_-3.24_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5450_0.4280_0.3805_0.6124end-1.89_8.97_-3.18_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5450_0.4280_0.3805_0.6124end-1.69_9.00_-3.13_28.76_1.01_-7.39_-31.25_-27.75_9.44_0.5460_0.4271_0.3784_0.6134end-1.93_9.00_-3.18_29.88_-7.39_-5.26_-31.25_-27.75_9.44_0.5460_0.4271_0.3784_0.6134end-1.93_9.00_-3.18_29.43_-8.06_-4.81_-31.25_-27.75_9.44_0.5460_0.4271_0.3784_0.6134end,24.13857399,121.27178994,3345.797607421875
3,,24.13857399,121.27178994,3345.797607421875
4,-1.93_9.00_-3.18_29.43_-8.06_-4.81_-31.25_-27.75_9.44_0.5482_0.4254_0.3741_0.6152end-1.74_8.86_-3.61_29.43_-8.06_-4.81_-31.25_-27.75_9.44_0.5482_0.4254_0.3741_0.6152end-1.89_8.91_-3.66_29.32_-12.76_-3.92_-31.25_-27.75_9.44_0.5482_0.4254_0.3741_0.6152end-1.82_8.91_-3.77_29.43_-16.34_-3.02_-31.25_-27.75_9.44_0.5482_0.4254_0.3741_0.6152end-1.82_8.86_-3.97_29.43_-16.34_-3.02_-31.25_-27.75_9.44_0.5509_0.4242_0.3694_0.6166end-1.75_8.86_-3.97_29.10_-18.24_-3.25_-31.25_-27.75_9.44_0.5509_0.4242_0.3694_0.6166end-1.75_8.86_-3.97_29.10_-18.24_-3.25_-30.56_-28.06_10.25_0.5532_0.4236_0.3655_0.6172end-1.75_8.86_-3.97_29.10_-18.24_-3.25_-30.56_-28.06_10.25_0.5547_0.4234_0.3629_0.6176end-1.61_8.70_-4.56_29.10_-18.24_-3.25_-30.56_-28.06_10.25_0.5547_0.4234_0.3629_0.6176end-1.61_8.74_-4.82_29.10_-18.24_-3.25_-30.56_-28.06_10.25_0.5564_0.4233_0.3602_0.6177end,24.13857399,121.27178994,3345.797607421875
5,,24.13857399,121.27178994,3345.797607421875
6,,24.13857399,121.27178994,3345.797607421875
7,,24.13857399,121.27178994,3345.797607421875
8,-1.74_8.62_-5.27_27.31_-24.28_-1.23_-30.56_-28.06_10.25_0.5564_0.4233_0.3602_0.6177end-2.19_8.63_-5.41_27.31_-24.28_-1.23_-30.56_-28.06_10.25_0.5589_0.4232_0.3561_0.6178end-2.16_8.66_-5.99_27.31_-24.28_-1.23_-30.94_-28.44_11.44_0.5589_0.4232_0.3561_0.6178end-2.31_8.65_-6.33_27.31_-24.28_-1.23_-30.94_-28.44_11.44_0.5605_0.4233_0.3535_0.6178end-2.61_8.32_-6.42_27.31_-24.28_-1.23_-30.94_-28.44_11.44_0.5605_0.4233_0.3535_0.6178end-2.54_8.61_-6.55_25.18_-28.20_-0.11_-30.94_-28.44_11.44_0.5605_0.4233_0.3535_0.6178end-2.54_8.61_-6.55_25.96_-36.03_0.78_-31.62_-27.69_11.94_0.5632_0.4236_0.3494_0.6175end-2.88_8.59_-6.30_25.96_-36.03_0.78_-31.62_-27.69_11.94_0.5654_0.4242_0.3463_0.6169end-2.88_8.59_-6.30_25.40_-45.77_1.57_-31.62_-27.69_11.94_0.5654_0.4242_0.3463_0.6169end-2.88_10.53_-4.93_25.40_-45.77_1.57_-30.56_-27.44_12.31_0.5654_0.4242_0.3463_0.6169end,24.13857399,121.27178994,3345.797607421875
9,,24.13857399,121.27178994,3345.797607421875
10,-3.14_10.14_-7.25_25.40_-45.77_1.57_-30.94_-27.69_13.13_0.5706_0.4273_0.3384_0.6142end-2.95_8.74_-6.75_25.40_-45.77_1.57_-29.50_-27.06_13.13_0.5722_0.4286_0.3361_0.6131end-2.27_8.94_-3.68_18.69_-92.88_6.04_-29.50_-27.06_13.13_0.5722_0.4286_0.3361_0.6131end-2.27_8.94_-3.68_18.69_-92.88_6.04_-30.56_-27.06_14.38_0.5740_0.4304_0.3334_0.6117end-2.27_8.94_-3.68_15.89_-105.08_6.94_-30.56_-27.06_14.38_0.5798_0.4368_0.3248_0.6062end-1.65_8.62_-6.17_15.89_-105.08_6.94_-30.19_-27.69_13.56_0.5798_0.4368_0.3248_0.6062end-1.65_8.62_-6.17_18.69_-100.16_5.37_-30.19_-27.69_13.56_0.5837_0.4411_0.3190_0.6025end-0.96_8.68_-5.48_19.14_-95.46_4.36_-29.56_-27.69_16.50_0.5837_0.4411_0.3190_0.6025end-0.96_8.68_-5.48_19.14_-95.46_4.36_-29.56_-27.69_16.50_0.5889_0.4467_0.3106_0.5976end-0.60_9.56_-4.00_19.14_-95.46_4.36_-29.56_-27.69_16.50_0.5905_0.4482_0.3082_0.5963end,24.13857399,121.27178994,3345.797607421875
