ID,data,latitude,longitude,altitude
1,,24.1375593,121.27350433,3284.5576171875
2,-2.23_8.64_0.23_-53.49_-1.34_-8.39_-1.06_-28.94_33.94_0.7157_0.6836_-0.0035_0.1429end-2.23_8.64_0.23_-53.49_-1.34_-8.39_-1.81_-29.56_32.75_0.7072_0.6921_-0.0032_0.1443end-2.19_8.52_0.37_-53.49_-1.34_-8.39_-1.81_-29.56_32.75_0.7072_0.6921_-0.0032_0.1443end-2.15_8.41_0.56_-53.49_-1.34_-8.39_-1.81_-29.56_32.75_0.7035_0.6958_-0.0029_0.1450end-2.20_8.38_0.56_-63.34_5.04_-9.40_-1.81_-29.56_32.75_0.7035_0.6958_-0.0029_0.1450end-2.20_8.38_0.56_-64.12_7.27_-9.62_-1.81_-29.56_32.75_0.6974_0.7015_-0.0019_0.1465end-2.23_8.35_0.59_-64.12_7.27_-9.62_-1.81_-29.56_32.75_0.6954_0.7034_-0.0015_0.1471end-2.27_8.24_0.71_-64.12_7.27_-9.62_-1.81_-29.56_32.75_0.6954_0.7034_-,24.1375593,121.27350433,3284.5576171875
3,,24.1375593,121.27350433,3284.5576171875
4,,24.1375593,121.27350433,3284.5576171875
5,0.0015_0.1471end-2.25_8.23_0.82_-68.93_14.21_-9.85_-1.81_-29.56_32.75_0.6954_0.7034_-0.0015_0.1471end-2.30_8.16_0.87_-68.93_14.21_-9.85_-1.81_-29.56_32.75_0.6866_0.7114_0.0009_0.1501end-2.32_8.10_0.99_-68.93_14.21_-9.85_-1.81_-29.56_32.75_0.6843_0.7133_0.0016_0.1511end-2.32_8.10_1.16_-68.93_14.21_-9.85_-1.81_-29.56_32.75_0.6843_0.7133_0.0016_0.1511end-2.32_8.10_1.16_-72.63_21.93_-10.63_-1.81_-29.56_32.75_0.6843_0.7133_0.0016_0.1511end-2.36_8.03_1.20_-72.63_21.93_-10.63_-1.81_-29.56_32.75_0.6748_0.7215_0.0049_0,24.1375593,121.27350433,3284.5576171875
6,.1551end-2.43_7.88_1.63_-72.63_21.93_-10.63_-1.81_-29.56_32.75_0.6748_0.7215_0.0049_0.1551end-2.40_7.84_1.65_-74.75_24.06_-11.41_-1.81_-29.56_32.75_0.6748_0.7215_0.0049_0.1551end-2.39_7.73_1.73_-74.75_24.06_-11.41_-1.06_-33.69_31.06_0.6748_0.7215_0.0049_0.1551end-2.39_7.73_1.73_-74.53_28.65_-11.30_-1.06_-33.69_31.06_0.6626_0.7314_0.0093_0.1606end-2.37_7.65_1.73_-74.53_28.65_-11.30_-2.37_-33.31_29.87_0.6626_0.7314_0.0093_0.1606end-2.37_7.65_1.73_-74.86_37.94_-12.98_-2.37_-33.31_29.87_0.6602_0.7334_0.0104_0.1619end-2.37_7.65_1.73_-74.53_44.54_-13.65_-1.75_-33.69_29.50_0.6602_0.7334_0.0104_0.1619end-2.37_7.65_1.73_-74.53_44.54_-13.65_-1.37_-34.31_28.25_0.6526_0.7390_0.0143_0.1669end-2.37_7.65_1.73_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6500_0.7407_0.0159_0.1691end-2.27_7.10_1.87_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6500_0.7407_0.0159_0.1691end-2.34_7.02_1.93_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6396_0.7469_0.0239_0.1797end-2.73_6.98_1.96_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6371_0.7484_0.0261_0.1827end-2.95_7.00_1.97_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6371_0.7484_0.0261_0.1827end-2.95_7.00_1.97_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6292_0.7,24.1375593,121.27350433,3284.5576171875
7,526_0.0322_0.1912end-3.02_7.08_1.88_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6266_0.7540_0.0341_0.1938end-3.01_7.22_1.84_-74.86_58.86_-15.11_-1.37_-34.31_28.25_0.6266_0.7540_0.0341_0.1938end,24.1375593,121.27350433,3284.5576171875
8,,24.1375593,121.27350433,3284.5576171875
9,,24.1375593,121.27350433,3284.5576171875
10,-2.93_7.33_1.86_-68.60_57.52_-17.23_-1.37_-34.31_28.25_0.6266_0.7540_0.0341_0.1938end-2.93_7.33_1.86_-66.81_53.04_-17.35_-4.37_-36.75_25.00_0.6190_0.7582_0.0391_0.2009end-2.83_7.63_1.64_-66.81_53.04_-17.35_-4.37_-36.75_25.00_0.6141_0.7610_0.0420_0.2051end-2.83_7.63_1.64_-64.23_51.14_-16.67_-4.37_-36.75_25.00_0.6141_0.7610_0.0420_0.2051end-2.83_7.63_1.64_-64.23_51.14_-16.67_-4.75_-37.75_26.25_0.6141_0.7610_0.0420_0.2051end-2.83_7.63_1.64_-64.23_51.14_-16.67_-3.69_-36.75_22.94_0.6093_0.7635_0.0448_0.2092end-2.83_7.63_1.64_-58.97_42.97_-13.88_-3.69_-36.75_22.94_0.6025_0.7672_0.0487_0.2147end-2.93_8.53_1.77_-58.97_42.97_-13.88_-5.75_-37.06_25.44_0.6025_0.7672_0.0487_0.2147end-2.93_8.53_1.77_-55.51_39.17_-13.20_-5.75_-37.06_25.44_0.5983_0.7694_0.0511_0.2180end-2.52_8.73_1.99_-54.27_33.91_-12.09_-3.69_-39.44_23.38_0.5983_0.7694_0.0511_0.2180end,24.1375593,121.27350433,3284.5576171875
11,-2.52_8.73_1.99_-54.27_33.91_-12.09_-3.69_-39.44_23.38_0.5922_0.7728_0.0540_0.2218end-2.90_8.84_2.03_-54.27_33.91_-12.09_-4.69_-38.13_23.38_0.5922_0.7728_0.0540_0.2218end-2.75_8.74_1.84_-49.91_20.37_-9.85_-4.69_-38.13_23.38_0.5922_0.7728_0.0540_0.2218end-2.37_8.54_1.59_-49.91_20.37_-9.85_-4.69_-38.13_23.38_0.5850_0.7772_0.0567_0.2250end-2.46_8.50_1.78_-49.91_20.37_-9.85_-4.69_-39.75_23.38_0.5834_0.7783_0.0571_0.2252end-2.46_8.50_1.78_-41.29_2.35_-4.03_-4.69_-39.75_23.38_0.5834_0.7783_0.0571_0.2252end-2.42_8.15_2.00_-41.29_2.35_-4.03_-4.69_-39.75_23.38_0.5834_0.7783_0.0571_0.2252end-2.42_8.15_2.00_-41.29_2.35_-4.03_-4.69_-39.75_23.38_0.5791_0.7812_0.0583_0.2256end-2.42_8.15_2.00_-41.29_2.35_-4.03_-4.06_-39.75_22.13_0.5765_0.7830_0.0593_0.2261end-2.12_7.61_1.68_-41.29_2.35_-4.03_-4.06_-39.75_22.13_0.5754_0.7837_0.0599_0.2263end,24.1375593,121.27350433,3284.5576171875
12,,24.1375593,121.27350433,3284.5576171875
13,,24.1375593,121.27350433,3284.5576171875
14,-2.15_7.64_1.71_-29.77_11.41_1.57_-4.06_-39.75_22.13_0.5754_0.7837_0.0599_0.2263end-2.07_7.63_1.76_-27.64_13.54_2.35_-4.06_-39.75_22.13_0.5754_0.7837_0.0599_0.2263end-2.07_7.63_1.76_-23.05_16.79_4.14_-5.69_-39.13_21.75_0.5723_0.7855_0.0620_0.2273end-2.07_7.63_1.76_-23.05_16.79_4.14_-5.69_-39.13_21.75_0.5707_0.7863_0.0636_0.2281end-1.78_7.67_1.64_-23.05_16.79_4.14_-5.37_-39.38_20.94_0.5707_0.7863_0.0636_0.2281end-1.88_7.72_1.33_-17.46_15.11_7.83_-5.37_-39.38_20.94_0.5707_0.7863_0.0636_0.2281end-1.85_7.86_1.07_-17.46_15.11_7.83_-5.06_-40.50_21.75_0.5707_0.7863_0.0636_0.2281end-1.82_7.93_1.10_-17.46_15.11_7.83_-5.06_-40.50_21.75_0.5681_0.7874_0.0678_0.2296end-1.82_7.93_1.10_-17.46_15.11_7.83_-5.37_-39.13_21.75_0.5678_0.7875_0.0687_0.2297end-1.94_8.05_0.98_-17.46_15.11_7.83_-5.37_-39.13_21.75_0.5678_0.7875_0.0687_0.2297end,24.1375593,121.27350433,3284.5576171875
15,,24.1375593,121.27350433,3284.5576171875
16,,24.1375593,121.27350433,3284.5576171875
17,,24.1375593,121.27350433,3284.5576171875
18,-1.99_8.07_0.84_-4.48_15.22_15.44_-5.37_-39.13_21.75_0.5678_0.7875_0.0687_0.2297end-2.07_8.20_0.74_-4.48_15.22_15.44_-5.37_-39.13_21.75_0.5675_0.7873_0.0715_0.2302end-2.07_8.20_0.74_-4.48_15.22_15.44_-5.06_-40.12_21.31_0.5675_0.7871_0.0726_0.2304end-2.07_8.20_0.74_1.23_19.36_18.80_-5.06_-40.12_21.31_0.5678_0.7866_0.0749_0.2308end-2.19_8.45_0.64_1.23_19.36_18.80_-5.06_-40.12_21.31_0.5678_0.7866_0.0749_0.2308end-2.24_8.56_0.63_7.16_16.56_24.17_-5.06_-40.12_21.31_0.5678_0.7866_0.0749_0.2308end-2.25_8.65_0.63_10.97_12.76_27.42_-5.37_-39.38_21.31_0.5678_0.7866_0.0749_0.2308end-2.25_8.65_0.63_13.20_9.74_28.87_-5.37_-39.38_21.31_0.5701_0.7844_0.0807_0.2306end,24.1375593,121.27350433,3284.5576171875
19,-2.25_8.88_0.63_13.20_9.74_28.87_-5.37_-39.38_21.31_0.5709_0.7839_0.0818_0.2302end-2.19_8.97_0.61_13.20_9.74_28.87_-5.37_-39.38_21.31_0.5709_0.7839_0.0818_0.2302end,24.1375593,121.27350433,3284.5576171875
20,,24.1375593,121.27350433,3284.5576171875
21,,24.1375593,121.27350433,3284.5576171875
22,,24.1375593,121.27350433,3284.5576171875
23,,24.1375593,121.27350433,3284.5576171875
24,,24.1375593,121.27350433,3284.5576171875
25,-2.10_9.13_0.60_13.20_9.74_28.87_-5.37_-39.38_21.31_0.5709_0.7839_0.0818_0.2302end-1.95_9.33_0.59_21.04_2.01_35.36_-5.37_-39.38_21.31_0.5709_0.7839_0.0818_0.2302end-1.95_9.33_0.59_24.95_3.25_38.83_-5.37_-39.38_21.31_0.5758_0.7806_0.0873_0.2269end-1.79_9.63_0.59_24.95_3.25_38.83_-5.37_-39.38_21.31_0.5758_0.7806_0.0873_0.2269end1.,24.1375593,121.27350433,3284.5576171875
