ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,-0.37_9.83_-0.74_7.61_-5.37_2.46_-20.37_-24.56_3.00_0.4966_0.4496_0.4858_0.5615end-0.40_9.86_-0.66_7.61_-5.37_2.46_-20.37_-24.56_3.00_0.4966_0.4496_0.4858_0.5615end-0.35_9.83_-0.66_7.61_-5.37_2.46_-20.37_-24.56_3.00_0.4966_0.4496_0.4858_0.5615end-0.38_9.82_-0.68_9.06_-2.80_3.13_-20.12_-22.81_3.87_0.4966_0.4496_0.4858_0.5615end-0.37_9.80_-0.71_9.18_-2.80_3.25_-20.12_-22.81_3.87_0.4966_0.4496_0.4858_0.5615end-0.37_9.80_-0.71_9.51_-2.57_3.36_-20.12_-22.81_3.87_0.4981_0.4487_0.4848_0.5618end-0.38_9.80_-0.72_9.51_-2.57_3.36_-20.12_-22.81_3.87_0.4984_0.4485_0.4846_0.5618end-0.40_9.81_-0.71_9.51_-2.57_3.36_-20.12_-22.81_3.87_0.4990_0.4481_0.4842_0.5620end-0.40_9.81_-0.71_9.51_-2.57_3.36_-20.75_-23.81_4.75_0.4995_0.4477_0.4839_0.5621end-0.37_9.83_-0.69_9.51_-2.57_3.36_-20.75_-23.81_4.75_0.4995_0.4477_0.4839_0.5621end,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,-0.34_9.83_-0.68_9.51_-2.57_3.36_-20.75_-23.81_4.75_0.5000_0.4471_0.4836_0.5623end-0.37_9.80_-0.70_10.74_-0.11_3.80_-20.75_-23.81_4.75_0.5000_0.4471_0.4836_0.5623end-0.37_9.80_-0.70_10.74_-0.11_3.80_-20.75_-23.81_4.75_0.5007_0.4465_0.4832_0.5626end-0.43_9.80_-0.77_10.74_-0.11_3.80_-20.44_-23.81_4.75_0.5009_0.4462_0.4831_0.5627end-0.82_9.77_-0.84_10.74_-0.11_3.80_-20.44_-23.81_4.75_0.5009_0.4462_0.4831_0.5627end-1.04_9.74_-0.82_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5009_0.4462_0.4831_0.5627end-1.04_9.74_-0.82_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5017_0.4448_0.4828_0.5634end-1.57_9.71_-0.67_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5017_0.4448_0.4828_0.5634end-1.64_9.73_-0.55_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5017_0.4448_0.4828_0.5634end-1.64_9.73_-0.55_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5029_0.4431_0.4824_0.5640end,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,-1.16_9.75_0.15_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5029_0.4431_0.4824_0.5640end-0.53_9.96_0.34_11.86_3.36_4.70_-20.44_-23.81_4.75_0.5029_0.4431_0.4824_0.5640end-0.53_9.96_0.34_11.86_3.36_4.70_-21.12_-24.56_4.31_0.5065_0.4434_0.4797_0.5628end0.25_9.67_0.23_11.86_3.36_4.70_-21.12_-24.56_4.31_0.5078_0.4438_0.4786_0.5623end0.75_9.85_-0.13_16.56_-39.28_8.62_-21.12_-24.56_4.31_0.5078_0.4438_0.4786_0.5623end0.75_9.85_-0.13_16.56_-39.28_8.62_-20.12_-23.12_6.06_0.5104_0.4448_0.4765_0.5610end1.05_9.76_-0.54_16.56_-39.28_8.62_-20.12_-23.12_6.06_0.5104_0.4448_0.4765_0.5610end1.17_9.75_-0.66_16.56_-39.28_8.62_-20.12_-23.12_6.06_0.5104_0.4448_0.4765_0.5610end1.13_9.76_-0.73_16.56_-39.28_8.62_-21.12_-23.12_5.56_0.5104_0.4448_0.4765_0.5610end1.13_9.76_-0.73_16.56_-39.28_8.62_-21.12_-23.12_5.56_0.5147_0.4440_0.4731_0.5605end,0.0,0.0,0.0
10,,0.0,0.0,0.0
