ID,data,latitude,longitude,altitude
1,0.51_9.91_0.04_8.17_0.22_-1.45_-19.56_-5.69_21.69_0.6553_0.6011_0.2997_0.3455end0.50_9.91_0.06_8.17_0.22_-1.45_-19.56_-5.69_21.69_0.6553_0.6011_0.2997_0.3455end0.50_9.89_0.01_9.29_4.70_-2.46_-19.56_-5.69_21.69_0.6553_0.6011_0.2997_0.3455end0.48_9.92_-0.00_9.29_6.38_-2.57_-20.25_-3.56_20.81_0.6553_0.6011_0.2997_0.3455end0.47_9.92_0.01_9.85_7.39_-2.91_-20.25_-3.56_20.81_0.6561_0.5995_0.2994_0.3472end0.43_9.90_0.01_9.85_7.39_-2.91_-20.25_-3.56_20.81_0.6562_0.5991_0.2994_0.3477end0.33_9.89_0.04_9.85_7.39_-2.91_-20.25_-3.56_20.81_0.6562_0.5991_0.2994_0.3477end0.28_9.88_0.04_9.85_7.39_-2.91_-20.31_-4.94_22.06_0.6562_0.5991_0.2994_0.3477end0.26_9.85_0.04_11.7,0.0,0.0,0.0
2,5_9.96_-3.58_-20.31_-4.94_22.06_0.6562_0.5991_0.2994_0.3477end0.23_9.85_0.09_11.75_9.96_-3.58_-20.31_-4.94_22.06_0.6567_0.5969_0.2995_0.3502end,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,0.27_9.86_0.12_11.75_9.96_-3.58_-20.31_-4.94_22.06_0.6570_0.5966_0.2994_0.3506end0.29_9.86_0.16_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6570_0.5966_0.2994_0.3506end0.33_9.88_0.13_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6570_0.5966_0.2994_0.3506end0.33_9.88_0.13_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6580_0.5951_0.2984_0.3520end0.39_9.85_0.03_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6580_0.5951_0.2984_0.3520end0.38_9.83_-0.01_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6586_0.5943_0.2978_0.3527end0.39_9.85_-0.05_11.75_9.96_-3.58_-21.00_-4.25_21.19_0.6586_0.5943_0.2978_0.3527end0.37_9.81_-0.12_15.33_3.36_-4.70_-21.00_-4.25_21.19_0.6595_0.5930_0.2970_0.3538end0.38_9.79_-0.12_15.33_3.36_-4.70_-21.00_-4.25_21.19_0.6595_0.5930_0.2970_0.3538end0.38_9.79_-0.12_15.33_3.36_-4.70_-20.62_-4.62_22.06_0.6600_0.5920_0.2966_0.3549end,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,0.34_9.80_-0.02_15.33_3.36_-4.70_-20.62_-4.62_22.06_0.6600_0.5920_0.2966_0.3549end0.32_9.77_-0.03_17.12_10.97_-6.15_-20.62_-4.62_22.06_0.6600_0.5920_0.2966_0.3549end0.32_9.77_-0.03_17.12_10.97_-6.15_-20.62_-4.62_22.06_0.6606_0.5903_0.2963_0.3568end0.32_9.77_-0.03_17.12_10.97_-6.15_-20.62_-4.62_22.06_0.6610_0.5890_0.2963_0.3584end0.14_9.76_0.12_17.12_10.97_-6.15_-20.62_-4.62_22.06_0.6611_0.5883_0.2963_0.3593end0.04_9.67_0.07_17.12_10.97_-6.15_-20.62_-4.62_22.06_0.6612_0.5875_0.2964_0.3602end0.00_9.85_0.08_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6612_0.5875_0.2964_0.3602end0.00_9.85_0.08_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6616_0.5850_0.2969_0.3633end-,0.0,0.0,0.0
7,0.19_9.76_0.06_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6617_0.5842_0.2971_0.3643end-0.21_9.72_0.07_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6617_0.5842_0.2971_0.3643end,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,-0.27_9.71_0.01_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6617_0.5842_0.2971_0.3643end-0.27_9.71_0.01_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6622_0.5817_0.2971_0.3670end-0.27_9.71_0.01_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6629_0.5803_0.2967_0.3685end-0.30_9.65_0.03_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6633_0.5795_0.2964_0.3691end-0.27_9.63_0.05_19.81_22.60_-7.05_-20.62_-4.62_22.06_0.6638_0.5789_0.2960_0.3697end-0.31_9.62_0.08_19.81_22.60_-7.05_-21.31_-3.94_20.44_0.6638_0.5789_0.2960_0.3697end-0.32_9.62_0.05_19.81_22.60_-7.05_-21.31_-3.94_20.44_0.6653_0.5768_0.2946_0.3713end-0.32_9.62_0.05_19.81_22.60_-7.05_-20.25_-4.31_21.25_0.6658_0.5761_0.2941_0.371,0.0,0.0,0.0
10,8end-0.36_9.66_-0.05_19.81_22.60_-7.05_-21.62_-2.19_20.37_0.6658_0.5761_0.2941_0.3718end-0.33_9.58_-0.22_19.81_22.60_-7.05_-21.62_-2.19_20.37_0.6658_0.5761_0.2941_0.3718end,0.0,0.0,0.0
11,,0.0,0.0,0.0
12,,0.0,0.0,0.0
