ID,data,latitude,longitude,altitude
1,-0.88_5.61_-8.89_7.27_-27.53_-2.01_-5.81_-36.19_4.31_0.1337_0.0960_0.3155_0.9346end-0.84_5.69_-8.58_7.27_-27.53_-2.01_-5.81_-36.19_4.31_0.1340_0.0970_0.3150_0.9346end-0.81_6.08_-8.48_7.72_-31.00_-1.57_-5.81_-36.19_4.31_0.1340_0.0970_0.3150_0.9346end-0.72_6.34_-8.41_7.72_-31.00_-1.57_-5.81_-36.19_4.31_0.1350_0.1005_0.3135_0.9346e,0.0,0.0,0.0
2,nd-0.72_6.34_-8.41_7.95_-29.66_-1.79_-5.81_-36.19_4.31_0.1350_0.1005_0.3135_0.9346end-0.72_6.75_-8.25_7.61_-27.31_-2.13_-5.81_-36.19_4.31_0.1350_0.1005_0.3135_0.9346end-0.68_7.14_-8.14_7.61_-27.31_-2.13_-5.81_-36.19_4.31_0.1360_0.1041_0.3118_0.9346end-0.68_7.14_-8.14_6.15_-18.02_-3.92_-5.81_-36.19_4.31_0.1365_0.1065_0.3105_0.934,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,6end-0.81_7.35_-7.80_6.15_-18.02_-3.92_-5.81_-36.19_4.31_0.1365_0.1069_0.3102_0.9347end-0.62_7.82_-7.83_6.15_-18.02_-3.92_-5.81_-36.19_4.31_0.1365_0.1069_0.3102_0.9347end-0.55_7.78_-7.75_6.15_-18.02_-3.92_-6.12_-37.56_4.31_0.1365_0.1069_0.3102_0.9347end-0.91_7.65_-7.54_4.36_-6.04_-5.60_-6.12_-37.56_4.31_0.1365_0.1069_0.3102_0.9347end-0.88_7.61_-7.48_4.36_-6.04_-5.60_-5.50_-35.81_4.31_0.1358_0.1085_0.3088_0.9351end-1.10_7.53_-7.12_4.36_-6.04_-5.60_-5.50_-35.81_4.31_0.1356_0.1088_0.3087_0.9352end-0.74_7.47_-7.50_4.36_-6.04_-5.60_-5.50_-35.81_4.31_0.1356_0.1088_0.3087_0.9352end-0.97_7.46_-7.00_4.36_-6.04_-5.60_-5.50_-35.81_4.31_0.1353_0.1099_0.3081_0.9352end-0.59_7.39_-6.66_2.57_-26.86_-8.39_-5.50_-35.81_4.31_0.1353_0.1099_0.3081_0.9352end-0.59_7.39_-6.66_2.57_-26.86_-8.39_-5.50_-35.81_4.31_0.1353_0.1131_0.3071_0.9352end-1.06_7.51_-7.28_2.57_-26.86_-8.39_-5.81_-35.44_5.19_0.1353_0.1143_0.3068_0.9352end-0.52_7.76_-7.79_2.57_-26.86_-8.39_-5.81_-35.44_5.19_0.1353_0.1143_0.3068_0.9352end,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,-0.52_7.76_-7.79_2.13_-25.74_-10.74_-5.12_-35.81_4.31_0.1353_0.1143_0.3068_0.9352end-0.52_7.76_-7.79_1.68_-19.81_-12.65_-5.12_-35.81_4.31_0.1349_0.1177_0.3059_0.9351end0.33_8.65_-7.94_1.68_-19.81_-12.65_-5.12_-35.81_4.31_0.1343_0.1194_0.3054_0.9351end0.23_9.00_-7.58_1.68_-19.81_-12.65_-5.12_-35.81_4.31_0.1343_0.1194_0.3054_0.9351end-0.40_8.74_-7.30_0.67_-4.81_-17.68_-5.12_-35.81_4.31_0.1343_0.1194_0.3054_0.9351end-0.40_8.74_-7.30_-0.56_-0.67_-19.47_-5.12_-35.81_4.31_0.1324_0.1207_0.3050_0.9354end-0.40_8.74_-7.30_-1.34_-3.02_-19.14_-5.12_-35.81_4.31_0.1316_0.1210_0.3049_0.9355end-1.00_9.15_-6.69_-1.34_-3.02_-19.14_-5.12_-35.81_4.31_0.1300_0.1216_0.3047_0.9357end-1.09_9.13_-7.55_-1.34_-3.02_-19.14_-4.37_-36.25_3.44_0.1300_0.1216_0.3047_0.9357end-1.32_9.30_-7.54_-4.70_-0.45_-22.49_-4.37_-36.25_3.44_0.1300_0.1216_0.3047_0.9357end,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,-1.32_9.30_-7.54_-4.70_-0.45_-22.49_-4.37_-36.25_3.44_0.1262_0.1230_0.3048_0.9360end-2.15_8.20_-7.86_-4.70_-0.45_-22.49_-4.37_-36.25_3.44_0.1253_0.1237_0.3049_0.9360end-1.64_9.82_-8.51_-4.70_-0.45_-22.49_-4.37_-36.25_3.44_0.1253_0.1237_0.3049_0.9360end-1.94_10.11_-7.45_-8.17_-27.53_-23.50_-4.37_-36.25_3.44_0.1253_0.1237_0.3049_0.9360end-1.94_10.11_-7.45_-8.17_-27.53_-23.50_-4.37_-36.25_3.44_0.1230_0.1272_0.3051_0.9357end-1.94_10.11_-7.45_-8.17_-27.53_-23.50_-4.37_-36.25_3.44_0.1219_0.1309_0.3051_0.9354end-1.34_10.22_-7.24_-8.17_-27.53_-23.50_-4.37_-36.25_3.44_0.1215_0.1329_0.3052_0.9351end-1.54_10.22_-7.12_-8.17_-27.53_-23.50_-4.37_-36.25_3.44_0.1208_0,0.0,0.0,0.0
