ID,data,latitude,longitude,altitude
1,0.86_7.45_1.64_-24.51_-56.96_-6.94_-18.44_-36.00_12.19_0.4818_0.8510_0.2078_-0.0243end0.86_7.45_1.64_-24.51_-56.96_-6.94_-18.44_-36.00_12.19_0.4811_0.8523_0.2028_-0.0311end0.86_7.45_1.64_-24.51_-56.96_-6.94_-18.44_-37.00_13.81_0.4811_0.8530_0.1990_-0.0364end0.32_7.69_1.87_-24.51_-56.96_-6.94_-18.44_-37.00_13.81_0.4811_0.8530_0.1,24.37901385,120.90950329,1026.2877197265625
2,990_-0.0364end0.72_7.99_1.46_-24.51_-56.96_-6.94_-18.44_-37.00_13.81_0.4811_0.8530_0.1990_-0.0364end0.85_8.10_1.24_-24.51_-56.96_-6.94_-16.31_-37.38_13.44_0.4811_0.8530_0.1990_-0.0364end1.05_8.31_0.96_-24.51_-56.96_-6.94_-16.31_-37.38_13.44_0.4824_0.8541_0.1876_-0.0516end1.05_8.31_0.96_-24.51_-56.96_-6.94_-16.62_-37.38_13.44_0.4824_0.8541_0.1876_-0.0516end1.09_8.95_0.75_-24.51_-56.96_-6.94_-15.56_-37.31_15.19_0.4824_0.8541_0.1876_-0.0516end1.09_8.95_0.75_-3.25_-71.84_-16.23_-15.56_-37.31_15.19_0.4837_0.8543_0.1805_-0.0601end,24.37901385,120.90950329,1026.2877197265625
3,,24.37901385,120.90950329,1026.2877197265625
4,1.09_8.95_0.75_-3.25_-71.84_-16.23_-15.19_-37.31_13.44_0.4842_0.8543_0.1786_-0.0621end1.09_8.95_0.75_2.24_-34.58_-20.14_-15.19_-37.31_13.44_0.4846_0.8543_0.1768_-0.0637end1.09_8.95_0.75_2.24_-34.58_-20.14_-15.19_-37.31_13.44_0.4855_0.8543_0.1739_-0.0654end1.09_8.95_0.75_7.72_-26.75_-21.60_-15.19_-37.31_13.44_0.4860_0.8542_0.1725_-0.0659end1.00_10.20_2.30_7.72_-26.75_-21.60_-15.19_-37.31_13.44_0.4860_0.8542_0.1725_-0.0659end1.00_10.20_2.30_7.72_-26.75_-21.60_-15.19_-37.31_13.44_0.4866_0.8541_0.1711_-0.0664end1.00_10.20_2.30_15.44_-38.27_-23.95_-15.19_-37.31_13.44_0.4866_0.8541_0.1711_-0.0664end1.00_10.20_2.30_15.44_-38.27_-23.95_-15.19_-37.31_13.44_0.48,24.37901385,120.90950329,1026.2877197265625
5,66_0.8541_0.1711_-0.0664end1.00_10.20_2.30_15.44_-38.27_-23.95_-15.19_-37.31_13.44_0.4902_0.8531_0.1646_-0.0693end0.57_10.89_1.77_15.44_-38.27_-23.95_-15.19_-37.31_13.44_0.4902_0.8531_0.1646_-0.0693end,24.37901385,120.90950329,1026.2877197265625
6,,24.37901385,120.90950329,1026.2877197265625
7,0.74_10.91_1.61_15.44_-38.27_-23.95_-12.69_-38.31_16.00_0.4902_0.8531_0.1646_-0.0693end0.74_10.91_1.61_15.44_-38.27_-23.95_-12.69_-38.31_16.00_0.4990_0.8498_0.1528_-0.0745end1.11_10.61_1.86_15.44_-38.27_-23.95_-12.69_-38.31_16.00_0.5007_0.8491_0.1510_-0.0746end1.11_10.61_1.86_15.44_-38.27_-23.95_-12.69_-37.63_15.56_0.5026_0.8483_0.1493_-0.0746end1.75_10.18_2.25_15.44_-38.27_-23.95_-12.69_-37.63_15.56_0.5026_0.8483_0.1493_-0.0746end1.78_10.17_2.23_49.35_-17.01_-39.17_-12.69_-37.63_15.56_0.5026_0.8483_0.1493_-0.0746end1.63_10.16_2.12_49.35_-17.01_-39.17_-12.69_-37.63_15.56_0.5108_0.8447_0.1428_-0.0722end1.44_10.18_2.01_49.35_-17.01_-39.17_-12.69_-37.63_1,24.37901385,120.90950329,1026.2877197265625
8,,24.37901385,120.90950329,1026.2877197265625
9,,24.37901385,120.90950329,1026.2877197265625
10,,24.37901385,120.90950329,1026.2877197265625
