ID,data,latitude,longitude,altitude
1,-1.19_8.94_-2.52_9.51_-16.45_7.83_-5.94_-17.69_38.75_0.7943_0.5848_0.0411_0.1591end-1.09_8.98_-2.51_9.51_-16.45_7.83_-5.94_-17.69_38.75_0.7943_0.5848_0.0411_0.1591end-1.09_8.98_-2.51_9.51_-16.45_7.83_-5.94_-17.69_38.75_0.7954_0.5842_0.0391_0.1567end-1.04_8.95_-2.57_10.85_-25.07_7.27_-5.94_-17.69_38.75_0.7954_0.5842_0.0391_0.1567end-0.95_8.93_-2.58_10.85_-25.07_7.27_-5.94_-17.69_38.75_0.7958_0.5839_0.0384_0.1558end-0.91_8.93_-2.60_10.74_-26.52_7.27_-5.94_-17.69_38.75_0.7958_0.5839_0.0384_0.1558end-0.91_8.93_-2.60_10.74_-26.52_7.27_-5.94_-17.69_38.75_0.7969_0.5833_0.0359_0.1531end-0.83_8.91_-2.70_10.74_-26.52_7.27_-7.00_-16.37_37.50_0.7969_0.5833_0.0359_0.1531end-0.85_8.90_-2.74_10.85_-28.31_7.16_-7.00_-16.37_37.50_0.7969_0.5833_0.0359_0.1531end-0.85_8.90_-2.74_11.30_-27.98_6.60_-4.81_-15.94_38.38_0.7969_0.5833_0.0359_0.1531end,24.37910413,120.90938803,1032.0341796875
2,-0.85_8.90_-2.74_11.30_-27.98_6.60_-4.81_-15.94_38.38_0.7992_0.5819_0.0305_0.1476end-0.75_8.91_-2.76_11.30_-27.98_6.60_-4.81_-15.94_38.38_0.7996_0.5817_0.0297_0.1468end-0.70_8.89_-2.75_11.30_-27.98_6.60_-4.81_-15.94_38.38_0.7999_0.5814_0.0287_0.1459end-0.62_8.89_-2.71_11.30_-27.98_6.60_-4.12_-15.56_38.81_0.7999_0.5814_0.0287_0.1459end-0.63_8.89_-2.70_12.42_-25.74_5.48_-4.12_-15.56_38.81_0.7999_0.5814_0.0287_0.1459end-0.61_8.90_-2.66_12.31_-25.51_5.60_-4.12_-15.56_38.81_0.7999_0.5814_0.0287_0.1459end-0.61_8.90_-2.66_12.31_-25.51_5.60_-4.12_-15.56_38.81_0.8015_0.5802_0.0253_0.1426end-0.61_8.90_-2.66_12.31_-25.51_5.60_-5.19_-15.56_39.25_0.8015_0.5802_0.02,24.37910413,120.90938803,1032.0341796875
3,,24.37910413,120.90938803,1032.0341796875
4,53_0.1426end-0.61_8.90_-2.66_12.31_-25.51_5.60_-4.81_-15.56_39.69_0.8026_0.5793_0.0227_0.1402end-0.61_8.90_-2.66_12.53_-25.96_4.25_-4.81_-15.56_39.69_0.8030_0.5790_0.0219_0.1395end,24.37910413,120.90938803,1032.0341796875
5,-0.61_8.90_-2.66_12.87_-25.85_4.14_-4.44_-15.56_38.81_0.8030_0.5790_0.0219_0.1395end-0.61_8.90_-2.66_12.87_-25.63_3.69_-4.44_-15.56_38.81_0.8038_0.5784_0.0200_0.1379end-0.61_8.90_-2.66_12.87_-25.40_3.36_-4.44_-15.56_38.81_0.8045_0.5778_0.0182_0.1364end-0.42_8.83_-3.11_12.87_-25.40_3.36_-4.44_-15.56_38.81_0.8045_0.5778_0.0182_0.1364end-0.42_8.83_-3.11_12.87_-25.40_3.36_-4.44_-15.56_38.81_0.8045_0.5778_0.0182_0.1364end-0.50_8.88_-3.19_12.87_-25.40_3.36_-4.44_-15.56_38.81_0.8045_0.5778_0.0182_0.1364end-0.50_8.88_-3.19_13.32_-19.36_2.35_-4.44_-15.56_38.81_0.8045_0.5778_0.0182_0.1364end-0.50_8.88_-3.19_13.54_-18.24_1.68_-4.44_-15.56_38.81_0.8074_0.5750_0.0121_0.1317end-0.67_8.80_-3.28_13.54_-18.24_1.68_-4.44_-15.56_38.81_0.8077_0.5746_0.0114_0.1312end-0.57_8.83_-3.19_13.54_-18.24_1.68_-4.44_-15.56_38.81_0.8077_0.5746_0.0114_0.1312end,24.37910413,120.90938803,1032.0341796875
6,,24.37910413,120.90938803,1032.0341796875
7,,24.37910413,120.90938803,1032.0341796875
8,-0.48_8.86_-3.11_14.10_-14.21_0.90_-4.44_-15.56_38.81_0.8077_0.5746_0.0114_0.1312end-0.48_8.86_-3.11_14.10_-14.21_0.90_-3.37_-14.50_39.31_0.8089_0.5734_0.0095_0.1301end-0.48_8.86_-3.11_13.65_-9.40_-0.11_-3.37_-14.50_39.31_0.8096_0.5725_0.0085_0.1295end-0.34_8.78_-2.99_13.65_-9.40_-0.11_-3.37_-14.50_39.31_0.8099_0.5720_0.0081_0.1293end-0.19_8.86_-3.01_13.65_-9.40_-0.11_-3.37_-14.50_39.31_0.8099_0.5720_0.0081_0.1293end-0.19_8.86_-3.01_13.99_-4.14_-1.23_-3.37_-14.50_39.31_0.8099_0.5720_0.0081_0.1293end-0.05_8.78_-2.91_13.99_-4.14_-1.23_-3.00_-13.38_40.19_0.8099_0.5720_0.0081_0.1293end-0.05_8.78_-2.91_13.99_-4.14_-1.23_-3.00_-13.38_40.19_0.8117_0.5696_0.00,24.37910413,120.90938803,1032.0341796875
9,67_0.1291end0.13_8.74_-2.87_13.99_-4.14_-1.23_-3.00_-13.38_40.19_0.8117_0.5696_0.0067_0.1291end0.13_8.74_-2.87_13.99_-4.14_-1.23_-3.00_-13.44_39.69_0.8124_0.5685_0.0061_0.1292end,24.37910413,120.90938803,1032.0341796875
10,,24.37910413,120.90938803,1032.0341796875
