ID,data,latitude,longitude,altitude
1,-2.20_8.55_-6.22_31.45_-26.41_0.00_18.44_-33.88_-19.44_0.2238_0.0673_-0.5441_-0.8058end-2.55_8.30_-7.57_27.19_-4.03_0.78_18.44_-33.88_-19.44_0.2238_0.0667_-0.5432_-0.8065end-2.55_8.30_-7.57_26.63_6.04_1.34_18.44_-33.88_-19.44_0.2239_0.0665_-0.5423_-0.8071end-2.55_8.30_-7.57_26.63_6.04_1.34_18.44_-33.88_-19.44_0.2248_0.0673_-0.5400_-0.8083end-2.55_8.30_-7.57_26.63_6.04_1.34_18.81_-33.19_-20.75_0.2248_0.0673_-0.5400_-0.8083end-2.55_8.30_-7.57_27.98_36.37_1.90_18.81_-33.19_-20.75_0.2277_0.0707_-0.5359_-0.8099end-3.07_8.77_-7.17_27.98_36.37_1.90_18.81_-33.19_-20.75_0.2277_0.0707_-0.5359_-0.8099end-3.19_9.06_-7.39_27.98_36.37_1.90_18.81_-33.19_-20.75_0.2299_0.0737_-0.5331_-0.8109end-3.19_9.06_-7.39_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2320_0.0768_-0.5306_-0.8116end-2.51_10.03_-9.25_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2329_0.0783_-0.5295_-0.8120end-2.36_11.42_-9.96_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2337_0.0797_-0.5284_-0.8123end-2.36_11.42_-9.96_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2342_0.0806_-0.5269_-0.8130end-3.05_22.18_-9.73_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2342_0.0806_-0.5269_-0.8130end-4.06_21.65_-7.60_27.98_36.37_1.90_19.87_-33.19_-20.81_0.2342_0.0806_-0.5269_-0.8130end-3.99_22.00_-7.45_6.04_-55.06_20.81_19.87_-33.19_-20.81_0.2342_0.0806_-0.5269_-0.8130end-3.99_22.00_-7.45_6.04_-55.06_20.81_19.87_-33.19_-20.81_0.2264_0.0738_-0.5272_-0.8157end-1.04_21.26_-4.18_6.04_-55.06_20.81_19.87_-33.19_-20.81_0.2264_0.0738_-0.5272_-0.8157end2.25_13.27_-0.88_-1.45_-60.88_17.46_19.87_-33.19_-20.81_0.2264_0.0738_-0.5272_-0.8157end2.44_16.50_-0.41_-1.45_-60.88_17.46_18.44_-33.19_-20.75_0.2173_0.0659_-0.5303_-0.8168end2.44_16.50_-0.41_-12.87_-51.92_25.40_18.44_-33.19_-20.75_0.2173_0.0659_-0.5303_-0.8168end1.15_15.35_-1.87_-12.87_-51.92_25.40_18.44_-33.19_-20.75_0.2173_0.0659_-0.5303_-0.8168end0.25_15.25_-3.43_-12.87_-51.92_25.40_18.44_-33.19_-20.75_0.2173_0.0659_-0.5303_-0.8168end0.25_15.25_-3.43_-12.87_-51.92_25.40_16.75_-33.56_-20.75_0.2109_0.0645_-0.5331_-0.8168end0.25_15.25_-3.43_-12.87_-51.92_25.40_16.75_-33.56_-20.75_0.2095_0.0667_-0.5343_-0.8162end0.38_14.47_-3.49_-12.87_-51.92_25.40_16.75_-33.56_-20.75_0.2085_0.0678_-0.5351_-0.8159end-0.80_14.29_-2.94_-12.87_-51.92_25.40_16.75_-33.56_-20.75_0.2085_0.0678_-0.5351_-0.8159end-0.93_14.20_-3.29_-40.96_-17.23_33.35_16.75_-33.56_-20.75_0.2085_0.0678_-0.5351_-0.8159end-1.06_13.87_-2.87_-40.96_-17.23_33.35_16.75_-33.56_-20.75_0.2016_0.0696_-0.5412_-0.8134end-0.29_13.07_-2.34_-40.96_-17.23_33.35_16.75_-33.56_-20.75_0.2016_0.0696_-0.5412_-0.8134end0.34_12.33_-2.79_-40.96_-17.23_33.35_16.75_-33.56_-20.75_0.1960_0.0687_-0.5462_-0.8115end0.30_11.97_-2.64_-71.62_-71.96_40.62_16.75_-33.56_-20.75_0.1960_0.0687_-0.5462_-0.8115end0.19_11.45_-1.91_-71.62_-71.96_40.62_16.75_-33.56_-20.75_0.1859_0.0661_-0.5555_-0.8078end0.20_11.27_-1.52_-71.62_-71.96_40.62_15.31_-34.00_-24.25_0.1826_0.0656_-0.5588_-0.8063end0.11_10.75_-0.91_-92.32_-49.13_45.10_15.31_-34.00_-24.25_0.1826,24.37965836,120.90898825,1034.915771484375
2,,24.37965836,120.90898825,1034.915771484375
3,,24.37965836,120.90898825,1034.915771484375
4,_0.0656_-0.5588_-0.8063end0.11_10.75_-0.91_-92.32_-49.13_45.10_15.31_-34.00_-24.25_0.1765_0.0657_-0.5657_-0.8028end-0.11_9.92_-1.29_-92.32_-49.13_45.10_15.31_-34.00_-24.25_0.1765_0.0657_-0.5657_-0.8028end-0.11_9.92_-1.29_-92.32_-49.13_45.10_15.31_-34.00_-24.25_0.1704_0.0667_-0.5733_-0.7986end-0.11_9.92_-1.29_-92.32_-49.13_45.10_,24.37965836,120.90898825,1034.915771484375
5,-0.61_7.51_-0.20_-92.32_-49.13_45.10_13.19_-31.25_-26.44_0.1704_0.0667_-0.5733_-0.7986end-0.80_6.93_-0.14_-92.32_-49.13_45.10_13.19_-31.25_-26.44_0.1704_0.0667_-0.5733_-0.7986end-0.80_6.93_-0.14_-131.83_-7.61_49.91_13.19_-31.25_-26.44_0.1494_0.0781_-0.6068_-0.7767end-0.80_6.93_-0.14_-131.83_-7.61_49.91_12.06_-30.94_-26.81_0.1472_0.0802_-0.6114_-0.7734end-0.80_6.93_-0.14_-138.76_0.90_48.90_12.06_-30.94_-26.81_0.1449_0.0822_-0.6160_-0.7700end-1.19_5.20_0.70_-141.23_1.68_48.34_12.06_-30.94_-26.81_0.1406_0.0867_-0.6252_-0.7628end-1.19_5.20_0.70_-144.13_3.58_47.56_12.88_-29.63_-27.69_0.1406_0.0867_-0.6252_-0.7628end-1.31_4.42_0.83_-145.37_4.48_46.89_12.88_-29.63_-27.69_0.1406_0.0867_-0.6252_-0.7628end-1.34_3.90_0.84_-145.37_4.48_46.89_12.88_-29.63_-27.69_0.1326_0.0960_-0.6437_-0.7476end-1.36_3.78_0.97_-147.27_10.30_43.87_12.88_-29.63_-27.69_0.1326_0.0960_-0.6437_-0.7476end-1.35_3.59_0.89_-147.27_10.30_43.87_11.50_-28.62_-30.69_0.1326_0.0960_-0.6437_-0.7476end-1.35_3.59_0.89_-147.27_10.30_43.87_11.12_-27.25_-31.12_0.1258_0.1060_-0.6619_-0.7314end-1.43_3.31_0.71_-147.27_10.30_43.87_11.12_-27.25_-31.12_0.1242_0.1083_-0.6663_-0.7272end-1.40_3.12_1.16_-147.27_10.30_43.87_11.12_-27.25_-31.12_0.1242_0.1083_-0.6663_-0.7272end-1.40_3.12_1.16_-146.15_6.27_37.04_13.31_-25.81_-32.00_0.1242_0.1083_-0.6663_-0.7272end-1.40_3.12_1.16_-146.15_6.27_37.04_13.31_-25.81_-32.00_0.1192_0.1147_-0.6795_-0.7148end-1.40_3.12_1.16_-146.15_6.27_37.04_11.56_-25.81_-30.62_0.1176_0.1168_-0.6837_-0.7107end-1.40_3.12_1.16_-141.11_15.33_33.68_11.56_-25.81_-30.62_0.1147_0.1212_-0.6922_-0.7021end-1.40_3.12_1.16_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1147_0.1212_-0.6922_-0.7021end-1.95_2.89_1.20_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1147_0.1212_-0.6922_-0.7021end-1.95_2.89_1.20_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1116_0.1282_-0.7043_-0.6891end-1.83_3.66_0.95_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1116_0.1282_-0.7043_-0.6891end-1.89_3.86_0.18_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1116_0.1282_-0.7043_-0.6891end-1.89_3.86_0.18_-140.44_18.58_32.68_11.56_-25.81_-30.62_0.1035_0.1364_-0.7237_-0.6685end-1.58_4.58_-0.37_-140.44_18.58_32.68_11.31_-21.00_-36.63_0.1035_0.1364_-0.7237_-0.6685end-1.44_5.10_-0.59_-140.44_18.58_32.68_11.31_-21.00_-36.63_0.1035_0.1364_-0.7237_-0.6685end-1.35_5.41_-0.70_-140.44_18.58_32.68_11.31_-21.00_-36.63_0.1035_0.1364_-0.7237_-0.6685end-1.35_5.41_-0.70_-140.44_18.58_32.68_10.94_-19.25_-37.00_0.0887_0.1350_-0.7391_-0.6539end-0.61_6.11_-0.81_-140.44_18.58_32.68_10.94_-19.25_-37.00_0.0842_0.1340_-0.7430_-0.6503end-0.61_6.11_-0.81_-124.89_-89.52_29.88_10.94_-19.25_-37.00_0.0798_0.1329_-0.7467_-0.6469end0.48_6.71_-1.09_-124.89_-89.52_29.88_10.94_-19.25_-37.00_0.0754_0.1318_-0.7504_-0.6434end0.48_6.71_-1.09_-120.63_-76.54_28.76_10.94_-19.25_-37.00_0.0754_0.1318_-0.7504_-0.6434end0.48_6.71_-1.09_-120.63_-76.54_28.76_8.88_-15.88_-39.94_0.0669_0.1299_-0.7574_-0.6364end0.48_6.71_-1.09_-120.63_-76.54_28.76_8.88_-15.88_-39.94_0.05,24.37965836,120.90898825,1034.915771484375
6,65_0.1284_-0.7675_-0.6255end2.61_7.97_-0.01_-120.63_-76.54_28.76_8.88_-15.88_-39.94_0.0565_0.1284_-0.7675_-0.6255end2.69_7.94_0.10_-120.63_-76.54_28.76_8.88_-15.88_-39.94_0.0516_0.1284_-0.7734_-0.6185end2.69_7.94_0.10_-120.63_-76.54_28.76_8.19_-14.13_-40.81_0.0516_0.1284_-0.7734_-0.6185end2.69_7.94_0.10_-106.53_-4.36_15.22_7.81_-13.44_-39.00_0.0516_0.1284_-0.7734_-0.6185end2.61_7.70_0.30_-106.53_-4.36_15.22_7.81_-13.44_-39.00_0.0471_0.1310_-0.7848_-0.6039end2.40_7.72_0.34_-106.53_-4.36_15.22_7.81_-13.44_-39.00_0.0470_0.1321_-0.7874_-0.6003end2.10_7.55_0.38_-98.70_35.70_5.60_7.81_-13.44_-39.00_0.0470_0.1321_-0.7874_-0.6003end2.00_7.54_0.44_-96.46_44.87_2.69_7.50_-12.00_-40.31_0.0470_0.1321_-0.7874_-0.6003end2.00_7.54_0.44_-92.10_66.70_-2.01_7.50_-12.00_-40.31_0.0493_0.1365_-0.7947_-0.5894end1.68_7.25_0.62_-92.10_66.70_-2.01_7.50_-12.00_-40.31_0.0508_0.1382_-0.7969_-0.5858end1.68_7.25_0.62_-87.62_89.30_-6.83_8.19_-12.06_-41.63_0.0554_0.1422_-0.8013_-0.5785end0.96_6.61_0.84_-87.62_89.30_-6.83_8.19_-12.06_-41.63_0.0584_0.1446_-0.8033_-0.5747end0.96_6.61_0.84_-87.62_89.30_-6.83_8.19_-12.06_-41.63_0.0584_0.1446_-0.8033_-0.5747end0.23_5.93_1.58_-79.90_122.20_-12.65_8.19_-12.06_-41.63_0.0657_0.1498_-0.8069_-0.5675end-0.40_5.75_1.96_-79.90_122.20_-12.65_8.19_-12.06_-41.63_0.0657_0.1498_-0.8069_-0.5675end-0.72_5.59_2.15_-79.90_122.20_-12.65_11.56_-7.75_-40.25_0.0657_0.1498_-0.8069_-0.5675end-0.72_5.59_2.15_-79.90_122.20_-12.65_11.56_-7.75_-40.25_0.0840_0.1615_-0.8131_-0.5529end-2.14_5.18_2.60_-79.90_122.20_-12.65_11.56_-7.75_-40.25_0.0840_0.1615_-0.8131_-0.5529end-2.14_5.18_2.60_-79.90_122.20_-12.65_12.56_-8.13_-40.25_0.0960_0.1683_-0.8168_-0.5433end-2.57_4.99_2.58_-79.90_122.20_-12.65_12.56_-8.13_-40.25_0.0960_0.1683_-0.8168_-0.5433end-2.63_4.81_2.52_-79.90_122.20_-12.65_12.56_-8.13_-40.25_0.0960_0.1683_-0.8168_-0.5433end-2.63_4.81_2.52_-79.90_122.20_-12.65_13.31_-6.69_-41.13_0.1031_0.1717_-0.8203_-0.5357end-2.92_5.20_1.97_-79.90_122.20_-12.65_13.31_-6.69_-41.13_0.1051_0.1721_-0.8226_-0.5317end-2.80_5.33_2.07_-79.90_122.20_-12.65_14.06_-5.62_-41.50_0.1051_0.1721_-0.8226_-0.5317end-2.80_5.33_2.07_-41.63_0.11_-15.44_14.06_-5.62_-41.50_0.1051_0.1721_-0.8226_-0.5317end-2.80_5.33_2.07_-41.63_0.11_-15.44_14.06_-5.62_-41.50_0.1049_0.1708_-0.8258_-0.5272end-2.82_5.08_1.25_-32.34_-16.34_,24.37965836,120.90898825,1034.915771484375
7,-13.43_14.06_-5.62_-41.50_0.1045_0.1702_-0.8267_-0.5260end-2.82_5.08_1.25_-32.34_-16.34_-13.43_13.69_-5.62_-41.13_0.1045_0.1702_-0.8267_-0.5260end-2.82_5.08_1.25_-28.20_-23.16_-12.98_13.69_-5.62_-41.13_0.1016_0.1671_-0.8292_-0.5236end-2.95_5.39_2.05_-28.20_-23.16_-12.98_13.69_-5.62_-41.13_0.1016_0.1671_-0.8292_-0.5236end-2.95_5.39_2.05_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0948_0.1615_-0.8314_-0.5231end-2.93_5.68_2.11_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0917_0.1590_-0.8320_-0.5234end-2.59_5.78_2.03_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0917_0.1590_-0.8320_-0.5234end-2.40_5.79_1.80_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0840_0.1530_-0.8332_-0.5247end-2.40_5.79_1.80_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0797_0.1497_-0.8336_-0.5256end-2.40_5.79_1.80_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0753_0.1461_-0.8340_-0.5267end-2.18_6.02_0.25_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0753_0.1461_-0.8340_-0.5267end-1.42_6.14_-0.12_-13.76_-71.73_-10.97_13.69_-5.62_-41.13_0.0753_0.1461_-0.8340_-0.5267end-1.42_6.14_-0.12_27.86_-112.02_-17.57_13.69_-5.62_-41.13_0.0753_0.1461_-0.8340_-0.5267end-1.42_6.14_-0.12_32.01_-101.05_-19.58_13.69_-5.62_-41.13_0.0525_0.1253_-0.8334_-0.5356end-0.57_12.43_-0.66_32.01_-101.05_-19.58_13.69_-5.62_-41.13_0.0525_0.1253_-0.8334_-0.5356end-1.50_37.75_-12.03_48.12_,24.37965836,120.90898825,1034.915771484375
8,-65.24_-25.18_13.69_-5.62_-41.13_0.0525_0.1253_-0.8334_-0.5356end34.95_71.82_17.52_112.80_-64.68_-34.58_13.69_-5.62_-41.13_0.0525_0.1253_-0.8334_-0.5356end25.04_-21.21_37.33_112.80_-64.68_-34.58_6.50_-6.44_-41.50_0.0391_0.1111_-0.8283_-0.5477end-9.26_11.11_-15.05_112.80_-64.68_-34.58_6.50_-6.44_-41.50_0.0303_0.1074_-0.8298_-0.5469end-1.00_6.49_2.75_112.80_-64.68_-34.58_6.12_-6.87_-43.75_0.0303_0.1074_-0.8298_-0.5469end-1.00_6.49_2.75_-13.54_-117.50_33.80_6.12_-6.87_-43.75_0.0159_0.1020_-0.8307_-0.5471end-1.00_6.49_2.75_21.93_13.76_5.48_5.44_-6.19_-44.13_0.0159_0.1020_-0.8307_-0.5471end-1.00_6.49_2.75_37.04_57.74_-11.64_5.44_-6.19_-44.13_0.0150_0.1021_-0.8298_-0.5484end-1.00_6.49_2.75_37.04_-17.23_-21.82_5.44_-6.19_-44.13_0.0163_0.1019_-0.8290_-0.5496end8.63_7.81_17.02_37.04_-17.23_-21.82_5.44_-6.19_-44.13_0.0163_0.1019_-0.8290_-0.5496end8.63_7.81_17.02_37.04_-17.23_-21.82_5.44_-6.19_-44.13_0.0128_0.0967_-0.8273_-0.5533end13.47_8.13_16.49_37.04_-17.23_-21.82_5.44_-6.19_-44.13_0.0128_0.0967_-0.8273_-0.5533end7.64_7.75_8.24_37.04_-17.23_-21.82_5.44_-6.19_-44.13_0.0128_0.0967_-0.8273_-0.5533end2.70_6.70_2.73_30.55_31.67_1.45_5.44_-6.19_-44.13_0.0128_0.0967_-0.8273_-0.5533end2.70_6.70_2.73_30.55_31.67_1.45_2.19_-8.31_-42.88_0.0009_-0.0854_0.8221_0.5629end0.79_7.87_-1.75_30.55_31.67_1.45_2.19_-8.31_-42.88_0.0057_0.0889_-0.8212_-0.5637end0.79_7.87_-1.75_47.34_203.78_-24.51_2.19_-8.31_-42.88_0.0057_0.0889_-0.8212_-0.5637end0.79_7.87_-1.75_49.91_192.03_-26.52_2.19_-8.31_-42.88_0.0057_0.0889_-0.8212_-0.5637end0.79_7.87_-1.75_49.91_192.03_-26.52_2.19_-8.31_-42.88_0.0289_0.1004_-0.8176_-0.5663end2.27_8.22_2.28_49.91_192.03_-26.52_2.19_-8.31_-42.88_0.0289_0.1004_-0.8176_-0.5663end2.86_8.09_1.77_49.91_192.03_-26.52_5.75_-8.63_-42.00_0.0289_0.1004_-0.8176_-0.5663end2.86_8.09_1.77_43.53_134.40_-12.98_5.75_-8.63_-42.00_0.0518_0.1115_-0.8121_-0.5703end2.86_8.09_1.77_42.97_146.26_-12.53_6.06_-8.94_-42.00_0.0518_0.1115_-0.8121_-0.5703end2.86_8.09_1.77_41.07_167.30_-13.32_6.06_-8.94_-42.00_0.0634_0.1178_-0.8095_-0.5717end2.86_8.09_1.77_41.63_186.66_-14.10_8.25_-8.88_-41.13_0.0701_0.1216_-0.8080_-0.5722end-1.89_8.55_1.05_41.63_186.66_-14.10_8.25_-8.88_-41.13_0.0772_0.1256_-0.8066_-0.5724end-1.61_8.41_0.35_41.63_186.66_-14.10_11.19_-9.25_-42.06_0.0772_0.1256_-0.8066_-0.5724end-1.61_8.41_0.35_41.63_186.66_-14.10_11.19_-9.25_-42.06_0.1035_0.1403_-0.8002_-0.5738end-1.61_8.41_0.35_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1081_0.1428_-0.7988_-0.5743end-2.01_8.52_1.69_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1081_0.1428_-0.7988_-0.5743end-2.01_8.52_1.69_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1119_0.1447_-0.7974_-0.5751end-2.82_8.79_3.25_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1119_0.1447_-0.7974_-0.5751end-2.39_8.85_4.24_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1219_0.1492_-0.7922_-0.5790end-1.71_8.82_4.92_41.63_186.66_-14.10_12.50_-10.56_-39.88_0.1235_0.1497_-0.7911_-0.5801end-1.35_8.75_4.89_41.63_186.66_-14.10_14.31_-11.56_-40.38_0.1235_0.1497_-0.7911_-0.5801end-1.35_8.75_4.89_38.38_18.35_-3.92_14.31_-11.56_-40.38_0.1235_0.1497_-0.7911_-0.5801end-1.35_8.75_4.89_38.38_18.35_-3.92_14.31_-10.56_-40.31_0.1259_0.1502_-0.7890_-0.5823end-1.35_8.75_4.89_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1270_0.1500_-0.7870_-0.5848end-1.35_8.75_4.89_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1271_0.1496_-0.7861_-0.5862end-1.35_8.75_4.89_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1268_0.1484_-0.7842_-0.5890end0.36_8.71_3.10_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1268_0.1484_-0.7842_-0.5890end0.36_8.71_3.10_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1262_0.1462_-0.7814_-0.5933end0.96_8.73_2.38_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1262_0.1462_-0.7814_-0.5933end1.09_8.69_2.20_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1262_0.1462_-0.7814_-0.5933end1.12_8.68_2.07_38.27_7.50_-2.69_14.31_-10.56_-40.31_0.1270_0.1442_-0.7776_-0.5987end0.79_8.70_1.53_38.27_7.50_-2.69_14.31_-12.94_-38.63_0.1270_0.1442_-0.7776_-0.5987end0.70_8.72_1.43_40.85_24.62_-4.70_14.31_-12.94_-38.63_0.1270_0.1442_-0.7776_-0.5987end0.70_8.72_1.43_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1314_0.1450_-0.7731_-0.6033end0.55_8.78_1.34_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1314_0.1450_-0.7731_-0.6033end0.55_8.78_1.34_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1314_0.1450_-0.7731_-0.6033end0.55_8.78_1.34_40.62_3,24.37965836,120.90898825,1034.915771484375
9,1.00_-5.04_14.31_-12.94_-38.63_0.1330_0.1455_-0.7719_-0.6044end0.39_8.77_1.20_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1330_0.1455_-0.7719_-0.6044end0.27_8.85_1.23_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1330_0.1455_-0.7719_-0.6044end0.15_8.86_1.20_40.62_31.00_-5.04_14.31_-12.94_-38.63_0.1330_0.1455_-0.7719_-0.6044end0.15_8.86_1.,24.37965836,120.90898825,1034.915771484375
10,,24.37965836,120.90898825,1034.915771484375
