ID,data,latitude,longitude,altitude
1,,24.3790273,120.90879266,1062.85693359375
2,0.77_8.81_2.72_35.25_-14.10_-5.71_15.38_-14.00_-39.56_0.1035_0.2231_-0.7623_-0.5986end0.77_8.81_2.72_35.25_-14.10_-5.71_15.38_-14.00_-39.56_0.1037_0.2209_-0.7599_-0.6024end0.89_8.82_2.35_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.1038_0.2203_-0.7591_-0.6037end0.89_8.82_2.28_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.1038_0.2203_-0.7,24.3790273,120.90879266,1062.85693359375
3,,24.3790273,120.90879266,1062.85693359375
4,591_-0.6037end0.98_8.84_2.19_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.1039_0.2197_-0.7583_-0.6049end0.98_8.84_2.19_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.1047_0.2179_-0.7557_-0.6086end1.02_8.90_2.15_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.1050_0.2174_-0.7549_-0.6098end0.97_8.91_2.16_35.36_-11.53_-5.82_15.38_-14.00_-39.56_0.10,24.3790273,120.90879266,1062.85693359375
5,50_0.2174_-0.7549_-0.6098end0.98_8.88_2.13_35.36_-11.53_-5.82_14.94_-16.06_-37.81_0.1050_0.2174_-0.7549_-0.6098end0.98_8.88_2.13_35.36_-11.53_-5.82_14.94_-16.06_-37.81_0.1072_0.2160_-0.7513_-0.6144end,24.3790273,120.90879266,1062.85693359375
6,,24.3790273,120.90879266,1062.85693359375
7,0.81_8.88_2.00_35.36_-11.53_-5.82_14.94_-16.06_-37.81_0.1080_0.2158_-0.7503_-0.6155end0.72_8.91_1.93_35.36_-11.53_-5.82_14.94_-16.06_-37.81_0.1088_0.2156_-0.7494_-0.6165end0.64_8.93_1.86_36.48_9.40_-5.82_14.94_-16.06_-37.81_0.1088_0.2156_-0.7494_-0.6165end0.57_8.93_1.86_36.48_9.40_-5.82_15.31_-16.06_-36.06_0.1105_0.2154_-0.7475_,24.3790273,120.90879266,1062.85693359375
8,-0.6186end0.44_8.97_1.77_36.48_9.40_-5.82_15.31_-16.06_-36.06_0.1105_0.2154_-0.7475_-0.6186end0.44_8.97_1.77_36.48_9.40_-5.82_15.31_-16.06_-36.06_0.1122_0.2152_-0.7455_-0.6207end0.44_8.97_1.77_36.48_9.40_-5.82_15.31_-16.06_-36.06_0.1122_0.2152_-0.7455_-0.6207end0.44_8.97_1.77_36.15_9.85_-5.04_15.31_-16.06_-36.06_0.1122_0.2152_-0.7455_-0.6207end0.01_9.03_1.59_36.15_9.85_-5.04_15.31_-16.06_-36.06_0.1122_0.2152_-0.7455_-0.6207end-0.13_9.05_1.51_36.15_5.93_-4.25_15.31_-16.06_-36.06_0.1122_0.2152_-0.7455_-0.6207end,24.3790273,120.90879266,1062.85693359375
9,-0.13_9.05_1.51_36.15_5.93_-4.25_15.31_-16.06_-36.06_0.1181_0.2142_-0.7378_-0.6291end-0.29_9.02_1.41_36.15_5.93_-4.25_15.31_-16.06_-36.06_0.1187_0.2141_-0.7368_-0.6302end-0.32_9.02_1.31_36.15_5.93_-4.25_15.31_-16.06_-36.06_0.1187_0.2141_-0.7368_-0.6302end-0.36_9.07_1.21_35.59_-1.45_-3.13_15.31_-16.06_-36.06_0.1187_0.2141_-0.7368_-0.6302end-0.36_9.07_1.21_35.59_-1.45_-3.13_15.63_-18.44_-35.69_0.1200_0.2131_-0.7340_-0.6336end-0.36_9.07_1.21_35.59_-1.45_-3.13_15.63_-18.44_-35.69_0.1206_0.2124_-0.7322_-0.6359end-0.32_9.08_1.15_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1208_0.2120_-0.7313_-0.6370end-0.28_9.09_1.11_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1208_0.2120_-0.7313_-0.6370end-0.30_9.11_1.08_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1208_0.2120_-0.7313_-0.6370end-0.31_9.11_1.05_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1208_0.2120_-0.7313_-0.6370end,24.3790273,120.90879266,1062.85693359375
10,,24.3790273,120.90879266,1062.85693359375
11,,24.3790273,120.90879266,1062.85693359375
12,-0.31_9.11_1.05_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1216_0.2104_-0.7275_-0.6416end-0.32_9.06_0.95_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1216_0.2104_-0.7275_-0.6416end-0.28_9.09_1.01_35.59_-1.45_-3.13_15.63_-18.81_-36.13_0.1216_0.2104_-0.7275_-0.6416end-0.28_9.09_1.01_35.59_-1.45_-3.13_15.25_-20.25_-37.06_0.1215_0.2077_-0.7230_-0.6476end-0.03_9.14_0.94_35.59_-1.45_-3.13_15.25_-20.25_-37.06_0.1213_0.2071_-0.7222_-0.6487end0.13_9.16_0.86_35.59_-1.45_-3.13_15.25_-20.25_-37.06_0.1213_0.2071_-0.7222_-0.6487end0.22_9.14_0.85_35.59_-1.45_-3.13_14.87_-19.87_-37.00_0.1213_0.2071_-0.7222_-0.6487end0.22_9.14_0.85_35.59_-1.45_-3.13_14.87_-20.56_-35.25_0.1201_0.2044_-0.7187_-0.6537end0.29_9.18_0.80_35.59_-1.45_-3.13_14.87_-20.56_-35.25_0.1199_0.2038_-0.7178_-0.6549end0.42_9.19_0.63_35.59_-1.45_-3.13_14.50_-20.62_-36.13_0.1199_0.2038_-0.7178_-0.6549end,24.3790273,120.90879266,1062.85693359375
13,,24.3790273,120.90879266,1062.85693359375
