ID,data,latitude,longitude,altitude
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,-0.19_2.59_-0.14_34.80_-16.56_11.86_-21.12_6.19_-38.88_0.2306_0.0482_0.8574_0.4576end-0.11_2.59_-0.52_34.80_-16.56_11.86_-21.12_6.19_-38.88_0.2306_0.0482_0.8574_0.4576end-0.15_2.67_-0.71_54.27_29.43_-4.25_-21.12_6.19_-38.88_0.2306_0.0482_0.8574_0.4576end-0.15_2.67_-0.71_54.27_29.43_-4.25_-20.00_4.19_-38.06_0.2282_0.0460_0.8550_0,0.0,0.0,0.0
7,.4635end-1.29_2.51_-0.27_54.27_29.43_-4.25_-20.00_4.19_-38.06_0.2267_0.0449_0.8542_0.4658end-1.29_2.51_-0.27_63.56_45.32_-7.95_-20.00_4.19_-38.06_0.2267_0.0449_0.8542_0.4658end-2.16_2.99_-0.18_63.56_45.32_-7.95_-20.00_4.19_-38.06_0.2267_0.0449_0.8542_0.4658end-2.11_3.26_-0.31_63.56_45.32_-7.95_-20.44_4.87_-39.88_0.2267_0.0449_0.8542_0.4658end-2.11_3.26_-0.31_68.93_-38.83_-11.30_-20.44_4.87_-39.88_0.2219_0.0413_0.8491_0.4777end-2.11_3.26_-0.31_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2219_0.0413_0.8491_0.4777end,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.0,0.0,0.0
11,,0.0,0.0,0.0
12,,0.0,0.0,0.0
13,-2.11_3.26_-0.31_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2247_0.0427_0.8454_0.4827end-0.80_4.93_-0.96_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2247_0.0427_0.8454_0.4827end-0.34_5.52_-1.03_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2247_0.0427_0.8454_0.4827end-0.31_6.14_-0.92_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2247_0.0427_0.8454_0.4827end9.96_35.19_-6.64_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2247_0.0427_0.8454_0.4827end9.96_35.19_-6.64_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2291_0.0457_0.8309_0.5051end18.03_65.65_39.70_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2311_0.0469_0.8281_0.5085end8.32_65.41_27.98_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0,0.0,0.0,0.0
14,.2330_0.0489_0.8287_0.5065end11.99_28.65_29.53_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2330_0.0489_0.8287_0.5065end5.07_9.34_8.52_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2330_0.0489_0.8287_0.5065end,0.0,0.0,0.0
15,,0.0,0.0,0.0
16,,0.0,0.0,0.0
17,,0.0,0.0,0.0
18,,0.0,0.0,0.0
19,,0.0,0.0,0.0
20,,0.0,0.0,0.0
21,,0.0,0.0,0.0
22,-0.37_8.68_-4.00_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2313_0.0530_0.8320_0.5015end2.08_9.96_-14.93_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2275_0.0543_0.8333_0.5009end-2.91_7.98_-9.89_68.93_-38.83_-11.30_-21.12_3.44_-39.44_0.2275_0.0543_0.8333_0.5009end-2.91_7.98_-9.89_34.24_-25.18_-5.71_-21.12_3.44_-39.44_0.2275_0.0543_0.8,0.0,0.0,0.0
23,333_0.5009end-1.62_5.59_-5.78_34.24_-25.18_-5.71_-20.75_0.88_-39.94_0.2275_0.0543_0.8333_0.5009end-1.62_5.59_-5.78_34.24_-25.18_-5.71_-20.75_0.88_-39.94_0.2286_0.0566_0.8305_0.5048end2.19_-2.79_7.00_34.24_-25.18_-5.71_-20.75_0.88_-39.94_0.2286_0.0566_0.8305_0.5048end0.00_-1.86_7.34_34.24_-25.18_-5.71_-20.00_1.25_-39.00_0.2286_0.,0.0,0.0,0.0
24,,0.0,0.0,0.0
25,,0.0,0.0,0.0
26,,0.0,0.0,0.0
27,,0.0,0.0,0.0
28,,0.0,0.0,0.0
29,,0.0,0.0,0.0
30,0566_0.8305_0.5048end0.00_-1.86_7.34_34.24_-25.18_-5.71_-20.00_1.25_-39.00_0.2251_0.0571_0.8282_0.5100end7.47_4.05_6.47_34.24_-25.18_-5.71_-20.00_1.25_-39.00_0.2251_0.0571_0.8282_0.5100end,0.0,0.0,0.0
