ID,data,latitude,longitude,altitude
1,0.42_9.24_-3.13_-28.65_-47.11_-9.74_22.87_-31.56_-15.81_0.2964_0.2613_-0.5372_-0.7452end0.36_9.12_-2.84_-28.65_-47.11_-9.74_22.87_-31.56_-15.81_0.2897_0.2547_-0.5475_-0.7426end0.31_9.08_-1.90_-28.65_-47.11_-9.74_22.50_-30.81_-16.62_0.2878_0.2529_-0.5500_-0.7421end0.31_9.08_-1.90_-28.65_-47.11_-9.74_22.50_-30.81_-16.62_0.2857_0.2,25.17348904,121.54863698,930.0389404296875
2,510_-0.5525_-0.7418end0.54_9.12_-1.55_-49.91_-83.93_-6.38_22.50_-30.81_-16.62_0.2857_0.2510_-0.5525_-0.7418end0.68_9.05_-1.26_-49.91_-83.93_-6.38_22.81_-30.12_-17.87_0.2857_0.2510_-0.5525_-0.7418end0.68_9.05_-1.26_-49.91_-83.93_-6.38_21.75_-29.37_-18.31_0.2759_0.2419_-0.5635_-0.7401end0.93_8.91_-1.03_-49.91_-83.93_-6.38_21.75_-2,25.17348904,121.54863698,930.0389404296875
3,,25.17348904,121.54863698,930.0389404296875
4,9.37_-18.31_0.2759_0.2419_-0.5635_-0.7401end0.92_9.03_-0.67_-49.91_-83.93_-6.38_21.75_-29.37_-18.31_0.2713_0.2378_-0.5691_-0.7390end0.83_9.12_-0.52_-56.62_-60.32_-7.27_21.75_-29.37_-18.31_0.2713_0.2378_-0.5691_-0.7390end0.83_9.12_-0.52_-57.30_-48.34_-7.72_21.75_-29.37_-18.31_0.2662_0.2340_-0.5766_-0.7361end0.62_9.13_-0.33_-57.30_-48.34_-7.72_21.75_-29.37_-18.31_0.2651_0.2335_-0.5790_-0.7349end0.21_8.85_-0.33_-57.30_-48.34_-7.72_21.75_-29.37_-18.31_0.2651_0.2335_-0.5790_-0.7349end0.21_8.85_-0.33_-57.30_-48.34_-7.72_21.12_-28.62_-20.00_0.2635_0.2333_-0.5834_-0.7319end0.21_8.85_-0.33_-62.00_-5.15_-10.18_21.12_-28.62_-20.00_0.2630_0.2336_-0.5856_-0.7303end0.21_8.85_-0.33_-62.56_-3.47_-9.85_21.12_-28.62_-20.00_0.2626_0.2339_-0.5877_-0.7287end0.21_8.85_-0.33_-63.11_-3.25_-9.96_21.12_-28.62_-20.00_0.2618_0.2346_-0.5919_-0.7253end0.21_8.85_-0.33_-65.46_-5.48_-9.40_21.69_-27.94_-20.81_0.2618_0.2346_-0.5919_-0.7253end0.21_8.85_-0.33_-65.46_-5.48_-9.40_22.44_-28.31_-20.81_0.2612_0.2350_-0.5942_-0.7235end0.09_8.03_-0.61_-65.46_-5.48_-9.40_22.44_-28.31_-20.81_0.2593_0.2356_-0.6010_-0.7184end,25.17348904,121.54863698,930.0389404296875
5,,25.17348904,121.54863698,930.0389404296875
6,0.26_7.88_-0.72_-65.46_-5.48_-9.40_22.44_-28.31_-20.81_0.2593_0.2356_-0.6010_-0.7184end0.31_7.85_-0.32_-65.46_-5.48_-9.40_22.44_-28.31_-20.81_0.2593_0.2356_-0.6010_-0.7184end0.31_7.85_-0.32_-65.46_-5.48_-9.40_22.44_-28.31_-20.81_0.2570_0.2360_-0.6082_-0.7131end0.31_7.85_-0.32_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2570_0.2360_,25.17348904,121.54863698,930.0389404296875
7,-0.6082_-0.7131end0.27_8.07_-0.30_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2551_0.2370_-0.6152_-0.7073end0.45_7.67_-0.62_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2551_0.2370_-0.6152_-0.7073end0.45_7.67_-0.62_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2544_0.2394_-0.6221_-0.7007end0.33_7.09_-0.47_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2546_0.2406_-0.6242_-0.6984end0.28_6.86_-0.37_-70.16_-8.28_-9.06_22.44_-28.31_-20.81_0.2546_0.2406_-0.6242_-0.6984end0.13_6.59_-0.43_-76.88_40.06_-13.09_22.44_-28.31_-20.81_0.2546_0.2406_-0.6242_-0.6984end,25.17348904,121.54863698,930.0389404296875
8,,25.17348904,121.54863698,930.0389404296875
9,,25.17348904,121.54863698,930.0389404296875
10,0.13_6.59_-0.43_-76.88_40.06_-13.09_22.44_-28.31_-20.81_0.2571_0.2473_-0.6323_-0.6877end0.10_6.34_-0.31_-76.88_40.06_-13.09_22.44_-28.31_-20.81_0.2571_0.2473_-0.6323_-0.6877end0.02_6.14_-0.28_-79.57_49.69_-14.10_22.44_-28.31_-20.81_0.2571_0.2473_-0.6323_-0.6877end0.02_6.14_-0.28_-80.80_48.01_-13.76_23.06_-23.44_-23.19_0.2598_0.2532_-0.6381_-0.6791end-0.23_5.76_-0.34_-80.80_48.01_-13.76_23.06_-23.44_-23.19_0.2615_0.2571_-0.6421_-0.6733end-0.18_5.68_-0.45_-81.47_42.19_-12.65_23.31_-23.81_-23.62_0.2615_0.2571_-0.6421_-0.6733end-0.18_5.68_-0.45_-81.58_38.16_-12.65_23.31_-23.81_-23.62_0.2628_0.2607_-0.6462_-0.6674end-0.18_5.68_-0.45_-81.47_34.91_-11.08_23.00_-21.56_-24.81_0.2628_0.2607_-0.6462_-0.6674end-0.18_5.68_-0.45_-81.92_33.35_-11.08_23.00_-21.56_-24.81_0.2639_0.2656_-0.6525_-0.6589end0.02_5.53_-0.16_-81.92_33.35_-11.08_24.69_-22.75_-26.12_0.2639_0.2656_-0.6525_-0.6589end,25.17348904,121.54863698,930.0389404296875
11,,25.17348904,121.54863698,930.0389404296875
12,,25.17348904,121.54863698,930.0389404296875
13,,25.17348904,121.54863698,930.0389404296875
14,,25.17348904,121.54863698,930.0389404296875
15,,25.17348904,121.54863698,930.0389404296875
16,,25.17348904,121.54863698,930.0389404296875
17,0.02_5.53_-0.16_-81.92_38.61_-11.30_24.69_-22.75_-26.12_0.2645_0.2688_-0.6566_-0.6532end-0.06_5.74_1.18_-81.92_38.61_-11.30_24.69_-22.75_-26.12_0.2645_0.2688_-0.6566_-0.6532end-0.06_5.74_1.18_-81.92_38.61_-11.30_24.69_-22.75_-26.12_0.2667_0.2745_-0.6625_-0.6439end0.45_5.83_0.37_-81.92_38.61_-11.30_24.69_-22.75_-26.12_0.2675_0.2766_-0.6644_-0.6408end-0.14_5.55_0.20_-81.92_38.61_-11.30_24.69_-22.75_-26.12_0.2675_0.2766_-0.6644_-0.6408end-0.14_5.55_0.20_-83.37_68.04_-12.09_25.00_-19.31_-26.00_0.2675_0.2766_-0.6644_-0.6408end-0.14_5.55_0.20_-83.37_68.04_-12.09_25.00_-19.31_-26.00_0.2718_0.2861_-0.6713_-0.6274end-0.27_5.09_0.61_-83.37_68.04_-12.09_25.00_-19.31_-26.00_0.2718_0.2861_-0.6713_-0.6274end-0.45_4.94_0.57_-83.37_68.04_-12.09_25.00_-19.31_-26.00_0.2748_0.2914_-0.6743_-0.6204end-0.68_4.85_0.58_-83.48_72.40_-11.30_25.00_-19.31_-26.00_0.2748_0.2914_-0.6743_-0.6204end-0.91_4.80_0.58_-83.48_72.40_-11.30_25.00_-19.31_-26.00_0.2787_0.2992_-0.6789_-0.6099end-1.18_4.76_0.48_-83.48_72.40_-11.30_26.00_-18.12_-25.12_0.2797_0.3016_-0.6805_-0.6065end-1.37_4.63_0.50_-83.48_72.40_-11.30_26.00_-18.12_-25.12_0.2797_0.3016_-0.6805_-0.6065end-1.37_4.63_0.50_-83.48_72.40_-11.30_26.69_-17.37_-25.06_0.2812_0.3061_-0.6837_-0.5999end-1.37_4.63_0.50_-81.92_41.52_-5.60_26.31_-14.25_-24.56_0.2816_0.3080_-0.6854_-0.5967end-1.37_4.63_0.50_-81.80_34.24_-4.25_26.31_-14.25_-24.56_0.2817_0.3099_-0.6871_-0.5937end-1.37_4.63_0.50_-81.02_20.93_-1.45_27.69_-16.62_-25.44_0.2812_0.3132_-0.6907_-0.5880end-1.37_4.63_0.50_-80.24_15.11_-0.78_27.69_-16.62_-25.44_0.2808_0.3146_-0.6926_-0.5853end-1.37_4.63_0.50_-79.45_10.07_-0.22_27.00_-15.13_-25.81_0.2808_0.3146_-0.6926_-0.5853end0.23_7.55_2.51_-79.45_10.07_-0.22_27.00_-15.13_-25.81_0.2792_0.3170_-0.6963_-0.5803end0.35_8.02_2.68_-73.52_7.61_1.12_27.00_-15.13_-25.81_0.2792_0.3170_-0.6963_-0.5803end0.36_8.16_2.73_-72.07_16.11_0.56_27.00_-15.13_-25.81_0.2792_0.3170_-0.6963_-0.5803end0.68_8.35_3.04_-72.07_16.11_0.56_27.00_-15.13_-25.81_0.2766_0.3235_-0.7044_-0.5680end0.68_8.35_3.04_-72.07_16.11_0.56_27.62_-14.75_-26.69_0.2772_0.3255_-0.7056_-0.5652end0.81_8.56_2.68_-67.26_64.91_-4.14_27.62_-14.75_-26.69_0.2772_0.3255_-0.7056_-0.5652end0.96_8.38_2.52_-67.26_64.91_-4.14_27.62_-14.75_-26.69_0.2781_0.3276_-0.7065_-0.5622end0.74_8.19_1.97_-67.26_64.91_-4.14_27.62_-14.75_-26.69_0.2831_0.3353_-0.7086_-0.5525end0.12_7.89_1.84_-67.26_64.91_-4.14_27.62_-14.75_-26.69_0.2852_0.3381_-0.7090_-0.5492end-0.41_7.87_1.86_-56.96_95.79_-7.39_27.62_-14.75_-26.69_0.2852_0.3381_-0.7090_-0.5492end-0.41_7.87_1.86_-55.84_90.53_-6.94_27.62_-14.75_-26.69_0.2898_0.3438_-0.7096_-0.5425end,25.17348904,121.54863698,930.0389404296875
18,-0.41_7.87_1.86_-54.95_81.36_-5.93_27.62_-14.75_-26.69_0.2939_0.3490_-0.7101_-0.5362end-1.30_7.68_1.92_-54.95_81.36_-5.93_27.62_-14.75_-26.69_0.2939_0.3490_-0.7101_-0.5362end-1.30_7.68_1.92_-51.92_58.75_-3.13_28.00_-12.37_-24.44_0.2939_0.3490_-0.7101_-0.5362end-1.55_7.96_1.84_-51.92_58.75_-3.13_28.00_-12.37_-24.44_0.2939_0.3490_-0.7101_-0.5362end-1.55_7.96_1.84_-48.79_44.76_-3.36_28.00_-12.37_-24.44_0.2986_0.3569_-0.7121_-0.5258end-1.45_8.16_2.03_-48.79_44.76_-3.36_28.00_-12.37_-24.44_0.2992_0.3583_-0.7126_-0.5236end-0.73_8.73_1.97_-43.76_32.12_-2.69_28.00_-12.37_-24.44_0.2997_0.3597_-0.7133_-0.5216end-0.46_8.88_2.33_-43.76_32.12_-2.69_28.00_-12.37_-24.44_0.3002_0.3629_-0.7151_-0.5165end-0.35_8.83_2.75_-43.76_32.12_-2.69_28.00_-12.37_-24.44_0.3004_0.3640_-0.7156_-0.5149end-0.48_8.25_2.32_-43.76_32.12_-2.69_28.00_-12.37_-24.44_0.3004_0.3640_-0.7156_-0.5149end,25.17348904,121.54863698,930.0389404296875
19,,25.17348904,121.54863698,930.0389404296875
20,,25.17348904,121.54863698,930.0389404296875
21,,25.17348904,121.54863698,930.0389404296875
22,,25.17348904,121.54863698,930.0389404296875
