ID,data,latitude,longitude,altitude
1,-0.81_9.55_-1.45_19.02_-8.84_-6.60_30.19_-29.56_-2.62_0.4766_0.4058_-0.4733_-0.6199end-0.87_9.51_-1.39_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4766_0.4058_-0.4733_-0.6199end-0.87_9.51_-1.39_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4744_0.3984_-0.4753_-0.6247end-1.12_9.47_-1.52_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4734_0.3960_-,25.17062916,121.55012899,1057.0015869140625
2,0.4762_-0.6263end-0.93_9.46_-1.47_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4734_0.3960_-0.4762_-0.6263end-0.93_9.46_-1.47_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4734_0.3960_-0.4762_-0.6263end-1.06_9.63_-1.44_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4734_0.3960_-0.4762_-0.6263end-1.06_9.63_-1.44_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4683_0.3852_-0.4805_-0.6336end-1.06_9.63_-1.44_20.93_-48.90_-3.92_30.19_-29.56_-2.62_0.4670_0.3823_-0.4815_-0.6356end-1.06_9.63_-1.44_20.93_-48.90_-3.92_30.56_-29.94_-2.25_0.4670_0.3823_-0.4815_-0.6356end,25.17062916,121.55012899,1057.0015869140625
3,,25.17062916,121.55012899,1057.0015869140625
4,-0.39_9.80_-1.45_20.93_-48.90_-3.92_30.56_-29.94_-2.25_0.4670_0.3823_-0.4815_-0.6356end-0.53_9.54_-1.26_20.93_-48.90_-3.92_30.56_-29.94_-2.25_0.4670_0.3823_-0.4815_-0.6356end-0.40_9.42_-1.47_20.93_-48.90_-3.92_30.88_-29.56_-1.25_0.4670_0.3823_-0.4815_-0.6356end-0.40_9.42_-1.47_20.93_-48.90_-3.92_30.88_-29.56_-1.25_0.4631_0.3698_-0.4836_-0.6442end-1.52_9.50_-3.76_20.93_-48.90_-3.92_30.88_-29.56_-1.25_0.4631_0.3698_-0.4836_-0.6442end-0.75_9.29_-3.79_20.93_-48.90_-3.92_31.94_-29.19_-1.69_0.4631_0.3698_-0.4836_-0.6442end-0.75_9.29_-3.79_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4631_0.3698_-0.4836_-0.6442end-0.30_9.20_-3.90_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4631_0.3698_-0.4836_-0.6442end-0.89_9.27_-4.97_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4697_0.3718_-0.4760_-0.6440end-0.39_9.29_-5.10_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4697_0.3718_-0.4760_-0.6440end,25.17062916,121.55012899,1057.0015869140625
5,,25.17062916,121.55012899,1057.0015869140625
6,,25.17062916,121.55012899,1057.0015869140625
7,0.02_9.21_-5.14_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4697_0.3718_-0.4760_-0.6440end0.02_9.21_-5.14_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4683_0.3679_-0.4763_-0.6469end-0.23_9.52_-4.40_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4683_0.3679_-0.4763_-0.6469end-0.21_8.90_-4.11_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4683_0.3679_-0.4763_-0.6469end-0.48_9.51_-4.07_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4683_0.3679_-0.4763_-0.6469end-0.53_9.99_-4.16_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4526_0.3439_-0.4875_-0.6627end-0.56_17.15_-3.77_20.37_37.82_-1.79_31.94_-29.19_-1.69_0.4526_0.3439_-0.4875_-0.6627end-0.56_17.15_-3.77_20.03_-157.45_7.05_30.88_-29.63_-4.00_0.4526_0.3439_-0.4875_-0.6627end-0.56_17.15_-3.77_20.03_-157.45_7.05_30.88_-29.63_-4.00_0.4397_0.3251_-0.4966_-0.6741end-0.02_19.42_-3.95_20.03_-157.45_7.05_30.88_-29.63_-4.00_0.4371_0.3213_-0.4983_-0.6763end,25.17062916,121.55012899,1057.0015869140625
8,,25.17062916,121.55012899,1057.0015869140625
9,,25.17062916,121.55012899,1057.0015869140625
10,,25.17062916,121.55012899,1057.0015869140625
11,0.41_18.54_-4.01_17.35_-78.89_3.80_30.88_-29.63_-4.00_0.4371_0.3213_-0.4983_-0.6763end0.41_18.54_-4.01_15.89_-49.80_2.35_30.88_-28.31_-4.87_0.4371_0.3213_-0.4983_-0.6763end0.41_18.54_-4.01_13.43_-23.72_0.00_30.88_-28.31_-4.87_0.4371_0.3213_-0.4983_-0.6763end0.41_18.54_-4.01_11.41_-2.91_-1.68_30.88_-28.31_-4.87_0.4332_0.3142_-0.5003_-0.6807end0.41_18.54_-4.01_11.41_-2.91_-1.68_30.88_-28.31_-4.87_0.4335_0.3141_-0.4999_-0.6808end-0.48_17.46_-4.74_11.41_-2.91_-1.68_30.19_-29.00_-4.44_0.4335_0.3141_-0.4999_-0.6808end-1.80_17.16_-5.62_11.41_-2.91_-1.68_30.19_-29.00_-4.44_0.4353_0.3151_-0.4982_-0.6804end-1.93_16.87_-5.63_4.59_-3.36_-1.68_30.19_-29.00_-4.44_0.4353_0.3151_-0.4982_-0.6804end-0.84_16.88_-3.82_4.59_-3.36_-1.68_30.19_-29.00_-4.44_0.4357_0.3149_-0.4978_-0.6805end-0.84_16.88_-3.82_1.45_-43.31_0.00_30.19_-29.00_-4.44_0.4357_0.3149_-0.4978_-0.6805end,25.17062916,121.55012899,1057.0015869140625
12,,25.17062916,121.55012899,1057.0015869140625
13,,25.17062916,121.55012899,1057.0015869140625
14,,25.17062916,121.55012899,1057.0015869140625
15,-0.34_15.99_-2.19_1.45_-43.31_0.00_30.19_-29.00_-4.44_0.4357_0.3149_-0.4978_-0.6805end-0.70_15.47_-2.84_1.45_-43.31_0.00_30.19_-29.00_-4.44_0.4357_0.3149_-0.4978_-0.6805end-0.70_15.47_-2.84_1.45_-43.31_0.00_30.19_-29.00_-4.44_0.4288_0.3062_-0.5037_-0.6846end-0.23_14.46_-3.44_1.45_-43.31_0.00_30.19_-29.00_-4.44_0.4271_0.3044_-0.5,25.17062916,121.55012899,1057.0015869140625
16,,25.17062916,121.55012899,1057.0015869140625
